circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Medenine,MedenineSud,26080119201,م إبتدائية  2مارس 1934 مدنين - مدنين الجنوبية  مكتب 1,0,0,2,2,0,0,85,8,0,0,5,1,5,1,1,1,0,1,0,1,1,0,1,302,0,8,12,437
Medenine,MedenineSud,26080119202,م إبتدائية  2مارس 1934 مدنين - مدنين الجنوبية  مكتب 2,0,0,3,1,0,0,55,17,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,366,0,4,6,458
Medenine,MedenineSud,26080119203,م إبتدائية  2مارس 1934 مدنين - مدنين الجنوبية  مكتب 3,0,0,0,0,0,0,39,14,0,0,1,0,2,0,0,1,0,0,0,1,1,0,2,312,0,7,14,394
Medenine,MedenineSud,26080119204,م إبتدائية  2مارس 1934 مدنين - مدنين الجنوبية  مكتب 4,1,0,0,0,0,1,39,25,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,270,1,3,8,351
Medenine,MedenineSud,26080119301,م إبتدائية طريق تطاوين - مدنين الجنوبية  مكتب 1,2,0,0,2,0,2,73,4,0,2,2,1,5,0,1,4,2,0,0,0,3,0,5,258,0,7,7,380
Medenine,MedenineSud,26080119302,م إبتدائية طريق تطاوين - مدنين الجنوبية  مكتب 2,0,0,3,2,0,1,54,14,1,0,3,0,5,1,0,1,1,0,0,0,0,0,0,284,0,7,6,383
Medenine,MedenineSud,26080119303,م إبتدائية طريق تطاوين - مدنين الجنوبية  مكتب 3,0,0,2,1,0,0,29,14,0,0,3,0,5,0,1,1,0,0,0,0,1,0,0,304,0,3,8,372
Medenine,MedenineSud,26080119304,م إبتدائية طريق تطاوين - مدنين الجنوبية  مكتب 4,2,0,3,2,0,0,20,8,0,0,1,1,2,0,0,3,0,0,0,0,0,0,0,271,0,5,4,322
Medenine,MedenineSud,26080119305,م إبتدائية طريق تطاوين - مدنين الجنوبية  مكتب 5,0,0,4,0,0,0,18,24,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,206,1,6,6,269
Medenine,MedenineSud,26080119401,م إبتدائية نهج المهيري مدنين - مدنين الجنوبية  مكتب 1,0,0,2,2,0,2,58,10,0,1,0,0,3,0,0,1,2,0,0,0,1,0,1,249,1,16,14,363
Medenine,MedenineSud,26080119402,م إبتدائية نهج المهيري مدنين - مدنين الجنوبية  مكتب 2,0,0,1,3,0,0,50,9,0,0,3,0,2,0,0,1,0,0,0,0,2,0,6,311,0,5,8,401
