circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Medenine,SidiMakhlouf,26070116401,م إبتدائية  2مارس 34 سيدي مخلوف  مكتب 1,0,1,1,3,2,1,62,5,0,1,8,2,1,0,1,1,1,0,1,0,3,0,0,214,0,12,1,321
Medenine,SidiMakhlouf,26070116402,م إبتدائية  2مارس 34 سيدي مخلوف  مكتب 2,0,1,0,0,0,0,25,6,1,0,2,0,2,0,0,0,3,0,0,0,1,0,0,207,0,3,1,252
Medenine,SidiMakhlouf,26070116403,م إبتدائية  2مارس 34 سيدي مخلوف  مكتب 3,0,0,0,0,0,0,22,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,183,0,4,2,224
Medenine,SidiMakhlouf,26070116501,م إبتدائية القرين - سيدي مخلوف  مكتب 1,0,0,1,2,0,1,25,19,1,0,1,1,2,0,3,1,1,1,0,0,4,0,0,146,0,5,1,215
Medenine,SidiMakhlouf,26070116601,م إبتدائية 9أفريل سيدي مخلوف   مكتب 1,0,0,0,2,0,0,40,10,1,0,0,1,2,0,0,0,0,0,2,0,0,0,0,78,0,8,1,145
Medenine,SidiMakhlouf,26070216701,م إبتدائية المغراوية   مكتب 1,0,0,0,2,0,2,16,10,1,0,1,0,6,0,2,0,0,1,1,0,1,0,0,201,2,10,2,258
Medenine,SidiMakhlouf,26070216801,م إبتدائية ام حسن - المغراوية  مكتب 1,0,0,0,0,0,0,4,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,29,0,1,0,42
Medenine,SidiMakhlouf,26070316901,م إبتدائية الجرف تماسنت - الجرف  مكتب 1,0,0,2,2,0,0,13,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,84,0,1,0,109
Medenine,SidiMakhlouf,26070317001,م إبتدائية خضير - الجرف  مكتب 1,0,0,0,1,0,0,51,11,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,106,0,7,1,183
Medenine,SidiMakhlouf,26070317101,م إبتدائية القصيبة - الجرف  مكتب 1,0,0,0,0,0,0,16,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,7,116
Medenine,SidiMakhlouf,26070317201,م إبتدائية هنشير غزال - الجرف  مكتب 1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,13
Medenine,SidiMakhlouf,26070417301,م إبتدائية بدوي  مكتب 1,0,0,0,0,1,1,48,3,1,0,1,0,1,2,1,1,2,0,0,0,4,0,0,256,0,3,1,326
Medenine,SidiMakhlouf,26070517401,م إبتدائية عمرة القديمة  مكتب 1,0,1,1,1,0,3,22,11,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,237,0,7,4,292
Medenine,SidiMakhlouf,26070517501,م إبتدائية الصعدان - عمرة  مكتب 1,0,0,0,1,0,0,20,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,112,1,4,1,144
Medenine,SidiMakhlouf,26070517601,م إبتدائية شعبة صالي - عمرة  مكتب 1,0,0,0,0,0,2,22,10,1,1,1,1,0,1,3,2,2,1,0,0,4,0,1,139,0,13,0,204
