#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
26060112801,م إبتدائية شارع بورقيبة جرجيس - جرجيس المدينة  مكتب 1,0,0,2,3,0,0,130,9,0,1,2,0,7,0,1,2,0,1,1,2,10,1,3,167,1,6,17,366
26060112802,م إبتدائية شارع بورقيبة جرجيس - جرجيس المدينة  مكتب 2,1,1,6,0,0,3,111,6,0,1,4,1,3,1,0,0,0,1,0,1,8,1,1,169,0,5,26,350
26060112803,م إبتدائية شارع بورقيبة جرجيس - جرجيس المدينة  مكتب 3,1,0,2,2,0,1,102,6,1,0,2,0,3,0,0,1,1,0,1,0,5,0,0,235,0,8,11,382
26060112804,م إبتدائية شارع بورقيبة جرجيس - جرجيس المدينة  مكتب 4,0,0,1,0,0,0,77,11,0,0,1,0,2,0,0,0,0,0,0,0,5,0,1,221,0,6,16,341
26060112805,م إبتدائية شارع بورقيبة جرجيس - جرجيس المدينة  مكتب 5,0,0,3,2,0,1,51,16,0,0,2,0,2,0,0,1,0,0,0,1,5,0,1,186,0,7,17,295
26060112806,م إبتدائية شارع بورقيبة جرجيس - جرجيس المدينة  مكتب 6,0,0,1,0,0,0,41,18,0,0,5,0,4,0,0,0,0,0,0,2,2,0,0,148,0,1,13,235
26060112901,م إبتدائية السواقي - جرجيس المدينة  مكتب 1,3,0,1,3,0,2,71,8,0,0,6,0,3,0,2,1,1,1,0,0,2,1,4,169,1,13,41,333
26060112902,م إبتدائية السواقي - جرجيس المدينة  مكتب 2,0,0,1,2,0,0,36,9,0,0,6,0,3,0,0,1,0,0,1,2,0,0,0,176,0,11,30,278
26060113001,م إبتدائية شكيربان - جرجيس المدينة  مكتب 1,2,0,2,1,2,0,122,15,1,1,9,0,1,1,0,0,2,0,0,0,2,1,1,191,0,8,12,374
26060113002,م إبتدائية شكيربان - جرجيس المدينة  مكتب 2,0,0,1,0,0,0,54,23,0,0,2,0,0,0,0,1,1,0,0,2,1,0,0,200,0,6,11,302
26060113101,م إبتدائية غرة جوان الموانسة - جرجيس المدينة  مكتب 1,0,0,2,0,0,0,62,10,0,1,2,1,4,1,1,0,0,1,0,1,5,0,0,139,0,4,10,244
26060113201,م إبتدائية رأس الظهرة الغربي - جرجيس المدينة  مكتب 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,24,0,0,0,26
26060113301,م إبتدائية ابن عرفة - جرجيس المدينة  مكتب 1,2,1,1,1,1,1,70,1,0,0,1,1,1,2,0,2,0,0,0,2,0,0,1,113,1,8,7,217
26060113302,م إبتدائية ابن عرفة - جرجيس المدينة  مكتب 2,0,0,1,1,0,0,42,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,135,0,4,6,198
26060213401,م إبتدائية  2مارس 34 ساحة الشباب جرجيس - 2 مارس   مكتب 1,0,0,0,2,1,0,82,10,1,1,6,1,3,0,0,3,1,1,0,0,5,0,0,147,1,1,14,280
26060213402,م إبتدائية  2مارس 34 ساحة الشباب جرجيس - 2 مارس   مكتب 2,0,0,2,0,0,0,61,12,0,0,3,0,3,0,0,1,0,0,0,0,1,0,0,171,0,1,17,272
26060213403,م إبتدائية  2مارس 34 ساحة الشباب جرجيس - 2 مارس   مكتب 3,2,0,2,0,0,0,29,14,0,1,0,0,2,0,0,1,0,0,0,0,3,0,0,143,0,3,11,211
26060213501,م إبتدائية شارع محمد الخامس - 2 مارس   مكتب 1,0,1,1,0,0,0,69,11,0,1,0,0,5,0,0,1,0,1,0,0,0,0,0,159,0,6,16,271
26060213502,م إبتدائية شارع محمد الخامس - 2 مارس   مكتب 2,1,0,1,0,0,1,34,16,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,120,0,6,14,198
26060313601,م إبتدائية قصر الزاوية - الطاهر صفر  مكتب 1,0,0,0,1,0,0,69,3,0,3,3,1,6,0,0,2,1,1,1,0,7,0,1,159,0,3,10,271
26060313602,م إبتدائية قصر الزاوية - الطاهر صفر  مكتب 2,0,0,1,3,0,0,60,10,0,0,0,0,5,0,0,0,0,0,1,0,4,0,1,154,0,11,8,258
26060313701,م إبتدائية الطاهر صفر جرجيس  مكتب 1,0,1,1,1,0,3,141,10,0,0,1,0,2,1,0,1,1,2,0,0,5,0,2,223,1,13,23,432
26060313702,م إبتدائية الطاهر صفر جرجيس  مكتب 2,0,0,2,1,0,0,85,17,0,0,2,1,2,0,0,0,0,0,1,0,2,1,0,206,0,12,15,347
26060413801,م إبتدائية البيبان - الجدارية  مكتب 1,1,0,0,0,1,0,30,60,0,0,1,0,0,0,1,0,0,0,0,30,1,0,0,126,0,9,1,261
26060513901,م إبتدائية قصر أولاد سعيد - البساتين  مكتب 1,1,2,0,1,1,0,82,11,0,0,6,0,5,1,0,2,1,0,1,0,5,1,1,157,0,7,27,312
26060513902,م إبتدائية قصر أولاد سعيد - البساتين  مكتب 2,0,0,7,1,0,1,41,12,0,0,7,0,4,0,0,0,0,0,0,0,3,0,0,217,0,6,34,333
26060513903,م إبتدائية قصر أولاد سعيد - البساتين  مكتب 3,0,0,2,0,0,0,37,14,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,180,0,3,15,256
26060514001,م إبتدائية البساتين جرجيس   مكتب 1,0,0,3,1,1,1,76,5,1,0,5,0,7,0,0,5,1,0,0,1,4,0,1,158,0,13,14,297
