circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Monastir,Bekalta,22010100101,م إبتدائية الحي الجديد البقالطة - البقالطة الشمالية  مكتب 1,1,0,1,8,0,1,255,3,1,0,0,1,11,0,1,1,0,0,3,1,2,0,0,75,0,7,16,388
Monastir,Bekalta,22010100102,م إبتدائية الحي الجديد البقالطة - البقالطة الشمالية  مكتب 2,1,1,1,8,1,1,213,4,0,3,1,0,3,1,1,2,1,0,1,0,6,1,0,54,0,6,7,317
Monastir,Bekalta,22010100103,م إبتدائية الحي الجديد البقالطة - البقالطة الشمالية  مكتب 3,1,0,3,12,0,0,249,4,0,2,0,1,3,1,0,2,1,0,0,1,3,0,0,106,1,6,9,405
Monastir,Bekalta,22010100104,م إبتدائية الحي الجديد البقالطة - البقالطة الشمالية  مكتب 4,0,0,2,9,0,2,214,4,0,1,2,0,4,0,0,0,1,0,0,0,2,0,1,74,0,12,21,349
Monastir,Bekalta,22010100105,م إبتدائية الحي الجديد البقالطة - البقالطة الشمالية  مكتب 5,1,0,1,16,0,1,202,3,0,2,1,0,2,0,1,3,0,0,0,0,2,0,2,75,0,6,9,327
Monastir,Bekalta,22010100106,م إبتدائية الحي الجديد البقالطة - البقالطة الشمالية  مكتب 6,1,0,1,9,0,1,168,15,0,0,1,1,5,0,0,2,0,0,0,1,1,0,2,93,0,3,11,315
Monastir,Bekalta,22010100107,م إبتدائية الحي الجديد البقالطة - البقالطة الشمالية  مكتب 7,0,0,1,16,0,0,142,6,0,3,1,1,5,1,0,1,0,0,1,0,1,0,0,76,1,9,22,287
Monastir,Bekalta,22010100201,م إبتدائية البحيرة - البقالطة الشمالية  مكتب 1,2,0,1,7,0,0,275,2,2,4,1,0,3,1,0,0,2,0,0,0,1,0,0,36,1,11,9,358
Monastir,Bekalta,22010100301,م إبتدائية البقالطة زبيد - البقالطة الشمالية  مكتب 1,0,0,0,1,1,0,101,0,1,1,0,1,0,0,0,2,0,1,1,0,4,0,0,56,0,2,3,175
Monastir,Bekalta,22010200401,م إبتدائية البقالطة المحطة - البقالطة الجنوبية  مكتب 1,0,0,2,20,0,2,234,3,1,2,2,0,2,0,2,1,0,0,0,1,0,0,1,95,0,6,15,389
Monastir,Bekalta,22010200402,م إبتدائية البقالطة المحطة - البقالطة الجنوبية  مكتب 2,1,0,4,19,1,0,193,8,0,5,0,0,1,0,1,1,0,0,0,0,3,0,1,75,1,8,25,347
Monastir,Bekalta,22010200501,م إبتدائية حشاد البقالطة - البقالطة الجنوبية  مكتب 1,1,0,2,18,1,1,174,5,0,3,2,0,3,1,1,2,0,0,0,0,6,1,0,75,0,5,5,306
Monastir,Bekalta,22010200502,م إبتدائية حشاد البقالطة - البقالطة الجنوبية  مكتب 2,0,0,1,19,0,0,157,2,0,1,0,0,4,1,0,3,0,0,0,0,4,0,3,83,0,9,11,298
Monastir,Bekalta,22010200503,م إبتدائية حشاد البقالطة - البقالطة الجنوبية  مكتب 3,1,0,3,10,0,1,89,9,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,78,0,7,9,215
Monastir,Bekalta,22010200601,م إبتدائية الشرف - البقالطة الجنوبية  مكتب 1,0,1,0,5,1,0,155,3,1,2,0,1,3,0,1,0,0,0,0,1,3,0,0,77,0,9,12,275
Monastir,Bekalta,22010300701,م إبتدائية البغدادي   مكتب 1,2,0,2,19,1,2,108,4,1,2,1,1,3,1,0,0,0,1,0,0,3,1,7,26,0,0,5,190
