circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Monastir,Bembla,22060107501,م إبتدائية بورقيبة بنبلة   مكتب 1,0,1,4,40,2,0,210,1,0,2,1,2,2,0,0,3,0,0,1,0,3,0,0,69,0,1,7,349
Monastir,Bembla,22060107502,م إبتدائية بورقيبة بنبلة   مكتب 2,0,1,0,53,0,0,159,5,0,4,3,0,2,0,0,1,0,0,0,0,1,0,1,99,0,3,11,343
Monastir,Bembla,22060107503,م إبتدائية بورقيبة بنبلة   مكتب 3,0,0,3,41,0,0,156,5,0,4,4,1,3,0,1,0,0,0,1,0,0,0,1,55,1,4,11,291
Monastir,Bembla,22060107601,م إبتدائية الجمهورية بنبلة   مكتب 1,0,1,3,22,2,5,251,4,2,1,2,0,2,1,0,1,0,1,0,1,3,0,3,62,1,8,15,391
Monastir,Bembla,22060107602,م إبتدائية الجمهورية بنبلة   مكتب 2,0,0,3,29,1,1,239,2,0,0,1,0,3,0,1,1,0,0,1,0,2,0,1,116,0,5,13,419
Monastir,Bembla,22060107603,م إبتدائية الجمهورية بنبلة   مكتب 3,0,0,3,29,0,1,175,5,0,0,2,0,3,0,0,1,0,0,0,0,3,0,0,110,0,1,8,341
Monastir,Bembla,22060107604,م إبتدائية الجمهورية بنبلة   مكتب 4,1,0,1,34,0,1,170,9,0,2,4,0,1,0,0,1,0,0,0,1,0,0,0,75,0,10,20,330
Monastir,Bembla,22060207701,م إبتدائية حشاد بنبلة - بنبلة الغربية  مكتب 1,1,1,1,42,1,4,228,4,1,2,3,2,4,0,1,1,0,1,1,0,6,0,0,109,2,8,9,432
Monastir,Bembla,22060207702,م إبتدائية حشاد بنبلة - بنبلة الغربية  مكتب 2,0,0,4,48,0,0,191,2,0,1,1,1,0,0,1,1,0,0,0,0,4,0,0,117,0,2,3,376
Monastir,Bembla,22060207703,م إبتدائية حشاد بنبلة - بنبلة الغربية  مكتب 3,1,0,6,35,0,0,141,9,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,94,0,1,12,304
Monastir,Bembla,22060307801,م إبتدائية المنار بالمنارة   مكتب 1,0,0,2,35,0,0,245,5,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,30,1,10,7,341
Monastir,Bembla,22060307802,م إبتدائية المنار بالمنارة   مكتب 2,0,0,2,29,0,1,174,4,0,0,2,0,3,0,0,0,1,0,0,0,2,0,1,28,0,9,8,264
Monastir,Bembla,22060407901,م إبتدائية منزل النورشارع بورقيبة   مكتب 1,0,0,2,40,1,2,173,3,1,1,1,2,1,0,1,1,0,0,0,2,2,1,1,139,0,10,6,390
Monastir,Bembla,22060407902,م إبتدائية منزل النورشارع بورقيبة   مكتب 2,1,1,0,45,0,2,119,0,0,1,2,0,4,3,1,0,2,0,0,0,4,0,0,178,1,0,0,364
Monastir,Bembla,22060407903,م إبتدائية منزل النورشارع بورقيبة   مكتب 3,0,0,0,58,0,0,124,0,0,0,0,0,0,0,1,4,1,0,0,1,1,0,0,242,0,4,0,436
Monastir,Bembla,22060407904,م إبتدائية منزل النورشارع بورقيبة   مكتب 4,0,0,0,70,0,0,98,4,0,1,0,0,0,1,1,1,0,0,0,0,4,1,0,211,1,11,4,408
