#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
22070108401,م إبتدائية حشاد بني حسان - بني حسان القبلية  مكتب 1,1,0,2,14,1,2,272,1,0,2,2,0,1,0,0,3,1,0,0,0,2,1,3,48,0,9,6,371.0
22070108402,م إبتدائية حشاد بني حسان - بني حسان القبلية  مكتب 2,1,0,2,11,0,0,271,1,0,0,1,1,4,0,0,2,0,0,0,0,3,0,1,59,1,6,6,370.0
22070108403,م إبتدائية حشاد بني حسان - بني حسان القبلية  مكتب 3,0,0,3,12,0,0,255,1,0,2,0,0,3,0,0,0,0,0,0,0,2,0,2,49,0,5,9,343.0
22070108404,م إبتدائية حشاد بني حسان - بني حسان القبلية  مكتب 4,0,0,2,16,0,0,211,6,0,2,3,0,1,0,1,0,0,0,0,0,1,0,1,36,0,4,14,298.0
22070108405,م إبتدائية حشاد بني حسان - بني حسان القبلية  مكتب 5,0,0,4,11,0,0,203,4,0,1,3,0,3,0,0,0,0,0,0,0,1,0,4,50,0,7,16,307.0
22070208501,م إبتدائية 34/3/2 بني حسان - بني حسان الجوفية  مكتب 1,0,2,0,12,2,0,298,2,1,0,6,0,5,1,0,1,1,2,0,0,6,0,0,41,1,7,11,399.0
22070208502,م إبتدائية 34/3/2 بني حسان - بني حسان الجوفية  مكتب 2,1,0,1,30,0,0,298,3,0,0,1,0,4,0,0,0,0,0,1,0,3,0,0,81,0,7,6,436.0
22070208503,م إبتدائية 34/3/2 بني حسان - بني حسان الجوفية  مكتب 3,0,0,1,22,0,0,254,4,0,0,2,0,3,1,0,1,0,0,0,1,2,0,0,62,0,6,14,373.0
22070208504,م إبتدائية 34/3/2 بني حسان - بني حسان الجوفية  مكتب 4,0,0,4,27,0,1,205,9,0,2,4,0,5,0,0,0,0,0,0,0,1,0,1,37,2,3,12,313.0
22070308601,م إبتدائية   الجنائحة 1 - الجنائحة  مكتب 1,0,0,0,5,1,1,120,1,0,1,1,0,2,0,0,0,0,0,2,1,1,1,0,28,2,3,5,175.0
22070308602,م إبتدائية   الجنائحة 1 - الجنائحة  مكتب 2,0,0,0,1,0,0,69,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,3,3,94.0
22070308701,م إبتدائية الجنائحة 2 المستقبل - الجنائحة  مكتب 1,0,0,0,7,0,0,117,4,1,0,0,0,0,0,2,0,0,2,0,1,2,1,0,14,0,0,0,151.0
22070408801,م إبتدائية الغنادة   مكتب 1,0,1,0,6,1,0,158,4,0,2,2,1,6,0,1,2,2,1,1,0,2,0,1,62,0,7,12,272.0
22070408802,م إبتدائية الغنادة   مكتب 2,0,0,1,3,0,1,107,2,0,3,1,0,1,2,1,0,0,1,1,0,1,0,1,63,0,5,8,202.0
22070408803,م إبتدائية الغنادة   مكتب 3,0,0,5,6,0,0,89,1,0,2,1,1,2,0,0,0,0,0,1,0,0,0,1,47,2,2,9,169.0
22070408901,م إبتدائية العثامنة - الغنادة   مكتب 1,1,0,1,0,0,0,19,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1,2,44.0
مجموع أصوات القائمة,4,3,26,183,5,5,2946,45,2,18,27,3,43,4,5,9,4,6,6,4,28,3,15,707,8,75,133,4317,
