#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
22080109001,م إبتدائية الشهداء جمال - جمال القبلية  مكتب 1,0,1,0,12,0,1,244,5,0,1,1,0,4,1,0,1,0,1,2,1,6,0,2,66,0,11,9,369.0
22080109002,م إبتدائية الشهداء جمال - جمال القبلية  مكتب 2,0,0,1,19,0,0,238,3,0,3,4,1,2,0,0,1,0,1,0,0,2,0,1,103,0,9,11,399.0
22080109003,م إبتدائية الشهداء جمال - جمال القبلية  مكتب 3,1,0,1,15,0,0,191,7,0,0,1,0,4,0,0,1,0,0,0,1,3,0,0,110,0,15,10,360.0
22080109004,م إبتدائية الشهداء جمال - جمال القبلية  مكتب 4,0,0,3,20,0,2,176,4,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,85,1,7,11,315.0
22080109005,م إبتدائية الشهداء جمال - جمال القبلية  مكتب 5,1,0,2,17,0,0,127,12,0,1,4,0,3,2,0,0,0,0,0,0,1,0,5,61,0,14,20,270.0
22080109101,م إبتدائية ب - س - ب جمال - جمال القبلية  مكتب 1,2,2,1,25,0,1,207,6,2,4,0,0,6,0,0,3,0,0,0,0,3,0,0,71,0,17,14,364.0
22080109102,م إبتدائية ب - س - ب جمال - جمال القبلية  مكتب 2,0,0,2,16,0,2,198,1,0,1,2,0,6,0,1,4,0,0,0,0,2,0,0,122,0,16,5,378.0
22080109103,م إبتدائية ب - س - ب جمال - جمال القبلية  مكتب 3,1,0,1,27,0,0,153,4,0,0,0,0,2,0,0,4,0,0,0,0,1,1,0,94,0,5,12,305.0
22080109104,م إبتدائية ب - س - ب جمال - جمال القبلية  مكتب 4,1,0,1,24,0,2,140,9,0,3,4,0,1,0,1,0,0,0,0,0,1,0,0,84,1,14,10,296.0
22080209201,م إبتدائية حي التضامن جمّال - جمال الجوفية  مكتب 1,1,0,3,10,0,0,163,5,0,1,4,0,4,0,0,2,0,1,0,2,0,1,0,41,2,2,5,247.0
22080309301,م إبتدائية القصاص جمال - جمال الشرقية  مكتب 1,0,0,2,8,0,0,232,4,2,0,1,0,2,1,2,3,0,0,0,0,5,1,2,36,0,18,13,332.0
22080309302,م إبتدائية القصاص جمال - جمال الشرقية  مكتب 2,0,0,1,12,0,0,281,3,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,34,0,10,6,354.0
22080309303,م إبتدائية القصاص جمال - جمال الشرقية  مكتب 3,0,0,0,15,1,0,197,6,0,0,0,0,4,0,0,3,0,0,0,0,3,0,0,54,1,18,10,312.0
22080309304,م إبتدائية القصاص جمال - جمال الشرقية  مكتب 4,0,0,3,16,0,0,191,6,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,38,0,7,13,281.0
22080309305,م إبتدائية القصاص جمال - جمال الشرقية  مكتب 5,0,0,0,5,0,2,124,16,0,0,3,0,4,0,0,0,0,0,0,0,0,0,1,45,0,21,6,227.0
22080309401,م إبتدائية الهداية جمال - جمال الشرقية  مكتب 1,1,0,3,16,0,1,234,2,0,1,0,0,2,1,0,2,1,1,0,0,1,0,2,48,0,4,13,333.0
22080309402,م إبتدائية الهداية جمال - جمال الشرقية  مكتب 2,0,0,1,18,0,1,211,5,0,5,1,0,2,0,0,1,0,0,0,0,1,0,0,78,1,11,10,346.0
22080309403,م إبتدائية الهداية جمال - جمال الشرقية  مكتب 3,0,0,0,20,0,0,206,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,71,0,3,19,325.0
22080309404,م إبتدائية الهداية جمال - جمال الشرقية  مكتب 4,0,0,3,16,0,0,162,8,0,0,1,0,4,1,0,0,0,0,1,0,2,0,2,47,1,13,25,286.0
22080309501,م إبتدائية حي المنار جمال - جمال الشرقية  مكتب 1,0,0,2,16,0,1,266,7,0,0,2,0,3,1,1,0,0,0,0,0,4,1,0,73,0,8,12,397.0
22080309502,م إبتدائية حي المنار جمال - جمال الشرقية  مكتب 2,2,0,2,8,1,0,240,3,0,1,2,0,2,0,0,0,0,1,0,0,2,0,1,92,0,7,8,372.0
22080309503,م إبتدائية حي المنار جمال - جمال الشرقية  مكتب 3,0,1,3,18,0,0,166,9,0,0,4,0,2,0,0,1,0,0,0,0,2,0,0,129,0,23,13,371.0
22080309504,م إبتدائية حي المنار جمال - جمال الشرقية  مكتب 4,2,0,0,23,0,1,201,2,0,1,3,0,3,2,0,0,1,0,0,0,1,0,0,86,0,7,9,342.0
22080309505,م إبتدائية حي المنار جمال - جمال الشرقية  مكتب 5,2,0,0,31,0,0,156,13,0,2,8,0,0,0,0,1,0,0,0,0,2,0,1,68,0,0,14,298.0
22080309506,م إبتدائية حي المنار جمال - جمال الشرقية  مكتب 6,0,0,8,17,0,0,125,16,1,2,1,0,3,0,0,0,0,0,1,0,1,0,3,65,1,18,18,280.0
22080409601,م إبتدائية سيدي مسعود جمال - جمال الغربية  مكتب 1,2,0,1,14,0,1,243,5,2,0,2,0,4,0,0,0,1,2,3,0,5,0,1,37,1,14,10,348.0
22080409602,م إبتدائية سيدي مسعود جمال - جمال الغربية  مكتب 2,1,0,1,15,0,1,237,10,0,2,1,0,2,0,0,2,0,0,0,0,1,0,0,83,0,21,11,388.0
22080409603,م إبتدائية سيدي مسعود جمال - جمال الغربية  مكتب 3,0,0,2,23,1,0,195,3,0,2,2,0,1,0,1,0,0,0,0,0,0,0,1,56,1,8,6,302.0
22080409604,م إبتدائية سيدي مسعود جمال - جمال الغربية  مكتب 4,1,0,2,18,0,1,147,15,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,46,1,18,10,265.0
22080409701,م إبتدائية ابن الجزار - جمال الغربية  مكتب 1,1,0,0,12,0,2,222,3,0,3,4,0,3,0,0,1,2,0,0,0,5,0,1,116,1,11,4,391.0
22080409702,م إبتدائية ابن الجزار - جمال الغربية  مكتب 2,0,0,0,17,0,0,182,5,0,0,4,0,2,1,1,3,0,0,1,2,4,0,1,174,1,12,10,420.0
22080409703,م إبتدائية ابن الجزار - جمال الغربية  مكتب 3,0,0,0,31,0,0,170,3,0,2,3,0,4,0,0,2,0,0,0,1,3,0,0,125,0,4,9,357.0
22080409704,م إبتدائية ابن الجزار - جمال الغربية  مكتب 4,1,0,4,32,0,1,143,14,0,3,3,0,4,1,0,3,0,0,0,0,1,0,1,121,2,8,8,350.0
22080409801,م إبتدائية المهيري جمال - جمال الغربية  مكتب 1,2,1,1,19,1,1,236,7,0,3,2,0,5,0,0,6,0,0,0,0,1,1,0,74,1,5,5,371.0
22080409802,م إبتدائية المهيري جمال - جمال الغربية  مكتب 2,0,0,0,20,0,0,226,4,0,4,2,0,2,0,0,0,1,0,1,0,2,0,0,64,0,20,8,354.0
22080409803,م إبتدائية المهيري جمال - جمال الغربية  مكتب 3,0,0,0,21,0,1,193,7,0,0,4,0,2,0,0,1,0,0,0,0,1,0,0,81,0,1,7,319.0
