circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Monastir,KsarHelal,22120113501,م إبتدائية الأميّم قصر هلال - عياد  مكتب 1,1,0,3,10,0,0,301,5,0,0,2,1,2,0,0,0,0,0,0,1,6,0,0,58,0,3,8,401
Monastir,KsarHelal,22120113502,م إبتدائية الأميّم قصر هلال - عياد  مكتب 2,0,0,3,8,0,0,253,10,0,1,1,0,4,0,0,0,0,1,0,0,2,0,2,75,0,8,20,388
Monastir,KsarHelal,22120113503,م إبتدائية الأميّم قصر هلال - عياد  مكتب 3,0,0,2,10,0,0,196,6,0,0,2,0,6,1,1,1,0,0,0,0,1,0,2,58,1,4,17,308
Monastir,KsarHelal,22120113601,م إبتدائية  2مارس قصر هلال - عياد  مكتب 1,2,0,1,8,1,0,312,3,1,1,3,1,6,1,0,2,1,1,0,2,6,0,1,48,0,9,13,423
Monastir,KsarHelal,22120113602,م إبتدائية  2مارس قصر هلال - عياد  مكتب 2,0,0,0,8,2,1,254,10,1,2,3,0,3,0,0,0,1,0,0,0,1,0,0,79,1,14,33,413
Monastir,KsarHelal,22120113603,م إبتدائية  2مارس قصر هلال - عياد  مكتب 3,0,0,0,12,0,0,266,6,0,0,1,1,0,4,0,2,1,0,0,0,0,0,0,44,0,6,17,360
Monastir,KsarHelal,22120113604,م إبتدائية  2مارس قصر هلال - عياد  مكتب 4,0,0,5,6,0,0,197,10,0,3,0,0,3,0,0,2,0,0,0,1,1,0,1,40,1,17,28,315
Monastir,KsarHelal,22120113701,م إبتدائية نهج بوغزالة قصر هلال - عياد  مكتب 1,0,0,0,12,0,0,362,4,2,1,1,0,2,1,0,0,0,1,1,0,2,1,0,47,0,7,15,459
Monastir,KsarHelal,22120113702,م إبتدائية نهج بوغزالة قصر هلال - عياد  مكتب 2,1,1,2,11,0,0,340,6,0,2,1,0,2,0,0,0,0,0,0,0,4,0,0,70,0,4,20,464
Monastir,KsarHelal,22120113703,م إبتدائية نهج بوغزالة قصر هلال - عياد  مكتب 3,1,0,1,14,0,0,308,9,0,3,1,0,5,2,0,0,0,0,0,1,3,0,1,67,0,8,23,447
Monastir,KsarHelal,22120113704,م إبتدائية نهج بوغزالة قصر هلال - عياد  مكتب 4,0,0,2,22,0,0,303,6,0,0,1,1,4,1,0,2,0,0,0,0,1,0,0,45,0,2,15,405
Monastir,KsarHelal,22120113705,م إبتدائية نهج بوغزالة قصر هلال - عياد  مكتب 5,0,0,3,7,0,2,245,8,0,4,5,0,5,1,0,0,0,2,0,0,1,0,2,51,1,8,31,376
Monastir,KsarHelal,22120113801,م إبتدائية حي بئر سكرة قصر هلال - عياد  مكتب 1,2,0,3,6,0,0,244,5,0,3,5,0,3,2,0,2,0,0,0,1,2,0,0,69,2,15,10,374
Monastir,KsarHelal,22120113802,م إبتدائية حي بئر سكرة قصر هلال - عياد  مكتب 2,0,0,1,5,0,0,192,3,0,0,1,0,1,0,0,3,0,0,1,0,5,0,0,70,1,1,14,298
Monastir,KsarHelal,22120213901,م إبتدائية صوّة قصر هلال   مكتب 1,0,0,3,10,0,1,337,4,0,1,2,0,5,1,1,2,0,1,0,1,3,0,2,56,2,13,15,460
Monastir,KsarHelal,22120213902,م إبتدائية صوّة قصر هلال   مكتب 2,0,0,5,10,1,1,361,4,1,1,4,0,2,3,0,1,0,0,0,0,2,0,2,64,0,6,16,484
Monastir,KsarHelal,22120213903,م إبتدائية صوّة قصر هلال   مكتب 3,0,0,8,11,0,0,319,6,0,0,0,0,3,2,1,0,0,0,0,1,0,0,1,79,0,9,22,462
