#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
22130114601,م إبتدائية مختار بن عمر (بورقيبة قصيبة ) المديوني  مكتب 1,0,0,1,24,0,2,320,4,2,1,4,1,7,0,0,0,0,0,1,1,6,0,0,81,1,6,24,486.0
22130114602,م إبتدائية مختار بن عمر (بورقيبة قصيبة ) المديوني  مكتب 2,1,0,1,26,0,1,303,6,1,2,1,0,4,1,0,1,0,2,0,1,3,0,1,94,1,5,25,480.0
22130114603,م إبتدائية مختار بن عمر (بورقيبة قصيبة ) المديوني  مكتب 3,0,0,2,25,0,0,247,7,0,5,2,0,3,1,0,1,0,0,0,1,3,1,1,118,0,16,38,471.0
22130114604,م إبتدائية مختار بن عمر (بورقيبة قصيبة ) المديوني  مكتب 4,0,0,2,45,0,1,206,11,0,4,2,0,3,0,0,4,0,0,0,0,2,0,2,75,0,8,41,406.0
22130114605,م إبتدائية مختار بن عمر (بورقيبة قصيبة ) المديوني  مكتب 5,0,0,2,17,1,0,146,11,0,0,1,0,2,0,0,1,0,0,0,2,1,0,0,88,0,21,35,328.0
22130114701,م إبتدائية الفتح قصيبة المديوني  مكتب 1,0,0,1,8,0,1,281,5,0,3,3,2,3,0,1,1,0,1,0,0,1,0,0,58,0,7,21,397.0
22130114702,م إبتدائية الفتح قصيبة المديوني  مكتب 2,0,0,2,12,0,1,282,3,0,1,2,0,4,1,0,1,0,0,0,0,2,0,4,69,1,6,27,418.0
22130114703,م إبتدائية الفتح قصيبة المديوني  مكتب 3,1,0,1,18,0,0,239,9,0,0,3,0,2,0,0,0,0,0,0,1,1,0,0,83,1,7,23,389.0
22130114704,م إبتدائية الفتح قصيبة المديوني  مكتب 4,1,0,1,36,0,0,193,6,0,2,1,0,1,0,0,1,0,0,0,0,1,0,1,66,0,2,25,337.0
22130114705,م إبتدائية الفتح قصيبة المديوني  مكتب 5,0,0,2,14,0,0,146,15,0,3,3,0,3,0,0,0,0,0,0,0,0,0,2,52,0,6,49,295.0
