#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
22040104801,م إبتدائية غرة جوان المنسبير - المدينة  مكتب 1,0,1,0,10,1,0,255,4,0,0,2,0,6,0,0,2,0,0,0,0,2,0,3,99,0,13,29,427
22040104802,م إبتدائية غرة جوان المنسبير - المدينة  مكتب 2,0,0,1,5,0,1,409,4,0,0,0,0,1,0,2,1,0,0,1,0,3,0,0,39,0,3,14,484
22040104803,م إبتدائية غرة جوان المنسبير - المدينة  مكتب 3,0,0,2,9,0,0,394,6,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,71,1,3,7,498
22040104804,م إبتدائية غرة جوان المنسبير - المدينة  مكتب 4,0,0,1,13,0,0,220,8,0,0,4,0,4,0,0,0,1,0,0,0,1,0,1,114,0,4,44,415
22040104805,م إبتدائية غرة جوان المنسبير - المدينة  مكتب 5,1,0,1,13,0,0,303,9,0,1,1,0,3,0,0,2,0,0,2,1,3,0,0,82,0,8,29,459
22040104806,م إبتدائية غرة جوان المنسبير - المدينة  مكتب 6,0,0,4,22,1,0,291,5,0,2,1,0,6,0,0,0,0,0,0,1,0,0,0,55,0,3,40,431
22040104807,م إبتدائية غرة جوان المنسبير - المدينة  مكتب 7,0,0,7,10,0,0,269,15,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,55,1,4,63,428
22040104808,م إبتدائية غرة جوان المنسبير - المدينة  مكتب 8,0,0,2,6,0,1,92,15,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,111,0,13,56,301
22040104809,م إبتدائية غرة جوان المنسبير - المدينة  مكتب 9,0,0,2,4,0,0,39,11,0,0,4,0,2,0,0,2,0,0,0,0,1,0,0,134,0,8,60,267
22040204901,م إبتدائية الهادي نعمان المنستير - المدينة  2   مكتب 1,0,0,0,7,0,0,263,3,1,1,2,0,3,1,0,4,0,1,1,1,4,0,3,52,2,16,25,390
