#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
22050106801,م إبتدائية الأمل الوردانين - الوردانين الشمالية  مكتب 1,0,0,3,15,1,0,220,6,1,1,1,0,2,0,0,2,0,0,0,0,2,1,2,67,0,8,4,336.0
22050106802,م إبتدائية الأمل الوردانين - الوردانين الشمالية  مكتب 2,0,0,2,18,0,0,184,5,0,2,1,0,3,1,0,0,1,0,0,1,1,1,1,105,2,5,3,336.0
22050106803,م إبتدائية الأمل الوردانين - الوردانين الشمالية  مكتب 3,0,2,1,18,0,0,178,4,0,2,2,0,4,0,0,1,0,0,1,1,3,0,0,84,0,5,13,319.0
22050106804,م إبتدائية الأمل الوردانين - الوردانين الشمالية  مكتب 4,0,0,3,25,0,1,172,3,0,1,2,0,4,0,0,2,0,0,0,0,0,0,0,66,0,6,3,288.0
22050106805,م إبتدائية الأمل الوردانين - الوردانين الشمالية  مكتب 5,1,0,1,16,0,0,147,9,0,1,1,0,5,1,0,2,0,0,0,0,1,0,0,61,0,7,10,263.0
22050106901,م إبتدائية التقدم بالوردانين - الوردانين الشمالية  مكتب 1,2,0,3,14,0,0,186,7,2,1,5,1,7,1,1,3,1,1,0,0,1,0,2,72,0,7,11,328.0
22050106902,م إبتدائية التقدم بالوردانين - الوردانين الشمالية  مكتب 2,1,0,1,12,1,3,147,11,0,1,5,0,6,0,0,1,0,0,0,2,1,0,0,76,1,18,6,293.0
22050207001,م إبتدائية ابن يونس الوردانين - الوردانين الجنوبية  مكتب 1,2,1,0,19,0,1,231,6,0,0,2,0,2,0,1,3,0,0,0,1,6,0,2,63,0,9,3,352.0
22050207002,م إبتدائية ابن يونس الوردانين - الوردانين الجنوبية  مكتب 2,0,1,2,23,0,1,198,5,0,0,2,0,1,1,0,2,1,0,2,0,5,0,1,93,0,5,4,347.0
22050207003,م إبتدائية ابن يونس الوردانين - الوردانين الجنوبية  مكتب 3,0,0,1,16,0,0,196,11,0,2,1,1,5,0,0,1,0,0,0,0,2,0,0,103,0,4,4,347.0
22050207004,م إبتدائية ابن يونس الوردانين - الوردانين الجنوبية  مكتب 4,0,0,1,22,1,0,175,11,0,0,0,0,3,0,0,2,0,0,0,0,2,0,0,94,0,5,4,320.0
22050207005,م إبتدائية ابن يونس الوردانين - الوردانين الجنوبية  مكتب 5,2,0,5,19,0,0,128,12,0,1,5,0,4,0,0,2,0,0,0,0,0,0,1,70,1,12,11,273.0
22050207101,م إبتدائية عبد الله فرحات - الوردانين الجنوبية  مكتب 1,0,2,1,18,0,0,213,4,0,0,4,0,3,1,0,2,0,0,0,2,6,0,0,65,0,6,7,334.0
22050207102,م إبتدائية عبد الله فرحات - الوردانين الجنوبية  مكتب 2,2,0,2,22,0,0,184,5,0,1,0,1,3,0,0,1,0,0,0,1,3,0,0,57,0,1,3,286.0
22050207201,م إبتدائية   14 جانفي الوردانين - الوردانين الجنوبية  مكتب 1,2,0,5,20,0,2,171,8,1,1,3,0,3,0,0,2,0,0,0,0,2,1,1,68,0,16,2,308.0
22050207202,م إبتدائية   14 جانفي الوردانين - الوردانين الجنوبية  مكتب 2,1,0,2,17,0,0,121,7,0,4,1,0,3,0,1,2,0,0,0,0,0,0,0,70,0,22,6,257.0
22050307301,م إبتدائية منزل خير  مكتب 1,0,1,0,6,0,0,143,3,0,1,0,0,7,0,0,0,0,1,0,1,1,0,2,47,0,10,2,225.0
22050307302,م إبتدائية منزل خير  مكتب 2,0,0,3,17,0,0,79,5,0,1,4,0,11,0,0,1,0,0,0,0,0,0,1,37,0,9,11,179.0
22050407401,م إبتدائية سيدي بوعثمان   مكتب 1,0,1,1,7,0,0,211,2,0,0,0,0,14,0,0,4,2,0,0,0,2,0,1,16,1,2,9,273.0
مجموع أصوات القائمة,13,8,37,324,3,8,3284,124,4,20,39,3,90,5,3,33,5,2,3,9,38,3,14,1314,5,157,116,5664,
