circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Monastir,Sahline,22020100801,م إبتدائية السلام الساحلين - الساحلين الشرقية  مكتب 1,0,0,2,21,1,1,192,5,0,2,1,0,4,0,1,2,1,0,0,1,2,0,2,158,0,10,18,424
Monastir,Sahline,22020100802,م إبتدائية السلام الساحلين - الساحلين الشرقية  مكتب 2,1,1,4,30,0,2,196,2,2,1,2,0,2,0,1,0,1,1,0,0,6,0,0,166,1,1,4,424
Monastir,Sahline,22020100803,م إبتدائية السلام الساحلين - الساحلين الشرقية  مكتب 3,1,0,2,33,0,0,176,4,0,1,0,0,5,1,0,0,0,0,0,0,3,0,1,204,0,11,12,454
Monastir,Sahline,22020100804,م إبتدائية السلام الساحلين - الساحلين الشرقية  مكتب 4,0,0,2,29,1,1,158,7,0,1,4,0,3,1,0,0,0,0,0,0,1,0,2,183,1,5,14,413
Monastir,Sahline,22020100805,م إبتدائية السلام الساحلين - الساحلين الشرقية  مكتب 5,0,0,3,42,0,1,151,6,0,3,2,0,6,0,0,0,0,0,0,0,1,0,1,133,1,2,15,367
Monastir,Sahline,22020100806,م إبتدائية السلام الساحلين - الساحلين الشرقية  مكتب 6,0,0,5,19,0,0,105,5,0,2,4,0,3,0,0,0,0,2,0,0,0,0,1,137,0,19,21,323
Monastir,Sahline,22020100901,م إبتدائية شاكر الساحلين - الساحلين الشرقية  مكتب 1,3,0,1,23,0,2,154,5,1,0,1,0,5,0,1,2,1,2,1,1,4,0,0,107,0,12,7,333
Monastir,Sahline,22020100902,م إبتدائية شاكر الساحلين - الساحلين الشرقية  مكتب 2,0,0,3,14,0,0,123,7,0,3,2,1,2,0,0,1,0,0,0,1,1,0,0,62,1,18,9,248
Monastir,Sahline,22020201001,م إبتدائية الحبيب الساحلين - الساحلين الغربية  مكتب 1,0,0,3,10,0,0,177,8,0,1,5,0,2,1,0,0,0,1,0,0,3,1,2,157,0,26,9,406
Monastir,Sahline,22020201002,م إبتدائية الحبيب الساحلين - الساحلين الغربية  مكتب 2,2,0,2,25,1,0,177,4,1,0,1,0,3,1,0,2,1,0,2,0,1,0,3,141,2,4,10,383
Monastir,Sahline,22020201003,م إبتدائية الحبيب الساحلين - الساحلين الغربية  مكتب 3,1,0,1,43,0,0,172,7,0,1,1,0,4,0,0,1,1,0,0,0,3,0,0,183,0,12,12,442
Monastir,Sahline,22020201004,م إبتدائية الحبيب الساحلين - الساحلين الغربية  مكتب 4,0,0,2,34,0,0,179,6,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,162,1,16,9,415
Monastir,Sahline,22020201005,م إبتدائية الحبيب الساحلين - الساحلين الغربية  مكتب 5,0,0,6,36,0,0,145,8,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,139,0,3,20,363
Monastir,Sahline,22020201006,م إبتدائية الحبيب الساحلين - الساحلين الغربية  مكتب 6,1,0,2,14,0,0,104,16,0,1,4,0,0,1,0,1,1,0,0,0,0,0,0,131,1,26,21,324
