circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Monastir,SayadaLamtaBouHajar,22100112101,م إبتدائية صيادة الشيخ منصور - صيادة الشرقية  مكتب 1,2,1,3,10,2,0,232,5,0,1,1,0,0,0,2,0,0,0,2,2,4,0,0,67,2,6,26,368
Monastir,SayadaLamtaBouHajar,22100112102,م إبتدائية صيادة الشيخ منصور - صيادة الشرقية  مكتب 2,0,0,6,14,0,0,178,7,0,2,0,0,2,1,1,0,0,0,0,0,2,0,0,75,0,2,27,317
Monastir,SayadaLamtaBouHajar,22100112201,م إبتدائية صيادة سليمان - صيادة الشرقية  مكتب 1,0,0,1,8,0,1,294,5,1,1,3,2,5,3,0,2,0,0,0,0,5,1,3,48,1,18,19,421
Monastir,SayadaLamtaBouHajar,22100112202,م إبتدائية صيادة سليمان - صيادة الشرقية  مكتب 2,1,0,0,6,1,1,269,5,1,1,2,0,1,0,1,3,4,2,1,0,4,2,3,61,0,4,17,390
Monastir,SayadaLamtaBouHajar,22100112203,م إبتدائية صيادة سليمان - صيادة الشرقية  مكتب 3,0,0,2,12,0,1,247,3,2,1,0,0,6,3,0,0,0,1,0,0,2,0,1,75,0,5,29,390
Monastir,SayadaLamtaBouHajar,22100112204,م إبتدائية صيادة سليمان - صيادة الشرقية  مكتب 4,0,0,2,13,0,0,218,2,0,1,4,0,5,0,1,0,0,0,0,0,4,0,0,84,0,10,23,367
Monastir,SayadaLamtaBouHajar,22100112205,م إبتدائية صيادة سليمان - صيادة الشرقية  مكتب 5,0,0,1,21,0,1,193,5,0,2,5,0,2,0,1,1,0,0,0,0,3,0,1,61,1,4,22,324
Monastir,SayadaLamtaBouHajar,22100112206,م إبتدائية صيادة سليمان - صيادة الشرقية  مكتب 6,0,0,2,9,0,0,176,10,0,3,0,0,0,2,1,0,0,0,0,0,3,0,1,64,2,10,32,315
Monastir,SayadaLamtaBouHajar,22100212301,م إبتدائية صيادة الجمهورية - صيادة الغربية  مكتب 1,1,0,7,9,0,2,303,2,0,1,3,1,3,0,1,3,1,0,0,0,1,0,3,73,0,12,34,460
Monastir,SayadaLamtaBouHajar,22100212302,م إبتدائية صيادة الجمهورية - صيادة الغربية  مكتب 2,1,0,1,15,0,1,320,2,0,1,2,1,2,0,0,0,0,0,0,0,4,0,1,60,1,6,22,440
Monastir,SayadaLamtaBouHajar,22100212303,م إبتدائية صيادة الجمهورية - صيادة الغربية  مكتب 3,1,0,4,13,0,0,243,10,0,3,4,0,3,0,0,3,0,0,1,1,2,0,0,103,0,13,41,445
