circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Monastir,Teboulba,22110112701,م إبتدائية الهداية طبلبة - حومة السوق  مكتب 1,0,1,1,14,0,1,282,3,0,4,1,1,4,2,0,3,1,0,1,0,3,0,3,83,2,31,7,448
Monastir,Teboulba,22110112702,م إبتدائية الهداية طبلبة - حومة السوق  مكتب 2,0,0,0,11,0,0,283,1,0,5,3,0,2,1,0,1,0,0,0,1,5,1,1,76,1,2,1,395
Monastir,Teboulba,22110112703,م إبتدائية الهداية طبلبة - حومة السوق  مكتب 3,0,0,4,15,0,0,285,4,0,9,3,0,1,1,0,1,0,0,0,0,1,0,0,117,0,4,10,455
Monastir,Teboulba,22110112704,م إبتدائية الهداية طبلبة - حومة السوق  مكتب 4,0,0,1,14,0,2,254,3,0,9,3,0,4,2,0,2,0,0,1,0,1,0,1,91,0,24,8,420
Monastir,Teboulba,22110112705,م إبتدائية الهداية طبلبة - حومة السوق  مكتب 5,2,0,3,19,0,2,239,3,0,14,6,0,1,0,0,2,0,0,0,0,3,0,0,76,0,4,12,386
Monastir,Teboulba,22110112706,م إبتدائية الهداية طبلبة - حومة السوق  مكتب 6,0,0,3,16,0,0,180,7,0,10,1,0,2,1,0,3,0,0,0,0,1,0,1,88,1,6,10,330
Monastir,Teboulba,22110112707,م إبتدائية الهداية طبلبة - حومة السوق  مكتب 7,0,0,0,19,0,0,149,8,0,5,1,0,4,1,0,4,0,0,0,0,0,0,1,68,1,31,9,301
Monastir,Teboulba,22110212801,م إبتدائية الفاضلين طبلبة   مكتب 1,0,0,3,10,0,1,176,3,0,3,2,0,3,0,0,4,0,1,1,0,5,1,0,97,1,5,19,335
Monastir,Teboulba,22110212802,م إبتدائية الفاضلين طبلبة   مكتب 2,0,0,2,14,0,0,151,8,0,6,0,1,6,0,0,1,0,0,1,1,1,0,0,105,0,4,9,310
Monastir,Teboulba,22110212803,م إبتدائية الفاضلين طبلبة   مكتب 3,0,0,3,10,1,0,109,3,0,10,2,0,3,0,0,2,0,0,0,0,1,0,0,79,0,7,15,245
