#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
22090110701,م إبتدائية المزاوغة   مكتب 1,0,1,0,8,0,2,180,1,2,0,7,1,4,0,0,1,0,1,0,0,4,0,1,58,0,16,1,288.0
22090110702,م إبتدائية المزاوغة   مكتب 2,0,0,0,8,0,0,88,5,0,1,3,0,1,1,1,1,0,0,0,0,3,0,0,73,0,6,6,197.0
22090110801,م إبتدائية المزاوغة الشمالية - المزاوغة  مكتب 1,0,0,0,1,1,0,20,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,20,0,2,0,48.0
22090210901,م إبتدائية أولاد العرضاوي منزل حياة   مكتب 1,4,0,2,3,0,0,151,3,0,1,3,0,1,0,0,0,2,0,1,1,4,0,0,48,1,21,2,248.0
22090211001,م إبتدائية منزل حياة ابن خلدون - منزل الحياة  مكتب 1,0,1,0,1,0,0,132,2,0,0,0,0,2,1,0,1,0,0,0,0,2,1,0,25,0,13,6,187.0
22090211101,م إبتدائية منزل حياة الشابي - منزل الحياة  مكتب 1,3,1,2,4,0,1,145,2,0,1,1,0,2,0,0,0,0,1,0,0,4,0,2,34,0,15,2,220.0
22090211102,م إبتدائية منزل حياة الشابي - منزل الحياة  مكتب 2,2,0,0,2,0,0,96,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,2,7,4,147.0
22090211201,م إبتدائية حي الطرابلسية بمنزل حياة   مكتب 1,0,0,1,4,0,0,146,4,0,4,0,2,0,0,0,1,1,2,0,0,1,0,0,59,0,4,3,232.0
22090311301,م إبتدائية العلالشة - المليشات  مكتب 1,0,0,0,9,0,0,137,2,2,0,3,0,2,0,0,2,0,1,0,1,1,0,0,9,0,4,3,176.0
22090311401,م إبتدائية المليشات الفتح - المليشات  مكتب 1,2,1,0,22,1,2,233,5,0,1,6,1,6,1,1,0,0,1,1,0,2,0,0,43,0,18,9,356.0
22090311402,م إبتدائية المليشات الفتح - المليشات  مكتب 2,0,0,0,11,0,0,130,6,0,1,6,0,2,0,0,0,0,0,0,0,1,0,0,29,0,15,15,216.0
22090311501,م إبتدائية أولاد منجة - المليشات  مكتب 1,1,0,0,6,1,0,174,2,0,3,0,1,3,0,0,3,0,1,0,0,3,0,0,21,0,12,8,239.0
22090411601,م إبتدائية شارع بوقيبة زرمدين - زرمدين الشمالية  مكتب 1,2,1,1,9,1,0,214,4,0,0,5,1,4,1,1,1,0,2,0,1,4,0,1,68,0,5,9,335.0
22090411602,م إبتدائية شارع بوقيبة زرمدين - زرمدين الشمالية  مكتب 2,0,0,1,10,1,0,188,4,0,1,2,0,5,0,0,1,0,0,0,0,2,0,0,122,0,5,6,348.0
22090411603,م إبتدائية شارع بوقيبة زرمدين - زرمدين الشمالية  مكتب 3,0,0,3,3,0,0,151,3,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,140,0,0,7,313.0
22090411604,م إبتدائية شارع بوقيبة زرمدين - زرمدين الشمالية  مكتب 4,0,0,3,18,0,0,146,3,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,83,0,1,5,265.0
22090411701,م إبتدائية المهيري زرمدين - زرمدين الشمالية  مكتب 1,0,1,0,10,0,1,215,3,0,3,4,0,5,2,1,1,0,1,0,0,4,0,0,96,1,1,12,361.0
22090411702,م إبتدائية المهيري زرمدين - زرمدين الشمالية  مكتب 2,0,1,0,9,0,1,151,10,0,2,2,0,4,0,0,0,0,0,0,0,1,0,1,127,0,9,10,328.0
22090411703,م إبتدائية المهيري زرمدين - زرمدين الشمالية  مكتب 3,0,0,5,20,0,0,152,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,103,1,2,15,307.0
