#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
11030104201,م إبتدائية الشابي - بني خيار  مكتب 1,2,2,2,1,4,2,245,24,1,1,3,1,5,2,1,5,2,0,2,2,10,2,3,78,0,8,24,432.0
11030104202,م إبتدائية الشابي - بني خيار  مكتب 2,2,1,7,4,1,2,218,25,1,0,2,0,5,1,2,3,0,0,0,1,5,0,3,99,0,20,27,429.0
11030104203,م إبتدائية الشابي - بني خيار  مكتب 3,1,0,2,1,0,1,166,35,0,3,4,1,12,2,0,2,0,0,1,0,3,0,2,121,0,26,28,411.0
11030104204,م إبتدائية الشابي - بني خيار  مكتب 4,2,0,4,4,0,1,156,49,1,3,4,0,10,3,0,7,0,0,0,2,3,1,4,116,2,16,28,416.0
11030104205,م إبتدائية الشابي - بني خيار  مكتب 5,0,0,2,2,1,2,153,43,0,1,2,0,6,0,0,1,2,0,1,0,1,0,1,114,1,18,24,375.0
11030104206,م إبتدائية الشابي - بني خيار  مكتب 6,0,0,7,3,0,1,109,51,0,0,7,0,5,1,1,2,0,0,1,0,1,0,1,83,1,17,35,326.0
11030104301,م إبتدائية المنار - بني خيار  مكتب 1,2,0,1,8,1,1,214,22,1,1,3,2,9,1,1,2,3,0,0,3,11,2,2,94,3,12,17,416.0
11030104302,م إبتدائية المنار - بني خيار  مكتب 2,1,0,5,5,2,0,218,41,1,3,6,2,15,0,1,2,2,1,0,5,5,0,2,85,0,20,30,452.0
11030104303,م إبتدائية المنار - بني خيار  مكتب 3,3,0,4,3,0,2,186,60,0,1,7,0,7,0,0,5,1,2,1,1,8,0,4,125,0,19,23,462.0
11030104304,م إبتدائية المنار - بني خيار  مكتب 4,0,0,2,2,0,1,167,61,0,1,2,0,15,1,0,1,0,1,0,0,0,0,4,120,2,13,22,415.0
11030104305,م إبتدائية المنار - بني خيار  مكتب 5,0,0,4,3,0,1,114,72,0,3,3,0,5,0,0,1,0,0,3,0,2,0,4,90,1,17,33,356.0
11030104401,م إبتدائية الطاهر الحداد - بني خيار  مكتب 1,1,0,3,5,1,1,290,19,2,0,3,0,8,3,1,3,2,0,0,1,3,1,3,112,0,10,31,503.0
11030104402,م إبتدائية الطاهر الحداد - بني خيار  مكتب 2,0,1,2,9,2,4,227,23,1,1,7,0,12,1,2,1,0,0,0,1,5,0,1,129,2,7,28,466.0
