circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Nabeul1,DarChaabaneElfehri,11050106201,م إبتدائية الهادي شاكر - دار شعبان  مكتب 1,1,0,0,2,1,4,229,23,1,2,6,2,13,2,1,5,0,2,0,2,3,0,1,102,1,24,27,454
Nabeul1,DarChaabaneElfehri,11050106202,م إبتدائية الهادي شاكر - دار شعبان  مكتب 2,4,1,4,2,0,2,234,32,1,1,1,0,5,1,0,7,1,0,0,1,1,0,3,116,0,16,20,453
Nabeul1,DarChaabaneElfehri,11050106203,م إبتدائية الهادي شاكر - دار شعبان  مكتب 3,1,0,0,6,0,1,205,52,0,2,5,0,11,3,0,4,3,0,0,0,2,0,3,119,1,14,23,455
Nabeul1,DarChaabaneElfehri,11050106204,م إبتدائية الهادي شاكر - دار شعبان  مكتب 4,2,0,5,4,0,3,189,46,0,1,4,0,13,0,0,3,2,0,0,0,4,1,1,116,0,18,28,440
Nabeul1,DarChaabaneElfehri,11050106205,م إبتدائية الهادي شاكر - دار شعبان  مكتب 5,0,0,3,5,0,0,155,55,0,2,3,1,4,1,0,1,0,0,0,0,2,0,1,109,2,8,38,390
Nabeul1,DarChaabaneElfehri,11050106206,م إبتدائية الهادي شاكر - دار شعبان  مكتب 6,0,0,8,5,0,0,157,62,0,0,6,0,8,0,0,0,1,0,0,0,1,0,1,112,1,7,41,410
Nabeul1,DarChaabaneElfehri,11050106301,م إبتدائية الهلالية - دار شعبان  مكتب 1,4,1,1,5,2,5,247,26,2,3,6,1,12,2,3,7,2,0,1,2,6,1,4,86,1,23,14,467
Nabeul1,DarChaabaneElfehri,11050106302,م إبتدائية الهلالية - دار شعبان  مكتب 2,0,0,2,4,0,0,228,35,0,2,6,0,7,1,0,5,1,1,1,1,2,0,2,137,1,12,22,470
Nabeul1,DarChaabaneElfehri,11050106303,م إبتدائية الهلالية - دار شعبان  مكتب 3,0,0,1,8,0,1,181,44,1,1,2,0,8,2,0,5,1,0,1,2,2,0,2,139,0,30,30,461
Nabeul1,DarChaabaneElfehri,11050106304,م إبتدائية الهلالية - دار شعبان  مكتب 4,0,1,2,5,0,2,203,48,1,0,2,0,8,0,0,3,2,0,0,0,5,0,5,144,1,11,20,463
Nabeul1,DarChaabaneElfehri,11050106305,م إبتدائية الهلالية - دار شعبان  مكتب 5,1,0,1,6,0,0,142,60,0,0,5,0,5,1,1,3,0,0,0,0,2,0,1,121,0,22,38,409
Nabeul1,DarChaabaneElfehri,11050106306,م إبتدائية الهلالية - دار شعبان  مكتب 6,1,0,2,6,0,0,95,62,0,1,5,0,8,0,0,2,1,0,0,1,0,0,1,130,4,10,58,387
Nabeul1,DarChaabaneElfehri,11050106401,م إبتدائية حي النزهة - دار شعبان  مكتب 1,1,0,1,6,0,2,226,13,0,3,6,1,7,1,1,6,0,0,0,2,6,0,1,62,1,19,18,383
Nabeul1,DarChaabaneElfehri,11050106402,م إبتدائية حي النزهة - دار شعبان  مكتب 2,0,0,1,4,1,0,180,25,0,0,2,0,7,1,0,1,1,0,2,0,2,0,0,50,0,28,27,332
Nabeul1,DarChaabaneElfehri,11050106403,م إبتدائية حي النزهة - دار شعبان  مكتب 3,1,0,3,3,0,0,183,24,0,1,4,0,5,0,0,1,0,1,0,1,1,0,1,52,0,25,18,324
Nabeul1,DarChaabaneElfehri,11050106404,م إبتدائية حي النزهة - دار شعبان  مكتب 4,0,0,2,2,1,0,103,40,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,53,1,25,27,261
Nabeul1,DarChaabaneElfehri,11050206501,م إبتدائية الصادق الغضبان - الفهري  مكتب 1,0,0,2,4,1,1,272,28,0,1,4,1,3,3,1,3,0,1,1,2,4,0,2,112,1,16,32,495
