#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
11020101801,م إبتدائية ابن خلدون - الهوارية الجوفية  مكتب 1,1,0,3,2,0,0,261,14,2,2,1,0,5,2,0,1,0,1,0,1,7,2,0,25,0,9,32,371.0
11020101802,م إبتدائية ابن خلدون - الهوارية الجوفية  مكتب 2,1,0,0,3,1,1,186,28,1,0,2,0,4,1,0,0,0,0,1,0,4,0,2,48,0,9,37,329.0
11020101803,م إبتدائية ابن خلدون - الهوارية الجوفية  مكتب 3,1,0,3,3,0,0,181,28,0,2,2,0,6,0,0,1,0,0,0,0,3,0,1,47,0,8,41,327.0
11020101804,م إبتدائية ابن خلدون - الهوارية الجوفية  مكتب 4,1,0,0,4,0,0,121,26,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,55,0,8,41,262.0
11020101805,م إبتدائية ابن خلدون - الهوارية الجوفية  مكتب 5,0,0,6,1,0,0,119,45,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,27,1,2,41,248.0
11020101901,م إبتدائية طريق الشاطئ - الهوارية الجوفية  مكتب 1,5,1,0,2,1,0,204,24,4,2,4,2,8,1,0,0,2,0,1,1,9,0,1,29,0,12,30,343.0
11020101902,م إبتدائية طريق الشاطئ - الهوارية الجوفية  مكتب 2,0,0,1,5,0,0,193,49,0,1,2,0,6,0,1,1,0,0,0,0,2,0,1,74,0,3,51,390.0
11020101903,م إبتدائية طريق الشاطئ - الهوارية الجوفية  مكتب 3,0,0,0,3,0,0,169,43,0,1,2,0,1,0,0,1,0,0,0,0,2,0,0,45,0,11,38,316.0
11020101904,م إبتدائية طريق الشاطئ - الهوارية الجوفية  مكتب 4,0,0,1,1,0,0,127,51,0,1,2,0,4,2,0,0,0,0,0,0,1,0,3,51,0,7,49,300.0
11020102001,م إبتدائية حي السلامة - الهوارية الجوفية  مكتب 1,3,1,1,2,0,1,187,10,1,0,0,0,4,2,0,2,2,1,0,0,4,1,2,13,0,11,18,266.0
11020102002,م إبتدائية حي السلامة - الهوارية الجوفية  مكتب 2,1,2,1,0,0,0,167,21,0,2,2,0,3,0,0,0,0,0,0,0,2,0,0,37,0,11,40,289.0
11020102003,م إبتدائية حي السلامة - الهوارية الجوفية  مكتب 3,0,0,3,2,0,0,120,22,0,0,5,0,1,0,0,1,0,0,0,0,0,0,4,24,0,9,26,217.0
11020202101,م إبتدائية الشرف - الهوارية القبلية  مكتب 1,1,0,0,0,1,1,186,24,0,2,2,1,2,0,0,2,0,0,2,0,8,1,0,17,0,7,26,283.0
11020202201,م إبتدائية سيدي مذكور - الهوارية القبلية  مكتب 1,3,1,0,3,0,2,168,12,1,1,3,1,3,2,2,5,2,3,0,2,7,0,1,18,1,12,12,265.0
11020202202,م إبتدائية سيدي مذكور - الهوارية القبلية  مكتب 2,0,0,1,0,0,1,113,16,0,1,3,0,0,0,0,3,0,0,0,0,1,0,0,21,0,14,14,188.0
11020202301,م إبتدائية الكدوة - الهوارية القبلية  مكتب 1,2,0,2,0,0,3,94,35,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,14,0,8,39,202.0
11020302401,م إبتدائية صاحب الجبل - صاحب الجبل الجوفية  مكتب 1,2,0,1,4,4,3,158,28,2,2,6,1,5,5,0,0,0,0,0,0,2,1,0,59,2,14,48,347.0
11020302402,م إبتدائية صاحب الجبل - صاحب الجبل الجوفية  مكتب 2,1,0,1,1,0,1,132,34,0,0,1,0,4,0,1,1,2,2,0,1,0,0,0,68,0,18,60,328.0
11020302403,م إبتدائية صاحب الجبل - صاحب الجبل الجوفية  مكتب 3,0,1,0,3,0,0,107,30,0,0,0,0,4,1,0,2,1,0,0,0,0,1,0,50,1,4,40,245.0
11020302501,م إبتدائية برج الصالحي - صاحب الجبل الجوفية  مكتب 1,1,0,1,2,1,1,74,19,0,1,3,2,2,2,1,3,1,3,1,3,5,0,1,46,0,13,27,213.0
11020302601,م إبتدائية منزل سالم - صاحب الجبل الجوفية  مكتب 1,0,0,0,0,0,0,105,30,1,0,2,0,0,1,1,1,1,1,0,0,2,0,0,22,1,6,124,298.0
