#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
11010100101,م إبتدائية تافلون   مكتب 1,1,0,2,3,0,1,169,14,1,3,5,4,4,1,1,2,2,0,0,3,13,4,0,44,1,23,26,327.0
11010100102,م إبتدائية تافلون   مكتب 2,1,1,0,1,0,1,120,22,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,38,1,11,25,228.0
11010100201,م إبتدائية شط الزهور - تافلون  مكتب 1,0,0,1,1,1,2,154,31,1,2,2,1,4,0,0,0,1,1,0,0,6,0,1,38,0,13,45,305.0
11010200301,م إبتدائية الميدة طريق منزل تميم - الميدة  مكتب 1,1,3,1,5,1,0,214,9,3,2,3,1,5,0,1,0,1,4,2,0,3,0,1,64,1,7,39,371.0
11010200302,م إبتدائية الميدة طريق منزل تميم - الميدة  مكتب 2,1,0,2,1,0,1,169,8,0,0,1,0,1,1,0,2,0,1,0,1,3,0,0,88,1,7,55,343.0
11010200303,م إبتدائية الميدة طريق منزل تميم - الميدة  مكتب 3,0,0,4,5,0,0,121,21,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,76,0,7,47,288.0
11010200401,م إبتدائية بودخان - الميدة  مكتب 1,0,0,1,2,0,0,69,7,1,2,1,0,2,1,0,0,1,1,0,0,3,1,0,26,0,1,148,267.0
11010200501,م إبتدائية عين غراب - الميدة  مكتب 1,2,0,2,2,0,2,180,8,0,1,2,1,0,0,1,5,3,2,2,1,6,0,1,32,0,8,26,287.0
11010200601,م إبتدائية ظهرة الزاوية الميدة  مكتب 1,0,0,2,2,0,1,138,9,1,1,3,0,3,1,0,1,1,1,0,2,6,0,0,39,0,7,26,244.0
11010200701,م إبتدائية الخلايفــة - الميدة  مكتب 1,2,1,1,1,1,2,134,14,3,3,1,1,5,0,0,2,0,0,2,2,6,1,0,22,0,7,27,238.0
11010300801,م إبتدائية فرتونة   مكتب 1,2,1,0,8,1,2,157,10,4,3,4,1,2,0,1,2,0,0,1,1,5,0,0,87,2,24,9,327.0
11010300802,م إبتدائية فرتونة   مكتب 2,0,0,0,4,0,0,66,24,0,1,1,0,3,0,0,0,0,1,0,0,1,0,0,93,0,23,14,231.0
11010300901,م إبتدائية سيدي بوعلي - فرتونة  مكتب 1,2,0,0,2,1,3,70,14,0,1,2,2,6,1,2,3,2,2,1,3,2,1,0,122,1,23,7,273.0
11010301001,م إبتدائية الرويقات - فرتونة  مكتب 1,0,0,5,2,3,2,68,16,1,2,7,0,4,0,2,0,0,3,0,2,4,1,1,72,0,8,8,211.0
11010401101,م إبتدائية ام ذويل  مكتب 1,1,1,3,3,0,3,189,4,5,1,3,0,5,0,0,2,2,3,2,2,8,1,0,33,0,19,23,313.0
11010401102,م إبتدائية ام ذويل  مكتب 2,0,0,0,0,0,0,135,8,0,1,3,0,2,2,0,1,0,0,0,0,1,0,0,40,0,3,14,210.0
11010401201,م إبتدائية زاوية ام ذويل  14 جانفي  مكتب 1,0,0,0,1,1,0,44,6,0,0,1,0,1,1,0,0,0,1,0,0,2,0,2,18,0,2,28,108.0
11010401301,م إبتدائية المعيصرة - أم ذويل  مكتب 1,1,0,0,0,0,1,131,8,1,3,2,1,0,1,0,0,3,1,1,1,4,0,6,39,1,2,12,219.0
11010501401,م إبتدائية هنشير لبنة   مكتب 1,3,0,0,5,4,1,204,14,1,1,4,0,2,2,0,1,2,1,1,1,14,0,0,26,2,3,14,306.0
11010501402,م إبتدائية هنشير لبنة   مكتب 2,0,0,0,3,0,0,141,31,0,4,8,0,1,0,0,1,0,0,0,1,3,0,0,42,1,6,25,267.0
11010501501,م إبتدائية الحي الجديد - لبنة  مكتب 1,0,0,3,1,3,0,158,24,0,1,3,1,2,0,0,0,0,0,0,1,10,0,1,25,0,11,33,277.0
11010601601,م إبتدائية القرشين   مكتب 1,0,0,1,2,0,0,133,24,0,3,4,0,3,4,0,1,0,1,0,3,5,0,0,62,0,31,35,312.0
11010601701,م إبتدائية الحمادة - القرشين  مكتب 1,0,0,1,2,0,1,115,25,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,28,0,14,3,195.0
مجموع أصوات القائمة,17,7,29,56,16,23,3079,351,23,36,63,15,62,15,8,24,18,23,12,25,108,9,14,1154,11,260,689,6147,
