#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
11060107401,م إبتدائية الاثلاث - بني عياش  مكتب 1,0,0,0,0,1,1,43,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,0,1,3,65
11060107501,م إبتدائية بني عياش   مكتب 1,2,1,2,2,2,0,126,13,1,2,2,0,5,2,0,1,0,2,1,0,3,0,0,40,1,21,9,238
11060107502,م إبتدائية بني عياش   مكتب 2,0,0,1,6,1,0,71,26,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,49,0,12,12,183
11060107601,م إبتدائية القصبات - بني عياش  مكتب 1,0,0,0,1,0,2,71,2,0,1,2,0,3,0,0,1,0,0,0,1,3,0,1,10,0,19,3,120
11060207701,م إبتدائية قرعة ساسي  مكتب 1,2,0,1,5,1,2,225,53,2,1,6,0,8,0,4,3,2,4,1,2,10,0,2,27,0,2,9,372
11060207702,م إبتدائية قرعة ساسي  مكتب 2,0,0,1,3,0,1,179,60,0,0,3,0,1,0,0,2,0,1,1,0,3,0,1,35,1,9,17,318
11060207801,م إبتدائية بلياس قربة - قرعة ساسي  مكتب 1,0,1,2,1,1,0,107,5,0,0,3,0,3,1,0,0,0,0,0,1,2,0,1,30,0,6,28,192
11060307901,م إبتدائية ديار الحجاج   مكتب 1,2,3,1,9,1,3,172,41,2,2,3,0,4,2,1,2,1,0,0,1,4,2,0,38,1,17,8,320
11060307902,م إبتدائية ديار الحجاج   مكتب 2,1,0,0,1,3,2,177,48,0,0,4,0,4,0,0,1,1,0,0,1,1,0,0,52,0,14,14,324
11060307903,م إبتدائية ديار الحجاج   مكتب 3,0,0,2,2,0,2,142,40,0,1,2,2,1,1,0,0,0,1,0,1,1,0,0,46,0,10,10,264
11060308001,م إبتدائية قصر سعد - ديار الحجاج  مكتب 1,1,1,2,4,1,0,101,22,0,4,2,0,9,2,0,1,1,0,1,0,0,1,3,57,0,15,20,248
11060408101,م إبتدائية التطبيقية بورقيبة - قربة الشرقية  مكتب 1,2,1,5,2,1,2,196,23,0,2,0,1,4,3,0,2,1,0,0,0,4,0,2,132,1,6,23,413
11060408102,م إبتدائية التطبيقية بورقيبة - قربة الشرقية  مكتب 2,0,0,1,5,0,0,179,46,1,1,1,0,2,2,0,1,0,1,0,0,1,0,1,146,0,5,18,411
11060408103,م إبتدائية التطبيقية بورقيبة - قربة الشرقية  مكتب 3,0,0,2,5,0,0,155,28,0,2,2,0,6,1,0,3,0,0,0,2,3,0,1,139,0,6,25,380
11060408104,م إبتدائية التطبيقية بورقيبة - قربة الشرقية  مكتب 4,1,0,4,3,0,0,121,56,0,0,2,0,5,0,0,3,0,0,0,1,1,0,2,111,1,3,33,347
11060408201,م إبتدائية ساحة السوق - قربة الشرقية  مكتب 1,3,1,2,3,0,0,269,32,0,0,3,1,6,1,0,1,2,1,1,0,5,1,3,70,0,6,15,426
11060408202,م إبتدائية ساحة السوق - قربة الشرقية  مكتب 2,1,0,4,3,0,1,232,50,0,0,4,0,8,1,2,2,2,0,1,0,3,0,0,75,0,7,26,422
11060408203,م إبتدائية ساحة السوق - قربة الشرقية  مكتب 3,3,0,1,8,0,1,200,58,1,1,1,0,7,0,0,4,1,0,0,0,3,0,4,109,1,9,29,441
11060408204,م إبتدائية ساحة السوق - قربة الشرقية  مكتب 4,1,0,2,3,0,0,217,49,0,3,0,0,5,0,0,1,0,1,1,0,3,1,1,109,0,7,28,432
11060408205,م إبتدائية ساحة السوق - قربة الشرقية  مكتب 5,1,0,4,5,0,2,144,49,0,1,3,0,2,0,0,5,0,0,0,1,1,0,6,110,2,7,34,377
11060408206,م إبتدائية ساحة السوق - قربة الشرقية  مكتب 6,0,0,5,5,0,1,129,66,0,1,2,0,7,1,0,1,0,0,0,1,1,0,0,79,0,5,60,364
11060408301,م إبتدائية الأخلاق - قربة الشرقية  مكتب 1,0,0,4,7,3,6,180,46,1,0,2,1,11,2,3,2,1,3,1,3,5,1,5,134,0,8,18,447
11060408302,م إبتدائية الأخلاق - قربة الشرقية  مكتب 2,0,1,1,1,0,0,161,56,0,1,4,0,7,0,1,2,0,0,1,1,1,0,5,178,1,12,21,455
11060408303,م إبتدائية الأخلاق - قربة الشرقية  مكتب 3,4,1,1,3,0,0,178,41,0,1,2,1,8,0,0,5,0,0,0,0,2,0,3,184,1,10,15,460
11060408304,م إبتدائية الأخلاق - قربة الشرقية  مكتب 4,1,1,4,4,1,0,144,48,0,3,3,0,11,2,0,2,0,0,0,2,4,0,2,176,0,6,12,426
