#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
11080111501,م إبتدائية الوديان   مكتب 1,0,0,1,2,1,1,88,9,1,0,3,1,4,3,0,1,0,1,1,4,6,0,1,40,0,16,18,202
11080111502,م إبتدائية الوديان   مكتب 2,0,0,2,0,1,0,44,12,0,0,3,0,2,0,0,0,0,0,0,1,1,0,1,39,1,6,20,133
11080111601,م إبتدائية القمبار - الوديان  مكتب 1,0,1,0,2,1,1,94,17,0,1,1,1,3,0,0,3,0,1,0,1,3,0,0,24,1,22,15,192
11080111701,م إبتدائية السودان - الوديان  مكتب 1,1,0,1,1,0,2,67,12,1,1,2,0,2,2,1,1,0,0,2,1,2,0,0,36,1,10,84,230
11080111801,م إبتدائية القيطون - الوديان  مكتب 1,3,2,0,0,0,1,29,6,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,8,0,3,15,72
11080211901,م إبتدائية الرعينين   مكتب 1,2,0,0,1,1,1,199,9,3,2,4,2,5,0,1,1,3,0,0,1,13,2,1,42,0,7,16,316
11080211902,م إبتدائية الرعينين   مكتب 2,0,0,0,2,1,0,129,23,0,1,4,0,4,0,0,1,1,0,0,0,0,0,0,41,0,5,24,236
11080212001,م إبتدائية منزل عيسى - الرعينين  مكتب 1,0,0,1,3,1,0,123,11,1,5,1,1,6,1,0,3,0,0,0,1,2,1,2,14,0,2,17,196
11080212101,م إبتدائية   القرصوليـــن - الرعينين  مكتب 1,2,1,1,5,4,4,91,39,3,5,4,0,4,3,2,3,0,1,0,1,8,3,3,28,0,15,11,241
11080312201,م إبتدائية سيدي عبد المنعم - بني عبد العزيز  مكتب 1,1,2,1,4,4,1,80,40,3,0,4,1,2,4,1,0,2,1,0,0,5,1,1,56,3,9,11,237
11080312202,م إبتدائية سيدي عبد المنعم - بني عبد العزيز  مكتب 2,0,0,1,0,0,0,45,30,0,2,1,0,1,0,1,0,0,0,0,0,0,0,1,52,0,9,12,155
11080312301,م إبتدائية بني حماد - بني عبد العزيز  مكتب 1,0,0,1,7,1,2,85,17,1,0,2,0,6,0,1,0,2,0,0,0,5,0,0,40,0,10,19,199
11080412401,م إبتدائية الصقالبة   مكتب 1,0,1,3,2,1,1,109,12,1,0,7,1,7,3,0,3,0,2,2,1,4,0,0,119,0,17,15,311
11080412402,م إبتدائية الصقالبة   مكتب 2,0,0,2,1,0,0,104,11,0,0,5,0,3,1,0,1,0,0,0,2,1,0,2,127,0,3,19,282
11080412403,م إبتدائية الصقالبة   مكتب 3,1,0,2,1,0,0,68,19,0,0,4,0,2,0,0,1,0,1,0,0,0,0,3,94,0,5,15,216
11080412501,م إبتدائية القبة - الصقالبة  مكتب 1,0,0,0,2,0,1,112,12,1,1,5,1,3,0,0,2,3,1,0,1,3,0,0,22,1,21,12,204
11080412502,م إبتدائية القبة - الصقالبة  مكتب 2,1,1,2,0,0,1,67,17,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,22,1,19,14,150
11080412601,م إبتدائية الغريس - الصقالبة  مكتب 1,0,1,0,0,2,0,125,17,0,1,1,0,6,0,0,2,1,2,1,1,8,1,1,85,0,1,69,325
11080412701,م إبتدائية الشمردل - الصقالبة  مكتب 1,4,0,1,2,0,3,160,28,2,2,3,0,7,1,0,0,0,0,0,0,3,1,1,44,1,16,31,310
