#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
11090114301,م إبتدائية العربي زروق - الأسواق  مكتب 1,2,3,0,3,1,1,307,16,0,0,10,0,12,2,1,3,2,1,1,0,3,0,1,58,0,13,16,456
11090114302,م إبتدائية العربي زروق - الأسواق  مكتب 2,1,0,3,2,0,1,320,16,0,1,3,1,7,0,0,1,1,0,0,1,3,1,0,67,0,17,18,464
11090114303,م إبتدائية العربي زروق - الأسواق  مكتب 3,0,0,1,2,0,0,251,25,0,1,1,2,4,0,0,0,0,0,0,2,1,0,0,72,0,22,33,417
11090114304,م إبتدائية العربي زروق - الأسواق  مكتب 4,0,0,1,8,0,0,233,29,1,0,2,0,5,0,0,2,0,0,0,0,4,1,1,94,1,27,35,444
11090114305,م إبتدائية العربي زروق - الأسواق  مكتب 5,0,0,3,9,0,1,191,31,0,0,3,0,7,2,0,1,0,0,0,1,1,0,2,75,1,10,46,384
11090114306,م إبتدائية العربي زروق - الأسواق  مكتب 6,0,2,1,2,0,0,162,45,0,0,3,0,2,1,0,0,0,0,0,0,1,0,2,62,2,14,51,350
11090114401,م إبتدائية سيدي عمر - الأسواق  مكتب 1,4,2,2,7,3,2,255,12,3,2,4,0,1,1,2,3,2,2,0,2,8,0,0,32,0,19,13,381
11090114402,م إبتدائية سيدي عمر - الأسواق  مكتب 2,1,0,1,4,1,2,211,13,0,4,2,0,4,0,0,0,3,2,1,0,3,0,1,41,0,25,17,336
11090114403,م إبتدائية سيدي عمر - الأسواق  مكتب 3,1,0,0,1,1,3,188,18,0,0,1,1,6,1,0,1,0,2,1,0,3,0,0,39,0,22,26,315
11090114404,م إبتدائية سيدي عمر - الأسواق  مكتب 4,0,0,1,2,0,1,206,26,1,0,2,0,3,0,1,0,1,0,0,0,2,0,1,66,0,27,21,361
11090114405,م إبتدائية سيدي عمر - الأسواق  مكتب 5,0,0,1,3,0,1,141,29,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,67,0,19,23,289
11090114406,م إبتدائية سيدي عمر - الأسواق  مكتب 6,0,0,1,1,0,1,118,34,0,1,2,1,2,0,1,1,0,0,0,0,2,0,1,49,0,15,22,252
11090114501,م إبتدائية بوغدير - الأسواق  مكتب 1,1,1,1,6,0,1,291,13,1,1,3,0,7,3,0,1,1,1,0,0,6,0,1,55,1,10,20,425
11090114502,م إبتدائية بوغدير - الأسواق  مكتب 2,1,0,2,0,0,2,273,23,1,2,2,2,4,1,0,1,0,0,0,0,2,0,1,89,1,17,25,449
11090114503,م إبتدائية بوغدير - الأسواق  مكتب 3,0,0,3,4,0,1,230,22,0,1,2,2,7,1,0,0,0,0,0,0,3,0,1,107,1,14,25,424
11090114504,م إبتدائية بوغدير - الأسواق  مكتب 4,0,0,2,0,0,0,176,31,0,3,1,0,5,0,0,1,0,0,0,1,0,0,0,98,4,11,33,366
11090214601,م إبتدائية عين كميشة - النور  مكتب 1,2,0,2,10,0,3,178,9,2,2,5,1,8,1,0,1,2,2,0,0,2,0,1,19,0,11,11,272
11090214602,م إبتدائية عين كميشة - النور  مكتب 2,1,1,0,7,0,1,119,38,1,0,0,1,0,0,0,1,0,0,0,0,4,1,1,34,0,10,11,231
11090214701,م إبتدائية النارنج - النور  مكتب 1,1,0,4,9,0,0,238,26,2,4,5,0,6,1,0,3,0,0,1,1,2,0,3,81,0,8,11,406
11090214702,م إبتدائية النارنج - النور  مكتب 2,0,0,2,5,0,2,193,33,1,1,3,0,4,1,0,1,0,0,0,0,0,1,2,75,1,24,19,368
11090214703,م إبتدائية النارنج - النور  مكتب 3,1,0,1,6,0,0,171,24,0,3,5,0,2,1,0,5,0,0,0,1,2,0,1,78,1,12,26,340
11090214704,م إبتدائية النارنج - النور  مكتب 4,1,0,7,2,1,0,151,43,0,1,6,0,4,2,0,3,0,0,0,0,3,1,1,59,1,10,26,322
11090214801,م إبتدائية حي الهوارية السلامة - النور  مكتب 1,0,0,0,2,0,1,151,3,1,0,1,0,2,1,1,1,1,1,0,3,2,0,0,16,0,6,5,198
11090314901,م إبتدائية سيدي عاشور - بئر شلوف  مكتب 1,1,2,0,6,2,1,302,19,2,1,2,0,13,4,0,2,1,1,0,0,3,0,1,69,2,18,27,479
11090314902,م إبتدائية سيدي عاشور - بئر شلوف  مكتب 2,2,1,3,4,0,1,284,26,1,6,2,3,4,1,1,1,1,2,0,1,4,0,1,83,2,12,28,474
11090314903,م إبتدائية سيدي عاشور - بئر شلوف  مكتب 3,0,0,1,6,0,0,242,38,0,1,3,0,8,1,0,2,2,0,0,1,4,0,2,93,0,19,30,453
11090314904,م إبتدائية سيدي عاشور - بئر شلوف  مكتب 4,0,0,9,3,0,1,282,33,0,1,0,0,7,0,1,3,0,0,1,0,4,0,1,96,2,13,17,474
11090314905,م إبتدائية سيدي عاشور - بئر شلوف  مكتب 5,0,0,5,7,0,1,272,30,0,2,7,0,10,1,0,3,0,0,0,0,2,0,2,98,1,17,28,486
11090314906,م إبتدائية سيدي عاشور - بئر شلوف  مكتب 6,0,0,1,3,0,1,194,33,0,1,1,0,4,1,0,0,0,0,1,0,1,0,3,73,0,10,43,370
11090314907,م إبتدائية سيدي عاشور - بئر شلوف  مكتب 7,0,0,6,5,1,1,196,43,0,2,6,0,4,0,0,0,1,1,0,1,1,0,1,81,5,13,43,411
11090315001,م إبتدائية بئر شلوف   مكتب 1,1,1,4,2,0,1,401,8,0,0,1,0,3,4,0,2,1,0,0,1,5,0,1,48,0,9,26,519
11090315002,م إبتدائية بئر شلوف   مكتب 2,0,3,2,7,0,2,356,11,3,1,2,1,4,2,1,0,1,3,2,0,8,1,3,53,0,4,15,485
11090315003,م إبتدائية بئر شلوف   مكتب 3,1,0,2,2,0,2,347,22,0,2,2,0,6,0,0,2,0,0,0,0,5,1,0,88,0,10,24,516
11090315004,م إبتدائية بئر شلوف   مكتب 4,1,1,2,5,0,3,297,25,0,1,2,1,5,2,1,2,1,1,0,2,2,0,1,90,0,14,42,501
11090315005,م إبتدائية بئر شلوف   مكتب 5,0,0,5,1,0,3,299,25,2,1,2,0,7,3,0,2,1,0,0,2,1,0,2,84,0,20,32,492
11090315006,م إبتدائية بئر شلوف   مكتب 6,0,0,3,7,1,1,263,22,0,1,6,0,5,3,0,3,0,0,1,0,1,0,0,87,0,8,49,461
11090315007,م إبتدائية بئر شلوف   مكتب 7,0,0,1,5,0,1,222,32,0,0,3,0,6,1,0,0,0,0,0,1,1,0,3,77,1,10,52,416
11090315008,م إبتدائية بئر شلوف   مكتب 8,0,0,5,3,0,1,246,41,0,0,1,0,7,0,0,2,0,0,0,0,2,0,1,77,2,5,66,459
11090315101,م إبتدائية  2مارس 34 نابل - بئر شلوف  مكتب 1,1,0,2,7,0,0,326,14,0,0,0,0,3,4,2,1,0,3,1,0,1,0,2,68,0,8,27,470
11090315102,م إبتدائية  2مارس 34 نابل - بئر شلوف  مكتب 2,1,1,3,3,0,1,283,27,0,0,1,0,7,2,0,3,0,0,0,0,4,0,0,82,1,17,31,467
11090315103,م إبتدائية  2مارس 34 نابل - بئر شلوف  مكتب 3,0,0,5,4,0,1,250,28,0,0,3,1,4,0,0,1,1,0,0,0,1,0,1,75,0,14,31,420
11090315104,م إبتدائية  2مارس 34 نابل - بئر شلوف  مكتب 4,0,0,3,3,0,0,183,36,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,67,3,11,39,350
11090315201,الروضة البلدية بئر شلوف  مكتب 1,2,0,4,4,0,0,323,17,0,2,2,0,5,1,0,3,0,1,1,0,4,0,1,46,1,11,20,448
11090315202,الروضة البلدية بئر شلوف  مكتب 2,0,0,0,4,2,0,271,21,0,2,1,0,8,1,0,1,0,1,1,0,2,0,1,59,1,11,33,420
11090315203,الروضة البلدية بئر شلوف  مكتب 3,0,0,8,3,0,1,287,31,0,0,1,2,5,0,1,3,0,0,1,1,2,0,1,59,0,11,29,446
11090315204,الروضة البلدية بئر شلوف  مكتب 4,1,0,2,3,0,0,199,31,0,3,3,0,2,2,0,0,0,0,0,0,0,0,2,47,0,2,43,340
