#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
12020102501,م إبتدائية ساحة التحرير - بني خلاد الجوفية  مكتب 1,1,1,2,3,1,4,301,26,1,0,4,0,7,1,0,5,0,1,0,4,5,0,1,62,0,9,20,459.0
12020102502,م إبتدائية ساحة التحرير - بني خلاد الجوفية  مكتب 2,1,1,1,1,1,1,287,12,2,1,2,1,7,2,1,1,0,0,2,3,3,0,2,59,1,12,13,417.0
12020102503,م إبتدائية ساحة التحرير - بني خلاد الجوفية  مكتب 3,1,0,1,3,0,1,251,38,0,0,1,0,3,0,0,2,0,0,2,2,1,0,0,105,0,8,32,451.0
12020102504,م إبتدائية ساحة التحرير - بني خلاد الجوفية  مكتب 4,1,0,0,4,0,0,216,40,0,0,4,0,7,0,1,2,0,0,0,0,2,0,1,97,0,15,38,428.0
12020102505,م إبتدائية ساحة التحرير - بني خلاد الجوفية  مكتب 5,3,0,5,6,0,0,207,39,0,0,1,1,5,1,0,1,3,0,0,0,3,0,3,111,0,12,21,422.0
12020102506,م إبتدائية ساحة التحرير - بني خلاد الجوفية  مكتب 6,1,0,3,8,0,0,178,58,0,1,4,0,1,1,0,0,0,0,0,0,1,0,0,93,0,8,26,383.0
12020102507,م إبتدائية ساحة التحرير - بني خلاد الجوفية  مكتب 7,1,0,0,7,0,0,155,41,0,0,3,0,1,0,1,0,0,0,0,0,0,0,2,85,1,14,34,345.0
12020102508,م إبتدائية ساحة التحرير - بني خلاد الجوفية  مكتب 8,0,0,5,2,0,0,155,70,0,0,5,0,6,0,0,0,0,0,0,1,0,0,1,76,4,2,67,394.0
12020102601,م إبتدائية العربي زروق - بني خلاد الجوفية  مكتب 1,2,0,3,3,1,1,285,23,1,2,3,1,7,1,0,2,3,2,0,3,4,0,2,57,2,9,24,441.0
12020102602,م إبتدائية العربي زروق - بني خلاد الجوفية  مكتب 2,1,0,4,2,1,2,261,30,2,0,1,0,6,0,0,1,1,0,0,1,5,0,1,64,0,6,22,411.0
12020102603,م إبتدائية العربي زروق - بني خلاد الجوفية  مكتب 3,1,0,0,3,1,4,238,45,0,0,1,0,6,0,0,1,0,0,0,0,3,0,1,74,2,13,36,429.0
12020102604,م إبتدائية العربي زروق - بني خلاد الجوفية  مكتب 4,0,0,5,2,1,0,218,46,0,0,4,0,5,0,2,3,1,1,0,0,1,1,0,94,1,9,23,417.0
12020102605,م إبتدائية العربي زروق - بني خلاد الجوفية  مكتب 5,3,0,3,7,0,0,196,27,0,1,2,0,5,0,0,2,0,0,0,0,1,1,0,100,0,10,29,387.0
12020102606,م إبتدائية العربي زروق - بني خلاد الجوفية  مكتب 6,0,0,2,5,1,1,145,40,0,1,2,0,3,1,0,3,0,1,0,0,2,0,2,76,0,7,42,334.0
12020102607,م إبتدائية العربي زروق - بني خلاد الجوفية  مكتب 7,0,0,8,3,0,0,184,46,0,0,4,0,5,0,0,0,0,0,0,1,0,0,1,83,0,4,66,405.0
12020102701,م.إعدادية 23 جانفي 1952 بني خلاد  مكتب 1,0,1,1,2,0,1,178,14,1,1,0,1,6,1,0,0,1,0,0,0,3,0,1,63,0,7,14,296.0
12020102702,م.إعدادية 23 جانفي 1952 بني خلاد  مكتب 2,0,0,1,3,0,0,123,48,0,2,0,0,5,0,0,2,0,0,0,0,1,0,2,54,0,5,31,277.0
12020202801,م إبتدائية سيدي التومي - بني خلاد القبلية  مكتب 1,3,1,0,6,2,1,137,18,2,1,7,0,5,0,0,0,0,0,0,0,6,2,2,46,3,17,10,269.0
12020202802,م إبتدائية سيدي التومي - بني خلاد القبلية  مكتب 2,0,0,0,0,0,1,132,22,0,3,1,0,2,0,0,1,1,0,0,1,4,0,0,45,1,18,13,245.0
12020202803,م إبتدائية سيدي التومي - بني خلاد القبلية  مكتب 3,1,0,0,4,1,0,85,35,0,2,1,0,2,0,0,0,1,1,0,1,0,0,2,34,0,10,14,194.0
12020302901,م إبتدائية زاوية الجديدي  مكتب 1,2,2,1,6,1,2,236,25,0,1,2,0,3,2,0,5,0,1,1,2,6,2,1,56,1,8,5,371.0
12020302902,م إبتدائية زاوية الجديدي  مكتب 2,1,0,1,3,1,1,193,15,0,1,4,0,2,2,0,2,0,2,1,0,6,0,2,67,0,20,18,342.0
12020302903,م إبتدائية زاوية الجديدي  مكتب 3,2,0,1,1,0,2,183,31,3,1,3,0,2,0,1,2,2,0,0,0,4,0,3,79,0,17,15,352.0
12020302904,م إبتدائية زاوية الجديدي  مكتب 4,2,0,1,1,0,1,161,34,0,2,3,0,4,0,1,0,0,0,2,1,4,1,0,68,1,13,10,310.0
12020302905,م إبتدائية زاوية الجديدي  مكتب 5,1,0,1,1,0,0,122,27,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,83,1,11,20,275.0
12020302906,م إبتدائية زاوية الجديدي  مكتب 6,0,0,2,2,0,0,159,38,1,1,4,0,2,0,0,0,0,0,0,0,0,0,1,63,2,11,13,299.0
12020303001,م إبتدائية المغرة - زاوية الجديدي  مكتب 1,2,1,0,1,0,0,78,4,0,0,1,0,2,0,0,0,0,3,0,0,2,0,0,25,0,3,11,133.0
12020403101,م إبتدائية القبودي - القبة الكبيرة  مكتب 1,0,0,1,3,0,2,162,15,0,1,0,0,1,0,0,1,0,0,0,0,7,0,0,18,0,9,8,228.0
12020403102,م إبتدائية القبودي - القبة الكبيرة  مكتب 2,0,0,1,1,0,0,136,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23,0,4,10,196.0
12020403201,م إبتدائية القبة الكبيرة   مكتب 1,1,0,1,4,0,3,200,22,1,2,1,4,2,1,0,0,0,1,0,2,4,1,0,35,3,15,23,326.0
12020403202,م إبتدائية القبة الكبيرة   مكتب 2,0,0,0,2,0,0,145,38,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,40,0,9,34,272.0
12020403301,م إبتدائية باطرو - القبة الكبيرة  مكتب 1,0,0,2,0,1,0,212,23,0,0,0,0,2,0,0,0,2,0,1,1,6,0,0,62,0,7,35,354.0
12020503401,م إبتدائية بئر دراسن   مكتب 1,0,2,0,3,1,2,180,15,2,1,2,0,1,0,1,3,1,0,0,1,4,0,1,26,1,14,16,277.0
12020503402,م إبتدائية بئر دراسن   مكتب 2,0,0,0,0,0,0,101,21,1,1,1,0,3,0,0,0,0,0,1,0,2,0,0,36,0,11,9,187.0
12020503501,م إبتدائية المزنين - بئر دراسن  مكتب 1,2,0,1,3,1,3,168,17,0,1,2,1,8,0,1,1,1,1,0,1,1,0,1,52,0,19,17,302.0
12020503601,م إبتدائية العهد الجديد بئر دراسن   مكتب 1,0,0,1,3,0,1,153,27,0,0,3,1,4,0,1,2,0,0,0,2,4,0,0,36,1,12,15,266.0
12020603701,م إبتدائية سيدي علية - بني خلاد الشرقية  مكتب 1,3,2,0,5,0,2,115,24,0,2,4,0,3,2,1,1,1,1,1,2,3,0,2,25,2,25,20,246.0
12020603702,م إبتدائية سيدي علية - بني خلاد الشرقية  مكتب 2,2,0,0,1,0,1,95,23,0,0,1,0,5,0,1,1,0,0,0,0,1,0,0,27,0,13,10,181.0
مجموع أصوات القائمة,38,11,58,114,15,37,6731,1136,19,32,82,10,141,15,12,44,19,15,11,29,103,8,35,2299,27,416,864,12321,
