circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Nabeul2,BouArgoub,12030103801,م إبتدائية سيدي الظاهر  مكتب 1,1,3,1,2,0,0,219,23,2,0,0,0,3,0,0,3,0,1,0,1,5,0,0,50,2,5,39,360
Nabeul2,BouArgoub,12030103802,م إبتدائية سيدي الظاهر  مكتب 2,0,0,1,1,0,0,170,27,0,1,2,0,6,0,0,2,0,0,0,0,1,0,0,104,0,4,65,384
Nabeul2,BouArgoub,12030103803,م إبتدائية سيدي الظاهر  مكتب 3,0,0,2,0,0,1,141,42,0,1,3,0,6,0,0,0,0,0,0,0,1,0,0,74,0,1,66,338
Nabeul2,BouArgoub,12030203901,م إبتدائية المشروحة   مكتب 1,0,0,3,8,2,1,178,26,1,3,6,0,3,3,0,1,2,0,1,0,6,1,0,78,2,17,11,353
Nabeul2,BouArgoub,12030203902,م إبتدائية المشروحة   مكتب 2,1,0,0,6,2,0,124,28,1,1,1,0,0,0,1,1,0,0,0,1,4,0,0,132,0,11,26,340
Nabeul2,BouArgoub,12030203903,م إبتدائية المشروحة   مكتب 3,4,0,2,1,0,0,99,44,0,3,4,1,3,0,1,1,0,0,0,0,0,0,0,107,0,8,17,295
Nabeul2,BouArgoub,12030304001,م إبتدائية برج حفيظ   مكتب 1,0,1,1,4,0,2,168,18,2,1,1,0,5,0,1,0,0,3,0,0,3,0,0,43,0,14,7,274
Nabeul2,BouArgoub,12030304002,م إبتدائية برج حفيظ   مكتب 2,0,0,0,1,0,0,153,25,0,3,3,0,0,0,0,2,0,0,0,0,0,0,1,51,1,9,7,256
Nabeul2,BouArgoub,12030404101,م إبتدائية ابن بسام - بوعرقوب الجوفية  مكتب 1,3,1,4,3,1,0,267,29,1,1,2,1,8,1,0,2,2,3,1,0,7,0,0,65,0,12,16,430
Nabeul2,BouArgoub,12030404102,م إبتدائية ابن بسام - بوعرقوب الجوفية  مكتب 2,1,0,1,1,0,0,192,38,0,0,2,0,4,0,0,4,1,1,1,1,4,0,1,111,0,25,32,420
Nabeul2,BouArgoub,12030404103,م إبتدائية ابن بسام - بوعرقوب الجوفية  مكتب 3,2,0,0,2,0,0,192,51,0,1,2,0,4,0,0,1,1,1,1,0,1,0,0,95,2,15,18,389
Nabeul2,BouArgoub,12030404104,م إبتدائية ابن بسام - بوعرقوب الجوفية  مكتب 4,0,0,5,0,0,0,130,72,0,1,1,0,6,0,0,0,0,0,0,0,1,0,1,93,2,7,40,359
Nabeul2,BouArgoub,12030404201,م إبتدائية 2مارس 34 الدخانية - بوعرقوب الجوفية  مكتب 1,0,3,3,2,0,0,111,40,0,0,0,1,9,0,0,0,0,0,1,0,2,0,0,83,0,8,25,288
Nabeul2,BouArgoub,12030404301,م إبتدائية حي الحرية - بوعرقوب الجوفية  مكتب 1,1,0,0,4,2,1,173,36,1,2,2,0,5,0,1,2,0,0,1,2,8,1,2,40,0,25,38,347
Nabeul2,BouArgoub,12030404302,م إبتدائية حي الحرية - بوعرقوب الجوفية  مكتب 2,2,0,0,0,0,0,136,46,0,1,3,0,2,0,0,1,0,0,0,0,1,0,1,62,0,20,40,315
Nabeul2,BouArgoub,12030404303,م إبتدائية حي الحرية - بوعرقوب الجوفية  مكتب 3,1,0,1,1,0,0,101,63,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,53,0,12,35,272
Nabeul2,BouArgoub,12030504401,م إبتدائية المقطع - بوعرقوب القبلية  مكتب 1,0,2,0,5,2,3,107,19,2,5,3,1,3,1,0,0,2,0,1,0,3,1,1,46,1,14,16,238
Nabeul2,BouArgoub,12030504402,م إبتدائية المقطع - بوعرقوب القبلية  مكتب 2,1,0,0,0,0,0,64,29,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1,84,0,12,24,220
Nabeul2,BouArgoub,12030504501,م إبتدائية الجوهرة بني وائل - بوعرقوب القبلية  مكتب 1,0,1,3,4,3,3,146,27,3,3,5,1,1,2,1,2,1,2,1,0,5,0,0,74,2,18,14,322
Nabeul2,BouArgoub,12030504502,م إبتدائية الجوهرة بني وائل - بوعرقوب القبلية  مكتب 2,0,0,1,0,0,0,128,38,0,3,1,1,5,0,0,3,0,0,0,0,1,0,0,88,1,14,3,287
Nabeul2,BouArgoub,12030504601,م إبتدائية حي حشاد - بوعرقوب القبلية  مكتب 1,1,2,0,3,0,3,191,35,1,3,7,1,2,0,0,0,2,1,0,0,5,2,1,19,2,14,13,308
Nabeul2,BouArgoub,12030504602,م إبتدائية حي حشاد - بوعرقوب القبلية  مكتب 2,0,0,2,0,0,2,150,59,0,1,6,0,1,0,0,0,0,0,0,0,0,0,3,24,0,12,23,283
Nabeul2,BouArgoub,12030504701,م إبتدائية بو سهم - بوعرقوب القبلية  مكتب 1,1,0,1,7,0,2,136,13,2,2,5,0,4,0,1,1,0,0,0,0,3,1,1,20,1,6,11,218
Nabeul2,BouArgoub,12030604801,م إبتدائية قرية بلي   مكتب 1,1,0,3,10,1,0,240,40,1,1,0,1,6,1,0,6,1,2,0,0,3,2,4,86,0,13,11,433
Nabeul2,BouArgoub,12030604802,م إبتدائية قرية بلي   مكتب 2,1,0,1,2,0,1,183,79,1,2,2,0,1,1,0,1,0,0,0,2,0,0,3,73,3,6,24,386
Nabeul2,BouArgoub,12030604901,م إبتدائية هنشير قرط - بلي  مكتب 1,1,0,0,1,1,1,44,5,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,3,0,4,2,67
Nabeul2,BouArgoub,12030605001,م إبتدائية المهاذبة - بلي  مكتب 1,5,0,1,3,1,1,245,7,1,0,7,1,9,0,0,2,3,1,1,3,7,0,0,20,1,5,5,329
Nabeul2,BouArgoub,12030605002,م إبتدائية المهاذبة - بلي  مكتب 2,0,0,1,0,0,1,236,18,0,0,1,0,1,1,0,3,0,0,1,0,1,0,1,52,0,5,16,338
Nabeul2,BouArgoub,12030605003,م إبتدائية المهاذبة - بلي  مكتب 3,2,0,0,2,0,1,183,21,0,1,1,0,2,0,0,1,0,0,0,1,2,0,0,34,0,6,6,263
Nabeul2,BouArgoub,12030705101,م إبتدائية الخروبة   مكتب 1,0,0,0,6,0,3,267,17,0,1,4,0,4,0,0,4,1,1,1,2,11,0,1,39,1,18,8,389
Nabeul2,BouArgoub,12030705102,م إبتدائية الخروبة   مكتب 2,0,0,2,2,0,0,198,56,0,0,1,1,3,0,0,1,1,0,0,1,2,1,0,61,0,4,18,352
