#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
12060107801,م إبتدائية 34/3/2فندق الجديد   مكتب 1,3,4,1,6,1,2,238,15,4,2,2,0,4,4,1,0,1,1,0,0,3,1,0,47,2,10,36,388
12060107802,م إبتدائية 34/3/2فندق الجديد   مكتب 2,1,0,1,2,2,2,175,36,1,0,7,0,6,0,0,0,1,1,0,3,2,0,1,80,1,20,34,376
12060107803,م إبتدائية 34/3/2فندق الجديد   مكتب 3,0,0,1,1,0,0,164,36,0,1,3,0,4,0,0,1,0,0,1,2,3,0,2,89,1,11,43,363
12060107804,م إبتدائية 34/3/2فندق الجديد   مكتب 4,2,0,0,5,0,0,103,49,0,0,3,1,3,0,1,1,0,1,0,0,1,0,1,75,0,19,35,300
12060107901,م إبتدائية التوتة - فندق الجديد   مكتب 1,1,0,0,2,0,1,196,26,2,0,0,1,2,1,0,1,1,0,1,2,8,0,3,157,1,9,28,443
12060107902,م إبتدائية التوتة - فندق الجديد   مكتب 2,1,0,0,1,0,0,160,47,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,139,0,3,36,391
12060108001,م إبتدائية زيانة - فندق الجديد   مكتب 1,0,0,0,0,0,0,6,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,3,27
12060108101,م إبتدائية هنشير سلتان - فندق الجديد   مكتب 1,0,0,2,1,0,2,153,28,1,2,4,1,5,1,1,1,2,1,2,1,2,0,10,105,0,26,17,368
12060108102,م إبتدائية هنشير سلتان - فندق الجديد   مكتب 2,0,0,0,1,0,2,111,40,0,1,3,0,4,1,0,0,0,0,0,0,2,0,2,141,0,16,26,350
12060108103,م إبتدائية هنشير سلتان - فندق الجديد   مكتب 3,0,0,0,1,0,0,86,48,0,1,0,1,0,0,2,2,0,0,1,1,0,0,8,68,2,18,25,264
12060108201,م إبتدائية   14 جانفي فندق الجديد   مكتب 1,1,0,4,1,2,1,184,34,0,0,5,1,3,2,1,4,0,1,0,1,4,0,1,48,1,17,21,337
12060108202,م إبتدائية   14 جانفي فندق الجديد   مكتب 2,0,0,4,2,0,0,154,36,0,0,1,0,2,2,1,1,0,0,0,0,1,0,1,60,0,19,33,317
12060108203,م إبتدائية   14 جانفي فندق الجديد   مكتب 3,0,0,0,1,0,0,92,45,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,68,0,16,30,260
12060208301,م إبتدائية خنقة المحطة سماش  مكتب 1,1,0,2,2,0,1,114,11,1,2,2,0,3,0,0,1,0,0,2,1,4,1,0,111,0,6,6,271
12060208302,م إبتدائية خنقة المحطة سماش  مكتب 2,0,0,1,1,0,0,80,36,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,92,0,5,9,227
12060308401,م إبتدائية نيانو   مكتب 1,0,0,2,6,0,1,272,25,1,1,2,1,5,0,0,1,1,0,1,3,7,0,1,20,1,2,42,395
12060308402,م إبتدائية نيانو   مكتب 2,1,0,1,0,3,2,227,40,1,0,2,0,3,0,2,1,0,1,0,2,1,0,1,41,0,5,50,384
12060308403,م إبتدائية نيانو   مكتب 3,0,0,2,2,0,0,203,56,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,45,0,4,72,390
12060308404,م إبتدائية نيانو   مكتب 4,1,0,2,2,0,0,177,56,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,43,0,1,70,356
12060308405,م إبتدائية نيانو   مكتب 5,0,0,3,1,0,1,143,63,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,47,1,3,52,319
12060408501,م إبتدائية تركي   مكتب 1,3,2,2,2,1,3,265,22,0,1,6,0,5,1,1,0,1,0,0,0,3,1,3,63,0,3,20,408
12060408502,م إبتدائية تركي   مكتب 2,1,1,2,2,0,2,219,31,0,0,8,0,5,0,1,2,0,1,1,1,1,0,2,72,0,14,31,397
12060408503,م إبتدائية تركي   مكتب 3,0,0,4,1,0,1,139,59,0,0,3,0,2,0,0,2,0,0,1,0,1,0,0,84,1,8,43,349
12060408601,م إبتدائية محطة بلي - تركي  مكتب 1,0,0,2,1,0,2,122,13,1,1,2,0,1,0,0,0,0,1,0,0,2,0,4,40,0,33,21,246
12060508701,م إبتدائية خنقة الحجاج   مكتب 1,1,0,2,5,0,4,127,29,2,1,5,1,5,3,1,2,2,2,1,4,6,0,2,66,1,19,27,318
12060508702,م إبتدائية خنقة الحجاج   مكتب 2,2,1,0,1,0,1,126,31,0,0,1,1,0,1,1,1,0,0,2,2,2,0,2,90,2,13,38,318
12060508703,م إبتدائية خنقة الحجاج   مكتب 3,2,0,1,1,0,0,77,47,0,0,1,0,2,0,0,0,0,1,0,2,1,0,1,96,0,12,30,274
12060508801,م إبتدائية بني عياش قرمبالية - خنقة الحجاج  مكتب 1,1,0,2,4,1,1,126,14,1,1,6,0,5,0,0,0,1,0,1,2,4,0,0,44,0,15,9,238
12060608901,م إبتدائية علي دندانة - قرنبالية الشرقية  مكتب 1,0,0,5,4,2,0,262,18,0,2,4,0,11,0,0,3,0,0,0,1,4,0,2,119,0,5,39,481
12060608902,م إبتدائية علي دندانة - قرنبالية الشرقية  مكتب 2,0,0,3,5,0,0,189,15,0,0,6,0,5,0,0,4,0,0,0,2,4,0,1,147,0,19,44,444
12060608903,م إبتدائية علي دندانة - قرنبالية الشرقية  مكتب 3,0,0,2,4,1,1,196,28,0,1,3,0,3,0,0,1,0,0,0,0,1,0,2,93,1,5,61,403
12060608904,م إبتدائية علي دندانة - قرنبالية الشرقية  مكتب 4,0,0,5,1,0,1,130,37,0,0,2,0,4,0,0,3,0,0,0,0,0,0,3,135,0,2,49,372
12060609001,م إبتدائية حي الروضة - قرنبالية الشرقية  مكتب 1,3,0,2,4,0,0,249,17,0,1,3,0,7,1,1,3,1,1,0,0,2,1,0,118,0,11,24,449
12060609002,م إبتدائية حي الروضة - قرنبالية الشرقية  مكتب 2,0,1,2,3,0,2,256,15,1,2,3,1,5,1,2,1,0,2,0,0,3,0,1,123,1,10,27,462
12060609003,م إبتدائية حي الروضة - قرنبالية الشرقية  مكتب 3,0,0,1,1,0,0,204,35,0,1,0,0,7,0,1,1,1,0,0,0,5,0,1,137,1,18,40,454
12060609004,م إبتدائية حي الروضة - قرنبالية الشرقية  مكتب 4,0,1,1,2,0,0,183,23,0,0,3,0,7,0,0,1,0,0,0,0,1,0,2,180,0,13,47,464
12060609005,م إبتدائية حي الروضة - قرنبالية الشرقية  مكتب 5,0,0,2,5,0,0,166,24,1,1,1,0,7,0,0,3,0,0,0,0,2,0,1,170,0,19,30,432
12060609006,م إبتدائية حي الروضة - قرنبالية الشرقية  مكتب 6,0,0,3,5,0,0,171,33,0,1,3,1,6,0,0,0,0,0,0,0,0,0,0,135,2,3,39,402
12060609007,م إبتدائية حي الروضة - قرنبالية الشرقية  مكتب 7,0,0,5,0,0,0,124,28,0,0,4,2,6,0,0,1,0,0,0,0,2,0,1,117,0,14,31,335
12060609008,م إبتدائية حي الروضة - قرنبالية الشرقية  مكتب 8,0,0,3,0,1,1,148,49,0,0,1,1,6,0,1,0,0,0,0,0,0,0,3,133,1,4,77,429
12060709101,م إبتدائية الهادي شاكر - قرنبالية الغربية  مكتب 1,0,0,3,2,0,1,229,13,1,0,2,1,4,1,2,1,0,1,0,1,5,0,0,68,0,11,24,370
12060709102,م إبتدائية الهادي شاكر - قرنبالية الغربية  مكتب 2,2,0,1,3,0,1,211,13,1,0,1,0,3,0,0,1,1,1,1,1,3,1,0,83,0,13,29,370
12060709103,م إبتدائية الهادي شاكر - قرنبالية الغربية  مكتب 3,1,0,3,3,0,0,172,28,1,1,2,0,1,0,0,2,0,0,0,2,1,0,5,91,0,11,30,354
12060709104,م إبتدائية الهادي شاكر - قرنبالية الغربية  مكتب 4,1,0,0,2,1,0,155,38,0,0,3,1,4,0,1,0,1,0,0,0,4,0,2,91,0,14,33,351
12060709105,م إبتدائية الهادي شاكر - قرنبالية الغربية  مكتب 5,0,0,5,1,1,0,145,37,0,1,2,1,3,0,0,1,0,0,0,0,0,0,0,78,0,9,29,313
12060709106,م إبتدائية الهادي شاكر - قرنبالية الغربية  مكتب 6,2,0,3,5,1,0,87,22,0,0,1,0,4,0,0,1,0,0,0,0,0,0,2,82,0,15,27,252
12060709107,م إبتدائية الهادي شاكر - قرنبالية الغربية  مكتب 7,0,0,5,2,0,0,108,34,0,1,4,0,3,0,1,4,1,0,0,3,0,0,0,81,0,19,41,307
12060709201,م إبتدائية الحرية - قرنبالية الغربية  مكتب 1,1,0,1,5,7,0,257,20,2,1,0,0,4,2,0,1,1,1,0,0,4,1,0,81,2,13,37,441
12060709202,م إبتدائية الحرية - قرنبالية الغربية  مكتب 2,0,0,1,4,3,0,167,29,1,0,3,0,6,2,0,2,0,0,1,4,3,0,5,137,0,23,31,422
12060709203,م إبتدائية الحرية - قرنبالية الغربية  مكتب 3,0,0,3,7,1,0,176,37,0,1,1,0,6,0,0,2,0,0,0,1,2,0,0,103,1,12,30,383
12060709204,م إبتدائية الحرية - قرنبالية الغربية  مكتب 4,0,0,1,3,1,0,133,46,0,0,3,0,5,0,0,0,0,0,0,0,1,1,3,94,3,10,31,335
12060709301,م إبتدائية حي الازدهار - قرنبالية الغربية  مكتب 1,1,0,2,2,3,1,192,10,3,1,7,2,2,2,1,2,0,0,1,0,4,1,0,81,0,4,12,334
12060709302,م إبتدائية حي الازدهار - قرنبالية الغربية  مكتب 2,1,0,0,0,0,0,178,19,0,2,2,0,3,1,2,1,0,2,0,0,4,0,2,81,0,12,27,337
12060709303,م إبتدائية حي الازدهار - قرنبالية الغربية  مكتب 3,2,0,1,1,0,0,139,29,0,1,0,0,2,0,1,0,0,1,1,1,3,0,0,94,0,5,14,295
12060709304,م إبتدائية حي الازدهار - قرنبالية الغربية  مكتب 4,1,0,1,0,0,0,98,30,0,1,0,0,2,0,0,0,0,0,0,0,5,0,2,68,0,8,22,238
12060709401,م إبتدائية نوال - قرنبالية الغربية  مكتب 1,0,0,1,1,0,0,83,5,2,3,1,0,0,0,0,0,0,0,0,0,2,0,1,226,0,3,7,335
12060709402,م إبتدائية نوال - قرنبالية الغربية  مكتب 2,0,0,0,1,1,0,51,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,232,0,2,10,305
12060709501,م إبتدائية الكرمية - قرنبالية الغربية  مكتب 1,0,1,1,5,1,2,143,25,0,0,1,0,7,4,0,3,2,1,0,1,7,1,2,35,0,18,9,269
