circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Nabeul2,Hammamet,12010100101,م إبتدائية سيدي الجديدي   مكتب 1,2,0,0,4,0,2,202,28,1,0,3,1,4,2,2,0,1,3,0,3,8,1,0,56,1,20,15,359
Nabeul2,Hammamet,12010100102,م إبتدائية سيدي الجديدي   مكتب 2,1,2,0,3,0,2,157,23,0,0,5,0,2,1,0,1,0,1,1,0,1,0,0,91,0,36,13,340
Nabeul2,Hammamet,12010100103,م إبتدائية سيدي الجديدي   مكتب 3,1,0,0,4,0,0,116,35,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,70,0,20,21,273
Nabeul2,Hammamet,12010100201,م إبتدائية حمام بنت الجديدي - سيدي الجديدي  مكتب 1,1,0,1,2,0,2,129,9,0,2,4,0,2,0,0,1,2,0,0,0,0,0,0,55,0,13,4,227
Nabeul2,Hammamet,12010100301,م إبتدائية المنشار - سيدي الجديدي  مكتب 1,0,0,1,0,0,0,79,7,0,0,1,0,1,0,0,0,0,1,0,1,3,0,0,16,0,9,11,130
Nabeul2,Hammamet,12010100401,م إبتدائية تافرنين - سيدي الجديدي  مكتب 1,1,1,0,3,0,0,182,12,1,0,5,0,2,1,0,1,0,1,1,0,5,1,0,35,1,9,6,268
Nabeul2,Hammamet,12010100501,م إبتدائية حتوس - سيدي الجديدي  مكتب 1,3,0,1,3,0,2,130,7,0,2,1,0,3,0,1,0,0,0,0,0,4,0,0,23,2,18,4,204
Nabeul2,Hammamet,12010200601,م إبتدائية جبل الأطرش   مكتب 1,4,1,1,7,1,3,94,14,1,1,4,2,6,3,1,2,1,2,1,2,4,1,1,32,0,33,8,230
Nabeul2,Hammamet,12010200602,م إبتدائية جبل الأطرش   مكتب 2,1,0,2,1,1,0,68,22,1,0,4,0,2,1,3,0,0,1,0,0,0,0,1,41,1,17,5,172
Nabeul2,Hammamet,12010200701,م إبتدائية المزيرعة - الأطرش  مكتب 1,3,0,0,2,0,1,102,22,0,0,1,1,1,0,0,0,0,2,1,0,3,1,0,39,0,29,4,212
Nabeul2,Hammamet,12010200801,م إبتدائية وادي الأسود - الأطرش  مكتب 1,0,0,0,5,2,2,150,19,0,2,2,2,4,0,3,1,2,2,1,2,5,2,1,18,0,14,10,249
Nabeul2,Hammamet,12010300901,م إبتدائية ابن خلدون بئر بورقبة  مكتب 1,0,0,0,1,1,3,232,17,1,0,4,1,11,1,3,1,2,0,0,3,4,0,3,43,0,17,18,366
Nabeul2,Hammamet,12010300902,م إبتدائية ابن خلدون بئر بورقبة  مكتب 2,0,0,2,4,1,0,199,28,0,1,6,0,3,1,0,1,0,0,0,0,3,0,1,76,0,21,27,374
Nabeul2,Hammamet,12010300903,م إبتدائية ابن خلدون بئر بورقبة  مكتب 3,0,0,1,2,0,1,197,20,0,1,2,1,5,0,1,2,0,0,0,1,2,0,0,73,0,26,21,356
Nabeul2,Hammamet,12010300904,م إبتدائية ابن خلدون بئر بورقبة  مكتب 4,0,0,4,3,1,0,131,35,0,0,2,1,4,0,0,3,0,0,0,0,0,0,1,55,0,6,27,273
Nabeul2,Hammamet,12010300905,م إبتدائية ابن خلدون بئر بورقبة  مكتب 5,1,0,2,1,0,1,134,36,0,2,3,0,0,0,1,2,0,0,0,0,1,0,2,60,2,15,30,293
Nabeul2,Hammamet,12010301001,م إبتدائية بني وائل - بئر بورقبة  مكتب 1,2,0,1,3,0,0,222,1,2,1,4,1,1,2,2,2,0,2,1,3,2,0,3,15,0,23,19,312
Nabeul2,Hammamet,12010301101,م إبتدائية قصر الزيت بئر بورقبة   مكتب 1,4,0,3,2,2,0,231,29,0,1,3,0,7,2,1,4,0,2,0,1,4,0,1,27,1,17,18,360
Nabeul2,Hammamet,12010301102,م إبتدائية قصر الزيت بئر بورقبة   مكتب 2,0,1,2,3,2,0,214,17,1,1,3,0,0,0,0,2,0,1,0,1,0,0,3,47,1,23,15,337
Nabeul2,Hammamet,12010301103,م إبتدائية قصر الزيت بئر بورقبة   مكتب 3,1,0,2,0,0,0,193,29,0,1,3,0,8,0,0,1,0,0,0,0,0,0,0,57,1,11,20,327
Nabeul2,Hammamet,12010301104,م إبتدائية قصر الزيت بئر بورقبة   مكتب 4,1,0,1,0,1,0,156,36,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,43,1,8,22,274
