circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Nabeul2,MenzelBouzelfa,12070109901,م إبتدائية داموس الحاجة   مكتب 1,2,0,1,9,1,2,126,6,0,3,2,0,3,0,0,2,0,1,0,0,8,0,1,28,0,8,11,214
Nabeul2,MenzelBouzelfa,12070109902,م إبتدائية داموس الحاجة   مكتب 2,1,0,1,7,0,1,72,15,0,2,1,0,1,0,0,1,1,0,0,0,1,0,5,16,0,6,24,155
Nabeul2,MenzelBouzelfa,12070110001,م إبتدائية رينش - داموس الحاجة  مكتب 1,1,0,4,2,1,2,103,5,1,0,3,0,4,0,1,1,1,0,1,1,3,0,0,33,0,2,7,176
Nabeul2,MenzelBouzelfa,12070210101,م إبتدائية الرحمة   مكتب 1,3,2,1,3,2,3,167,20,2,2,4,3,4,2,1,3,0,2,0,1,9,1,2,54,0,17,10,318
Nabeul2,MenzelBouzelfa,12070210102,م إبتدائية الرحمة   مكتب 2,0,0,0,3,0,2,98,14,0,0,5,2,2,1,0,4,0,0,0,1,3,0,0,46,0,8,12,201
Nabeul2,MenzelBouzelfa,12070210201,م إبتدائية العيثة عن منزل بوزلفة - الرحمة  مكتب 1,0,1,2,3,1,1,166,4,2,1,2,0,6,0,2,1,1,6,0,3,4,0,0,8,1,13,9,237
Nabeul2,MenzelBouzelfa,12070210202,م إبتدائية العيثة عن منزل بوزلفة - الرحمة  مكتب 2,0,0,0,0,0,0,118,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23,1,8,14,180
Nabeul2,MenzelBouzelfa,12070210301,م إبتدائية القصيرات - الرحمة  مكتب 1,0,1,1,1,0,0,129,3,0,1,2,0,3,1,1,2,0,4,0,0,8,0,1,64,0,6,7,235
Nabeul2,MenzelBouzelfa,12070210401,م إبتدائية الشرفين - الرحمة  مكتب 1,2,0,0,3,1,1,205,8,2,1,5,1,3,0,0,1,0,0,0,3,6,0,1,17,0,8,20,288
Nabeul2,MenzelBouzelfa,12070210501,م إبتدائية بوشريك - الرحمة  مكتب 1,1,0,1,2,1,1,66,8,1,1,1,0,2,1,0,0,0,0,1,0,3,0,3,17,0,8,23,141
Nabeul2,MenzelBouzelfa,12070310601,م إبتدائية شارع بورقيبة - منزل بوزلفة الجوفية   مكتب 1,1,0,0,0,1,0,279,11,0,0,0,0,5,1,0,2,0,0,1,2,5,0,1,41,1,3,17,371
Nabeul2,MenzelBouzelfa,12070310602,م إبتدائية شارع بورقيبة - منزل بوزلفة الجوفية   مكتب 2,0,0,2,2,1,0,211,26,0,0,2,1,3,0,0,2,0,0,0,1,0,0,0,55,0,11,27,344
Nabeul2,MenzelBouzelfa,12070310603,م إبتدائية شارع بورقيبة - منزل بوزلفة الجوفية   مكتب 3,0,0,3,4,0,0,177,21,0,1,2,0,3,0,0,0,0,0,0,0,1,0,4,31,0,2,31,280
Nabeul2,MenzelBouzelfa,12070310701,م إبتدائية نهج البريد - منزل بوزلفة الجوفية   مكتب 1,1,0,4,0,0,1,293,19,0,1,2,3,5,0,0,3,1,0,0,1,1,0,3,28,0,6,18,390
Nabeul2,MenzelBouzelfa,12070310702,م إبتدائية نهج البريد - منزل بوزلفة الجوفية   مكتب 2,0,0,2,1,0,0,297,19,0,0,4,0,4,2,0,1,0,0,0,0,4,0,2,57,0,5,20,418
Nabeul2,MenzelBouzelfa,12070310703,م إبتدائية نهج البريد - منزل بوزلفة الجوفية   مكتب 3,1,0,1,3,0,0,262,19,0,1,2,0,3,1,0,2,0,1,0,0,2,0,1,78,0,10,13,400
Nabeul2,MenzelBouzelfa,12070310704,م إبتدائية نهج البريد - منزل بوزلفة الجوفية   مكتب 4,0,0,2,4,0,1,204,25,0,0,4,0,3,0,0,0,0,0,2,1,3,0,6,57,0,4,20,336
Nabeul2,MenzelBouzelfa,12070310705,م إبتدائية نهج البريد - منزل بوزلفة الجوفية   مكتب 5,0,0,5,1,0,0,192,42,0,1,3,0,0,1,0,2,0,0,0,0,0,0,2,45,0,4,39,337
Nabeul2,MenzelBouzelfa,12070310801,م إبتدائية النصر - منزل بوزلفة الجوفية   مكتب 1,0,1,4,3,0,1,331,15,1,2,2,1,3,2,1,3,0,0,1,0,3,0,0,43,1,1,19,438
Nabeul2,MenzelBouzelfa,12070310802,م إبتدائية النصر - منزل بوزلفة الجوفية   مكتب 2,0,0,0,4,3,3,276,13,0,3,4,0,5,1,0,2,0,0,0,0,5,0,0,69,1,7,19,415
Nabeul2,MenzelBouzelfa,12070310803,م إبتدائية النصر - منزل بوزلفة الجوفية   مكتب 3,0,0,3,4,0,0,266,28,0,0,2,0,3,2,0,2,0,0,0,1,3,0,2,76,0,12,27,431
Nabeul2,MenzelBouzelfa,12070310804,م إبتدائية النصر - منزل بوزلفة الجوفية   مكتب 4,0,0,2,1,0,0,252,14,0,1,0,0,5,0,0,7,0,0,0,0,0,0,3,75,0,4,31,395
Nabeul2,MenzelBouzelfa,12070310805,م إبتدائية النصر - منزل بوزلفة الجوفية   مكتب 5,1,0,2,12,0,0,184,19,0,2,0,0,6,0,0,0,0,0,0,1,3,0,2,53,0,5,21,311
Nabeul2,MenzelBouzelfa,12070310806,م إبتدائية النصر - منزل بوزلفة الجوفية   مكتب 6,0,1,4,2,0,1,168,30,0,2,6,0,3,0,0,0,0,0,0,0,2,0,1,47,0,5,63,335
Nabeul2,MenzelBouzelfa,12070310901,م إبتدائية 34/3/2الغرابي - منزل بوزلفة الجوفية   مكتب 1,0,0,1,8,3,1,267,22,0,1,6,0,6,0,3,3,1,4,0,3,5,0,0,63,0,6,20,423
Nabeul2,MenzelBouzelfa,12070310902,م إبتدائية 34/3/2الغرابي - منزل بوزلفة الجوفية   مكتب 2,1,0,0,4,0,0,276,17,1,2,4,1,1,1,0,1,1,3,4,0,7,0,1,63,1,8,17,414
Nabeul2,MenzelBouzelfa,12070310903,م إبتدائية 34/3/2الغرابي - منزل بوزلفة الجوفية   مكتب 3,1,0,1,2,1,0,288,24,0,0,1,1,3,3,0,1,0,0,1,2,2,0,0,94,0,6,29,460
Nabeul2,MenzelBouzelfa,12070310904,م إبتدائية 34/3/2الغرابي - منزل بوزلفة الجوفية   مكتب 4,1,0,1,4,0,2,244,35,1,0,3,0,3,0,0,0,0,0,0,1,3,0,0,104,0,5,32,439
Nabeul2,MenzelBouzelfa,12070310905,م إبتدائية 34/3/2الغرابي - منزل بوزلفة الجوفية   مكتب 5,1,0,2,4,1,0,219,35,1,0,1,0,1,0,0,2,1,0,1,0,1,0,4,95,0,4,24,397
Nabeul2,MenzelBouzelfa,12070310906,م إبتدائية 34/3/2الغرابي - منزل بوزلفة الجوفية   مكتب 6,1,0,2,6,0,1,177,34,0,0,5,0,3,0,0,2,0,0,1,0,1,0,2,78,2,4,30,349
Nabeul2,MenzelBouzelfa,12070310907,م إبتدائية 34/3/2الغرابي - منزل بوزلفة الجوفية   مكتب 7,2,0,3,1,1,0,164,66,0,1,3,2,6,1,0,0,1,0,0,1,2,0,0,71,0,0,32,357
Nabeul2,MenzelBouzelfa,12070311001,م إبتدائية بني غانم - منزل بوزلفة الجوفية   مكتب 1,2,1,0,1,0,0,136,6,1,1,2,0,0,0,0,0,0,0,0,1,3,0,0,13,1,8,15,191
Nabeul2,MenzelBouzelfa,12070311002,م إبتدائية بني غانم - منزل بوزلفة الجوفية   مكتب 2,1,1,1,1,0,0,86,15,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,6,0,6,13,135
Nabeul2,MenzelBouzelfa,12070311101,م إبتدائية الكلبوسي منزل بوزلفة - منزل بوزلفة الجوفية   مكتب 1,1,1,0,1,0,0,147,10,0,1,1,0,7,0,0,2,2,0,0,1,3,0,0,32,1,4,11,225
Nabeul2,MenzelBouzelfa,12070411201,م إبتدائية العامرين - منزل بوزلفة القبلية  مكتب 1,1,1,5,0,0,0,334,18,0,0,4,0,4,0,1,1,0,3,1,2,4,0,1,59,1,5,24,469
Nabeul2,MenzelBouzelfa,12070411202,م إبتدائية العامرين - منزل بوزلفة القبلية  مكتب 2,1,0,3,3,1,0,243,34,1,2,0,0,7,0,0,2,0,0,0,0,3,0,6,91,0,7,32,436
Nabeul2,MenzelBouzelfa,12070411203,م إبتدائية العامرين - منزل بوزلفة القبلية  مكتب 3,2,0,3,3,0,1,182,28,0,1,2,0,5,0,1,0,1,0,1,0,3,0,4,62,0,6,43,348
Nabeul2,MenzelBouzelfa,12070511301,م إبتدائية النوالات - منزل بوزلفة الغربية  مكتب 1,2,0,0,3,0,1,154,16,2,0,2,0,7,1,0,1,1,0,0,1,4,0,0,14,0,8,3,220
Nabeul2,MenzelBouzelfa,12070511302,م إبتدائية النوالات - منزل بوزلفة الغربية  مكتب 2,0,0,1,0,0,1,93,28,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,1,17,164
Nabeul2,MenzelBouzelfa,12070511401,م إبتدائية بلهويشات - منزل بوزلفة الغربية  مكتب 1,1,1,0,2,2,2,158,5,0,1,2,0,4,0,2,1,0,0,0,2,4,1,2,15,0,7,22,234
