circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Nabeul2,Soliman,12050106501,م إبتدائية المريصة - المريسة  مكتب 1,4,0,0,3,1,0,224,9,1,2,2,0,7,3,1,3,0,2,1,1,9,0,0,16,0,4,36,329
Nabeul2,Soliman,12050106502,م إبتدائية المريصة - المريسة  مكتب 2,0,1,0,0,0,0,205,23,0,1,1,0,3,0,0,1,1,3,1,3,4,0,0,21,2,11,39,320
Nabeul2,Soliman,12050106503,م إبتدائية المريصة - المريسة  مكتب 3,0,0,3,0,0,0,136,17,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,22,0,5,49,237
Nabeul2,Soliman,12050106601,م إبتدائية قربص - المريسة  مكتب 1,1,0,1,1,1,0,124,14,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,21,0,1,18,189
Nabeul2,Soliman,12050206701,م إبتدائية الشريفات  مكتب 1,2,2,1,2,3,0,169,32,2,1,3,1,6,0,1,1,0,1,1,0,7,0,2,30,1,8,12,288
Nabeul2,Soliman,12050206702,م إبتدائية الشريفات  مكتب 2,1,0,1,0,0,0,141,54,1,0,2,0,2,1,0,0,0,1,0,1,1,0,3,60,0,12,25,306
Nabeul2,Soliman,12050206703,م إبتدائية الشريفات  مكتب 3,1,0,0,0,0,1,110,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,45,1,6,21,247
Nabeul2,Soliman,12050206704,م إبتدائية الشريفات  مكتب 4,0,0,0,0,0,0,81,66,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,35,0,2,16,205
Nabeul2,Soliman,12050206801,م إبتدائية دوار اللوز - الشريفات  مكتب 1,1,1,0,3,2,0,161,59,1,2,2,0,3,1,1,6,1,1,0,0,10,2,1,58,0,19,40,375
Nabeul2,Soliman,12050206802,م إبتدائية دوار اللوز - الشريفات  مكتب 2,1,0,1,1,0,1,92,83,0,0,2,0,2,0,0,0,1,0,1,1,1,0,0,60,0,5,53,305
Nabeul2,Soliman,12050306901,م إبتدائية بوشراي - بوشراي  مكتب 1,1,3,2,4,0,0,213,20,0,1,3,1,6,0,0,1,3,0,2,0,6,0,5,37,0,4,3,315
Nabeul2,Soliman,12050306902,م إبتدائية بوشراي - بوشراي  مكتب 2,1,0,0,0,0,0,157,23,1,0,2,1,3,2,1,1,0,0,0,0,3,0,3,72,1,8,13,292
Nabeul2,Soliman,12050306903,م إبتدائية بوشراي - بوشراي  مكتب 3,0,0,3,1,0,0,117,30,1,0,3,0,2,0,0,0,0,0,0,0,0,0,2,75,0,1,13,248
Nabeul2,Soliman,12050407001,م إبتدائية الحبيب ثامر - سليمان  مكتب 1,0,0,4,3,3,0,253,18,0,2,3,1,5,0,2,3,0,0,0,1,4,0,5,72,1,6,19,405
Nabeul2,Soliman,12050407002,م إبتدائية الحبيب ثامر - سليمان  مكتب 2,0,0,3,1,2,1,195,38,0,2,1,0,4,0,1,2,0,0,0,1,7,0,6,87,0,8,36,395
Nabeul2,Soliman,12050407003,م إبتدائية الحبيب ثامر - سليمان  مكتب 3,0,0,2,1,2,1,191,30,0,0,1,2,5,0,0,3,0,0,0,0,3,1,5,89,2,8,38,384
Nabeul2,Soliman,12050407004,م إبتدائية الحبيب ثامر - سليمان  مكتب 4,0,0,2,2,0,0,161,46,0,1,2,0,4,1,0,1,0,0,0,0,0,0,1,75,0,5,35,336
Nabeul2,Soliman,12050407005,م إبتدائية الحبيب ثامر - سليمان  مكتب 5,0,0,2,2,0,0,131,34,0,4,1,0,8,0,0,1,0,0,0,0,0,0,3,80,0,8,45,319
Nabeul2,Soliman,12050407101,م إبتدائية  2مارس 34 سليمان   مكتب 1,1,0,3,8,1,1,261,21,0,0,3,1,4,1,1,3,0,1,1,1,3,2,5,98,0,5,31,456
Nabeul2,Soliman,12050407102,م إبتدائية  2مارس 34 سليمان   مكتب 2,1,1,1,2,0,0,249,22,0,0,1,0,5,0,0,2,3,0,0,0,3,0,6,131,0,6,21,454
Nabeul2,Soliman,12050407103,م إبتدائية  2مارس 34 سليمان   مكتب 3,1,0,2,2,0,1,180,36,0,0,1,0,7,0,2,2,0,0,0,0,2,0,3,159,0,7,43,448
Nabeul2,Soliman,12050407104,م إبتدائية  2مارس 34 سليمان   مكتب 4,1,0,3,5,0,0,169,38,0,0,1,0,6,0,0,1,0,0,0,0,2,0,5,152,0,6,35,424
Nabeul2,Soliman,12050407105,م إبتدائية  2مارس 34 سليمان   مكتب 5,2,0,0,2,2,0,157,31,0,2,1,0,7,2,1,3,0,0,0,1,0,0,2,129,1,3,49,395
Nabeul2,Soliman,12050407106,م إبتدائية  2مارس 34 سليمان   مكتب 6,0,0,1,1,0,0,147,51,0,1,0,0,8,0,0,0,0,0,0,0,0,0,2,106,0,2,63,382
Nabeul2,Soliman,12050407201,م إبتدائية سيدي الخافي - سليمان  مكتب 1,1,1,1,1,2,0,207,29,0,2,2,2,9,3,2,2,0,0,0,4,4,2,3,92,1,8,29,407
Nabeul2,Soliman,12050407202,م إبتدائية سيدي الخافي - سليمان  مكتب 2,0,1,4,2,0,0,177,38,1,0,2,0,7,1,2,1,1,0,2,0,2,0,3,97,2,9,42,394
Nabeul2,Soliman,12050407203,م إبتدائية سيدي الخافي - سليمان  مكتب 3,2,1,2,2,1,0,153,36,1,0,1,0,3,0,3,0,0,1,0,0,2,0,3,139,0,11,46,407
Nabeul2,Soliman,12050407204,م إبتدائية سيدي الخافي - سليمان  مكتب 4,0,0,3,5,1,0,147,34,0,0,1,0,5,1,2,2,0,0,0,0,4,0,2,105,1,8,51,372
Nabeul2,Soliman,12050407205,م إبتدائية سيدي الخافي - سليمان  مكتب 5,0,0,2,0,0,0,138,45,0,1,1,0,6,0,1,0,0,0,1,0,2,1,4,79,1,9,71,362
Nabeul2,Soliman,12050407301,م إبتدائية  14 جانفي سليمان  مكتب 1,0,0,2,4,1,0,152,33,1,0,4,1,2,0,1,0,0,1,0,0,6,0,4,38,0,8,20,278
Nabeul2,Soliman,12050407302,م إبتدائية  14 جانفي سليمان  مكتب 2,1,1,3,0,0,0,118,43,0,0,3,0,3,0,0,0,0,0,0,0,2,0,2,65,0,8,30,279
Nabeul2,Soliman,12050407303,م إبتدائية  14 جانفي سليمان  مكتب 3,0,0,1,0,1,0,82,42,0,1,0,0,6,0,2,0,0,0,0,0,2,0,1,48,0,2,26,214
Nabeul2,Soliman,12050407401,م إبتدائية القاطرة - سليمان  مكتب 1,0,0,7,3,0,0,182,17,0,0,3,0,4,0,0,1,0,0,0,0,2,0,1,134,0,9,55,418
Nabeul2,Soliman,12050407402,م إبتدائية القاطرة - سليمان  مكتب 2,0,0,4,1,0,0,123,22,0,0,1,0,9,0,0,0,0,0,0,0,3,0,0,120,1,9,65,358
Nabeul2,Soliman,12050507501,م إبتدائية الظهاري - سليمان الجنوبية  مكتب 1,0,1,1,1,2,0,128,11,1,0,2,0,6,2,0,1,1,0,0,1,4,0,4,53,0,8,19,246
Nabeul2,Soliman,12050507502,م إبتدائية الظهاري - سليمان الجنوبية  مكتب 2,1,0,2,1,0,0,76,15,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,64,0,4,41,210
Nabeul2,Soliman,12050507601,م إبتدائية المرجى - سليمان الجنوبية  مكتب 1,2,1,0,6,1,1,183,21,0,0,3,0,1,0,1,0,2,0,1,0,1,0,2,40,1,14,18,299
Nabeul2,Soliman,12050507602,م إبتدائية المرجى - سليمان الجنوبية  مكتب 2,0,0,0,0,0,0,98,18,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,46,0,7,26,201
