#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
12040105201,م إبتدائية دار نادر - بئر الزيت  مكتب 1,0,0,2,3,0,0,160,3,0,0,3,2,3,2,2,0,0,0,3,0,4,0,0,20,0,3,65,275.0
12040105301,م إبتدائية  14 جانفي القفصية - بئر الزيت  مكتب 1,0,0,1,0,0,1,41,8,0,0,3,0,1,0,0,1,0,0,0,3,5,0,1,13,0,2,7,87.0
12040205401,م إبتدائية النجاح - العريمة  مكتب 1,0,0,2,2,0,0,126,5,1,3,7,1,6,0,0,3,2,2,2,2,6,0,1,33,0,1,29,234.0
12040205402,م إبتدائية النجاح - العريمة  مكتب 2,0,0,2,0,0,1,85,5,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,35,0,4,27,165.0
12040305501,م إبتدائية البريج - تاكلسة الجوفية  مكتب 1,1,3,1,6,2,1,171,3,2,1,2,1,7,3,0,0,1,0,2,0,6,0,1,37,0,3,53,307.0
12040305502,م إبتدائية البريج - تاكلسة الجوفية  مكتب 2,0,0,2,0,0,0,139,12,0,0,3,0,5,0,0,0,2,0,0,0,0,0,2,62,3,7,64,301.0
12040305503,م إبتدائية البريج - تاكلسة الجوفية  مكتب 3,0,0,4,2,0,0,120,9,0,2,1,0,1,0,0,3,0,0,0,0,0,0,3,54,1,1,67,268.0
12040305601,م إبتدائية بدار - تاكلسة الجوفية  مكتب 1,4,0,1,7,1,2,261,14,2,5,7,1,12,0,1,3,1,2,1,0,11,0,1,26,1,5,20,389.0
12040305602,م إبتدائية بدار - تاكلسة الجوفية  مكتب 2,0,0,1,1,0,0,247,25,0,1,0,0,2,0,0,1,0,0,0,0,2,1,2,61,1,8,38,391.0
12040305603,م إبتدائية بدار - تاكلسة الجوفية  مكتب 3,1,0,1,0,0,0,151,37,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,47,0,8,33,285.0
12040305701,م إبتدائية بئر مروة - تاكلسة الجوفية  مكتب 1,1,0,1,6,1,0,234,4,0,3,5,0,3,0,1,2,0,3,1,2,5,0,2,28,1,4,24,331.0
12040305702,م إبتدائية بئر مروة - تاكلسة الجوفية  مكتب 2,1,0,0,0,0,2,218,11,2,3,0,0,0,4,2,0,1,2,0,1,4,0,0,62,0,6,26,345.0
12040305703,م إبتدائية بئر مروة - تاكلسة الجوفية  مكتب 3,0,0,1,1,0,0,155,27,0,0,2,0,2,0,0,0,0,1,0,1,1,0,1,62,0,5,41,300.0
12040305704,م إبتدائية بئر مروة - تاكلسة الجوفية  مكتب 4,0,0,3,0,0,0,128,24,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,34,3,2,36,234.0
12040305801,م إبتدائية سيدي عيسى - تاكلسة الجوفية  مكتب 1,1,2,0,4,0,1,274,16,3,3,4,0,5,0,0,3,3,6,2,1,11,0,2,33,2,12,38,426.0
12040305802,م إبتدائية سيدي عيسى - تاكلسة الجوفية  مكتب 2,0,0,1,3,0,0,222,23,1,0,2,0,1,0,0,1,0,0,1,0,3,0,1,72,0,7,81,419.0
12040305803,م إبتدائية سيدي عيسى - تاكلسة الجوفية  مكتب 3,0,0,1,0,0,0,120,33,0,3,4,0,1,0,0,1,1,0,0,0,0,0,1,57,1,1,79,303.0
12040405901,م إبتدائية الدوالة - تاكلسة الوسطى  مكتب 1,0,1,0,2,0,1,218,12,2,0,3,2,3,0,1,1,0,0,1,0,7,1,3,40,0,6,34,338.0
12040405902,م إبتدائية الدوالة - تاكلسة الوسطى  مكتب 2,0,0,2,2,1,1,116,36,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,52,1,8,58,283.0
12040406001,م إبتدائية البكاكشة - تاكلسة الوسطى  مكتب 1,1,1,1,2,0,1,196,6,5,2,2,0,3,2,0,1,0,3,2,0,6,0,1,53,0,6,44,338.0
12040406002,م إبتدائية البكاكشة - تاكلسة الوسطى  مكتب 2,1,0,3,0,0,0,148,14,0,0,2,0,2,0,0,0,1,0,0,1,1,0,1,55,0,5,63,297.0
12040406101,م إبتدائية هنشير الشاذلي - تاكلسة الوسطى  مكتب 1,0,2,0,2,1,0,113,10,0,1,1,2,2,0,0,1,0,4,0,0,4,0,2,62,0,1,11,219.0
12040406201,م إبتدائية الرتيبة - تاكلسة الوسطى  مكتب 1,1,1,2,3,1,1,88,15,1,2,0,1,1,2,0,1,0,1,0,1,4,0,0,45,0,21,29,221.0
12040406301,م إبتدائية وادي العبيد - تاكلسة الوسطى  مكتب 1,1,2,0,2,0,1,148,7,0,0,2,1,1,2,2,0,1,1,2,0,9,0,0,11,0,5,13,211.0
12040406302,م إبتدائية وادي العبيد - تاكلسة الوسطى  مكتب 2,1,0,0,0,0,0,104,23,0,0,4,0,1,0,0,0,0,0,0,1,2,0,0,12,0,5,14,167.0
12040406401,م إبتدائية الوفاء الجبوزة - تاكلسة الوسطى  مكتب 1,0,1,0,2,0,2,57,9,1,0,0,2,2,1,1,1,2,3,0,1,6,0,0,14,2,1,54,162.0
مجموع أصوات القائمة,14,13,32,50,7,15,4040,391,20,32,63,14,69,17,10,24,15,28,17,14,98,2,30,1080,16,137,1048,7296,
