#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
23020103201,م إبتدائية العامرة 1  مكتب 1,3,0,1,9,3,3,111,5,3,0,3,0,8,1,3,3,2,0,0,0,4,0,0,136,0,15,27,340.0
23020103202,م إبتدائية العامرة 1  مكتب 2,1,0,0,4,0,1,91,7,1,1,1,1,3,0,1,3,0,0,2,0,1,0,1,203,0,12,35,369.0
23020103203,م إبتدائية العامرة 1  مكتب 3,1,0,0,2,0,0,65,11,0,2,0,0,2,0,0,3,0,1,0,0,1,0,2,181,0,18,26,315.0
23020103204,م إبتدائية العامرة 1  مكتب 4,0,0,2,3,0,0,39,11,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,183,0,9,30,282.0
23020103301,م إبتدائية العامرة 2  مكتب 1,1,0,2,1,1,1,71,3,0,0,4,0,5,1,0,1,0,1,0,3,2,3,0,85,0,10,17,212.0
23020103302,م إبتدائية العامرة 2  مكتب 2,0,0,2,1,0,0,41,19,0,0,2,0,1,1,0,1,1,0,1,1,0,0,0,90,0,9,35,205.0
23020103401,م إبتدائية الفيض - العامرة  مكتب 1,1,0,0,1,1,0,18,3,0,0,1,0,4,0,0,1,2,0,0,0,5,0,0,93,0,20,6,156.0
23020203501,م إبتدائية بليانة  مكتب 1,0,0,0,0,1,1,21,3,1,1,3,2,2,1,3,2,0,0,1,2,3,0,0,224,4,16,4,295.0
23020203502,م إبتدائية بليانة  مكتب 2,0,0,1,1,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,225,0,11,14,275.0
23020203503,م إبتدائية بليانة  مكتب 3,0,0,0,0,0,0,12,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,0,4,9,233.0
23020203601,م إبتدائية بليانة الشرقية - بليانة  مكتب 1,0,0,1,7,0,2,70,8,0,0,3,0,7,3,0,3,0,0,0,0,2,1,4,134,0,10,11,266.0
23020203602,م إبتدائية بليانة الشرقية - بليانة  مكتب 2,0,0,0,3,0,0,23,13,0,0,1,0,3,1,0,0,1,0,1,0,1,0,3,144,0,7,16,217.0
23020303701,م إبتدائية عين غزال - المسائرية  مكتب 1,0,0,1,2,0,0,52,6,0,0,2,0,1,1,0,0,1,0,1,0,3,0,1,82,0,13,9,175.0
23020303702,م إبتدائية عين غزال - المسائرية  مكتب 2,0,0,0,0,0,0,35,5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,75,0,9,11,138.0
23020303801,م إبتدائية أفّي - المسائرية  مكتب 1,2,1,1,3,0,0,90,1,0,2,4,0,1,1,2,1,2,0,1,0,0,0,1,155,0,8,9,285.0
