circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax1,ElHencha,23010100101,م إبتدائية  2مارس 34 الحنشة   مكتب 1,1,0,1,6,3,2,228,8,1,1,1,0,8,0,2,5,1,4,1,1,7,1,1,63,0,20,27,393
Sfax1,ElHencha,23010100102,م إبتدائية  2مارس 34 الحنشة   مكتب 2,0,0,0,3,1,1,182,3,1,0,5,0,13,0,0,1,1,0,1,0,3,1,2,119,1,27,39,404
Sfax1,ElHencha,23010100103,م إبتدائية  2مارس 34 الحنشة   مكتب 3,0,0,0,1,0,0,166,10,1,0,2,0,14,0,0,3,0,0,0,0,0,0,0,102,1,29,55,384
Sfax1,ElHencha,23010100104,م إبتدائية  2مارس 34 الحنشة   مكتب 4,0,0,0,1,0,0,105,12,0,1,1,0,7,0,0,2,1,0,0,0,0,1,0,124,1,21,38,315
Sfax1,ElHencha,23010100105,م إبتدائية  2مارس 34 الحنشة   مكتب 5,0,0,0,2,0,0,111,13,2,0,2,0,12,0,0,2,0,0,0,0,1,0,0,98,0,17,34,294
Sfax1,ElHencha,23010100106,م إبتدائية  2مارس 34 الحنشة   مكتب 6,0,0,2,1,0,2,94,28,0,0,5,0,5,0,0,2,0,0,0,0,0,0,0,116,0,16,51,322
Sfax1,ElHencha,23010100201,م إبتدائية أولاد حمـد 1 - الحنشة  مكتب 1,0,0,0,3,0,5,91,7,1,0,4,1,10,0,0,2,2,0,1,0,4,0,1,25,0,30,7,194
Sfax1,ElHencha,23010100202,م إبتدائية أولاد حمـد 1 - الحنشة  مكتب 2,0,1,1,0,2,0,37,8,0,0,8,0,7,0,0,3,0,0,1,0,2,0,0,37,1,17,12,137
Sfax1,ElHencha,23010100301,م إبتدائية أولاد طاهر - الحنشة  مكتب 1,0,0,1,1,1,1,62,6,1,1,0,1,12,0,1,1,4,0,1,1,4,1,0,34,1,32,41,208
Sfax1,ElHencha,23010100302,م إبتدائية أولاد طاهر - الحنشة  مكتب 2,1,0,0,0,0,0,27,5,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,56,0,22,34,155
Sfax1,ElHencha,23010100401,م إبتدائية المنصورة - الحنشة  مكتب 1,1,0,3,5,3,2,145,2,5,0,6,0,9,0,0,2,0,2,0,0,8,1,1,96,0,11,43,345
Sfax1,ElHencha,23010100402,م إبتدائية المنصورة - الحنشة  مكتب 2,0,0,3,1,0,0,90,16,0,0,10,0,16,0,0,0,0,0,0,0,0,0,0,104,0,18,35,293
Sfax1,ElHencha,23010100501,م إبتدائية سيدي غريب - الحنشة  مكتب 1,0,0,0,2,3,0,46,7,0,0,0,0,4,0,1,3,0,0,0,0,3,0,0,33,1,15,4,122
Sfax1,ElHencha,23010100601,م إبتدائية أولاد احمد 2 - الحنشة  مكتب 1,1,0,1,3,2,1,109,3,0,0,0,2,2,1,0,2,1,0,1,0,3,0,1,31,2,16,12,194
Sfax1,ElHencha,23010100602,م إبتدائية أولاد احمد 2 - الحنشة  مكتب 2,0,0,0,0,0,1,55,4,1,1,2,0,4,0,0,0,0,0,1,0,1,0,0,22,0,10,9,111
Sfax1,ElHencha,23010200701,م إبتدائية الغرابة - النصر  مكتب 1,2,1,1,0,4,2,148,15,0,0,1,0,1,0,0,2,1,1,1,0,8,0,1,52,0,21,33,295
Sfax1,ElHencha,23010200702,م إبتدائية الغرابة - النصر  مكتب 2,0,0,2,0,0,0,115,17,0,0,0,0,2,0,1,4,0,0,0,0,0,1,1,80,0,30,31,284
Sfax1,ElHencha,23010200703,م إبتدائية الغرابة - النصر  مكتب 3,0,0,1,0,0,0,90,31,0,0,1,0,1,0,0,4,1,1,0,0,0,0,1,51,0,15,36,233
Sfax1,ElHencha,23010200801,م إبتدائية سيدي محمد بن عمر - النصر  مكتب 1,3,0,1,2,2,3,124,22,0,0,2,1,8,3,1,5,2,1,0,1,6,1,2,167,4,21,12,394
Sfax1,ElHencha,23010200802,م إبتدائية سيدي محمد بن عمر - النصر  مكتب 2,0,0,2,0,0,2,94,28,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,184,0,20,7,346
Sfax1,ElHencha,23010300901,م إبتدائية سيدي حسن بلحاج  مكتب 1,0,2,2,6,0,1,142,11,0,1,4,1,16,2,0,3,0,1,0,0,2,1,2,28,2,4,59,290
Sfax1,ElHencha,23010301001,م إبتدائية الحلالفة - سيدي حسن بالحاج  مكتب 1,1,1,2,1,0,2,89,11,1,0,3,1,7,1,0,2,0,0,4,0,9,0,1,33,2,45,16,232
Sfax1,ElHencha,23010301002,م إبتدائية الحلالفة - سيدي حسن بالحاج  مكتب 2,0,0,4,1,0,1,44,9,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0,34,0,15,7,122
Sfax1,ElHencha,23010301101,م إبتدائية وادي الرقة - سيدي حسن بالحاج  مكتب 1,0,0,0,1,0,1,19,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,12,0,12,1,53
Sfax1,ElHencha,23010301201,م إبتدائية الحلالفة الجنوبية - سيدي حسن بالحاج  مكتب 1,0,0,0,0,2,0,29,2,1,2,2,0,4,1,0,2,0,0,0,0,2,0,0,33,0,12,5,97
Sfax1,ElHencha,23010401301,م إبتدائية الخشارمة - دخان  مكتب 1,0,1,0,0,1,0,36,5,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,36,0,5,3,91
Sfax1,ElHencha,23010401401,م إبتدائية دخان المحطة  مكتب 1,0,1,1,2,2,1,80,15,0,0,1,0,2,0,2,2,0,0,0,1,2,1,0,68,1,18,25,225
Sfax1,ElHencha,23010401501,م إبتدائية دخان الشرقية  مكتب 1,0,0,1,13,0,0,33,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,47,0,21,36,157
Sfax1,ElHencha,23010401601,م إبتدائية الطهــاهرة - دخان  مكتب 1,0,0,0,0,0,3,65,54,0,0,2,1,1,0,0,0,0,1,1,0,1,0,0,59,0,10,2,200
Sfax1,ElHencha,23010501701,م إبتدائية الغيب - بئر الشعبة  مكتب 1,0,1,0,1,1,2,106,13,0,0,2,1,5,0,2,1,1,1,0,0,4,0,0,87,2,33,12,275
Sfax1,ElHencha,23010501702,م إبتدائية الغيب - بئر الشعبة  مكتب 2,1,0,0,1,0,0,53,22,0,0,3,0,1,0,0,3,0,0,1,0,1,0,0,69,0,24,17,196
Sfax1,ElHencha,23010501801,م إبتدائية بئر الشعبة  مكتب 1,1,0,1,1,1,3,60,27,1,1,2,0,3,0,1,4,0,0,0,0,3,0,0,84,0,70,41,304
Sfax1,ElHencha,23010501901,م إبتدائية النيب - بئر الشعبة  مكتب 1,3,0,1,0,2,3,46,12,0,0,1,0,5,0,3,2,4,0,1,1,2,0,1,57,0,43,51,238
Sfax1,ElHencha,23010502001,م إبتدائية الجلايلة - بئر الشعبة  مكتب 1,1,0,0,0,0,0,49,5,0,0,2,1,1,0,0,3,1,1,0,0,3,0,0,53,2,8,19,149
Sfax1,ElHencha,23010602101,م إبتدائية الغطاطسة - مركز مصباح  مكتب 1,2,1,1,3,0,0,106,10,0,2,6,2,6,1,1,1,0,1,0,0,3,0,1,74,1,27,17,266
Sfax1,ElHencha,23010602201,م إبتدائية مركز مصباح طريق الحنشة   مكتب 1,2,0,0,1,2,2,42,6,1,1,3,0,5,0,1,2,1,1,0,0,4,1,0,57,0,23,61,216
Sfax1,ElHencha,23010602202,م إبتدائية مركز مصباح طريق الحنشة   مكتب 2,0,0,1,0,1,3,28,6,1,0,2,0,6,0,0,0,2,0,0,0,0,0,0,51,0,12,36,149
Sfax1,ElHencha,23010602301,م إبتدائية البياضين - مركز مصباح  مكتب 1,0,0,0,0,0,0,15,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,40,0,7,7,76
Sfax1,ElHencha,23010602401,م إبتدائية الجمال - مركز مصباح  مكتب 1,1,0,0,2,1,0,70,6,1,0,6,1,3,2,0,1,2,0,3,1,2,0,0,195,0,41,15,353
Sfax1,ElHencha,23010702501,م إبتدائية بئر صالح   مكتب 1,2,2,2,0,0,3,55,3,1,2,1,0,2,1,0,3,0,0,2,0,3,1,0,268,0,27,4,382
Sfax1,ElHencha,23010702502,م إبتدائية بئر صالح   مكتب 2,0,0,2,0,0,0,18,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,246,0,7,1,283
Sfax1,ElHencha,23010702601,م إبتدائية أولاد عمر 1 - بئر صالح  مكتب 1,2,2,2,3,0,3,99,16,0,1,2,0,2,1,0,2,0,0,0,1,4,0,1,37,0,43,4,225
Sfax1,ElHencha,23010702701,م إبتدائية أولاد عمر 2 - بئر صالح  مكتب 1,0,0,1,0,1,2,54,6,0,0,1,0,4,0,3,3,1,0,0,0,1,0,0,54,0,28,3,162
Sfax1,ElHencha,23010802801,م إبتدائية البطاطحة - الحجارة  مكتب 1,1,0,0,4,3,3,114,1,1,1,5,1,3,2,0,0,1,0,0,0,3,0,1,47,2,11,6,210
Sfax1,ElHencha,23010802802,م إبتدائية البطاطحة - الحجارة  مكتب 2,0,0,0,1,0,1,47,6,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,59,0,10,3,132
