circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax1,Jebeniana,23040109801,م إبتدائية شارع بورقيبة - جبنيانة  مكتب 1,3,0,1,4,1,3,145,6,0,1,4,1,6,4,1,4,0,1,0,3,9,1,0,80,0,6,96,380
Sfax1,Jebeniana,23040109802,م إبتدائية شارع بورقيبة - جبنيانة  مكتب 2,0,0,2,2,0,0,120,10,1,0,3,0,1,1,0,2,0,0,0,0,1,0,0,127,0,12,149,431
Sfax1,Jebeniana,23040109803,م إبتدائية شارع بورقيبة - جبنيانة  مكتب 3,0,0,1,1,0,0,85,17,0,0,5,0,3,0,0,1,0,1,0,0,1,0,0,126,0,4,153,398
Sfax1,Jebeniana,23040109804,م إبتدائية شارع بورقيبة - جبنيانة  مكتب 4,0,0,2,0,0,0,75,15,0,0,3,0,2,0,0,0,1,0,0,0,1,0,0,111,0,5,127,342
Sfax1,Jebeniana,23040109805,م إبتدائية شارع بورقيبة - جبنيانة  مكتب 5,1,0,2,2,0,0,44,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,85,1,1,182,332
Sfax1,Jebeniana,23040109901,م إبتدائية  2مارس34 جبنيانة   مكتب 1,2,0,2,2,3,1,123,7,2,0,1,0,4,0,0,0,1,2,0,0,4,0,0,133,0,10,78,375
Sfax1,Jebeniana,23040109902,م إبتدائية  2مارس34 جبنيانة   مكتب 2,0,0,1,1,0,0,85,13,1,1,1,0,1,0,0,5,0,0,0,0,0,0,1,120,0,8,115,353
Sfax1,Jebeniana,23040109903,م إبتدائية  2مارس34 جبنيانة   مكتب 3,0,0,3,1,0,0,52,15,0,0,2,0,2,0,0,2,1,0,0,0,1,0,1,121,0,5,112,318
Sfax1,Jebeniana,23040110001,م إبتدائية حي الحدائق - جبنيانة  مكتب 1,1,0,1,4,0,1,99,9,1,0,5,0,2,1,0,3,0,0,0,0,2,0,2,103,1,6,102,343
Sfax1,Jebeniana,23040110002,م إبتدائية حي الحدائق - جبنيانة  مكتب 2,0,0,4,0,0,0,37,13,0,1,2,0,1,0,0,4,0,0,0,0,0,0,0,107,0,5,106,280
