circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax1,Kerkenah,23070116901,م إبتدائية العطايا   مكتب 1,0,1,17,1,0,1,56,4,0,1,3,0,3,1,0,0,0,0,1,1,2,2,0,239,2,13,15,363
Sfax1,Kerkenah,23070116902,م إبتدائية العطايا   مكتب 2,4,0,7,0,1,0,52,2,0,1,6,0,4,0,0,1,0,0,1,0,0,0,0,278,0,6,14,377
Sfax1,Kerkenah,23070116903,م إبتدائية العطايا   مكتب 3,0,0,7,0,0,0,21,15,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,231,0,10,18,308
Sfax1,Kerkenah,23070217001,م إبتدائية الرملة  مكتب 1,0,0,55,2,2,1,192,7,0,0,1,0,4,0,0,4,0,0,0,0,4,1,0,66,1,7,54,401
Sfax1,Kerkenah,23070217002,م إبتدائية الرملة  مكتب 2,0,0,47,0,1,1,167,6,2,1,2,0,1,0,0,3,0,0,0,0,0,0,0,70,0,6,101,408
Sfax1,Kerkenah,23070217003,م إبتدائية الرملة  مكتب 3,1,0,28,3,0,1,147,15,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,59,0,13,104,377
Sfax1,Kerkenah,23070217004,م إبتدائية الرملة  مكتب 4,0,0,49,0,0,0,112,24,0,0,1,0,1,0,0,0,0,0,0,0,2,2,3,40,0,6,100,340
Sfax1,Kerkenah,23070217101,م إبتدائية أولاد بوعلي - الرملة  مكتب 1,0,0,26,0,0,0,128,25,0,0,6,0,0,0,0,2,2,1,0,1,1,0,0,88,0,15,88,383
Sfax1,Kerkenah,23070317201,م إبتدائية أولاد يانق - سيدي فرج  مكتب 1,0,0,8,0,0,0,67,3,2,0,2,1,3,0,1,2,0,1,0,0,0,0,0,53,0,9,38,190
Sfax1,Kerkenah,23070417301,م إبتدائية 2مارس مليتة   مكتب 1,0,0,13,2,0,0,92,3,0,1,1,0,3,1,0,3,0,1,0,0,2,0,4,65,1,3,37,232
Sfax1,Kerkenah,23070417302,م إبتدائية 2مارس مليتة   مكتب 2,0,0,7,2,1,0,60,12,0,0,1,0,2,1,0,1,0,0,0,0,1,0,1,94,0,3,51,237
Sfax1,Kerkenah,23070417303,م إبتدائية 2مارس مليتة   مكتب 3,0,0,15,0,0,0,43,20,0,0,1,0,1,0,0,2,0,0,2,0,0,1,0,100,1,6,61,253
Sfax1,Kerkenah,23070417401,م إبتدائية أولاد عزالدين - مليتة  مكتب 1,0,0,6,1,0,1,34,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,16,0,1,14,80
Sfax1,Kerkenah,23070517501,م إبتدائية النجاة   مكتب 1,0,0,11,2,0,0,85,4,0,1,2,1,4,1,1,1,0,0,0,0,2,1,0,62,0,14,41,233
Sfax1,Kerkenah,23070517502,م إبتدائية النجاة   مكتب 2,0,0,7,0,0,0,55,11,0,0,5,0,1,0,0,1,1,0,0,1,0,1,1,81,1,8,47,221
Sfax1,Kerkenah,23070617601,م إبتدائية القراطن   مكتب 1,2,0,12,0,1,0,83,5,2,1,1,1,2,3,1,1,0,1,0,2,1,0,0,41,0,5,65,230
Sfax1,Kerkenah,23070617602,م إبتدائية القراطن   مكتب 2,0,0,11,0,0,0,51,9,0,0,2,0,2,1,1,1,0,0,0,0,0,0,0,62,0,5,79,224
Sfax1,Kerkenah,23070717701,م إبتدائية أولاد قاسم   مكتب 1,1,0,7,1,1,1,212,11,0,0,3,0,1,0,0,0,1,3,0,3,2,0,0,44,0,3,72,366
