circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax1,MenzelChaker,23080117801,م إبتدائية  2مارس 34 منزل شاكر  مكتب 1,0,0,3,4,5,2,142,19,3,1,4,1,1,3,2,4,0,2,0,0,6,0,4,89,4,32,46,377
Sfax1,MenzelChaker,23080117802,م إبتدائية  2مارس 34 منزل شاكر  مكتب 2,1,2,0,2,0,2,128,18,0,3,3,1,1,1,2,2,0,0,0,0,1,0,0,92,0,49,68,376
Sfax1,MenzelChaker,23080117803,م إبتدائية  2مارس 34 منزل شاكر  مكتب 3,0,0,1,0,0,0,88,31,0,0,7,0,3,0,1,0,0,0,0,0,1,0,0,64,1,27,59,283
Sfax1,MenzelChaker,23080217901,م إبتدائية الرياض بوجربوع  مكتب 1,1,0,0,3,0,5,85,10,1,1,4,0,1,1,0,1,2,2,0,1,5,0,0,96,0,13,15,247
Sfax1,MenzelChaker,23080217902,م إبتدائية الرياض بوجربوع  مكتب 2,1,0,0,0,0,1,41,15,0,0,4,0,0,0,0,2,0,1,0,0,1,0,1,111,0,13,12,203
Sfax1,MenzelChaker,23080218001,م إبتدائية الشوشة - بوجوبوع  مكتب 1,0,0,0,1,1,6,65,10,1,0,4,0,2,1,0,1,2,2,1,0,4,2,0,99,1,37,12,252
Sfax1,MenzelChaker,23080218101,م إبتدائية بوجربوع الشمالية  مكتب 1,2,1,0,5,0,0,63,13,1,0,4,0,1,0,0,4,1,2,1,1,4,1,0,117,0,17,9,247
Sfax1,MenzelChaker,23080318201,م إبتدائية ماجل الدرج  مكتب 1,1,1,0,4,1,0,107,6,2,2,6,0,7,2,0,4,4,0,1,0,4,0,1,143,0,35,12,343
Sfax1,MenzelChaker,23080318202,م إبتدائية ماجل الدرج  مكتب 2,0,0,2,0,1,1,74,4,0,0,2,0,1,0,0,1,2,1,0,1,3,0,0,123,0,29,8,253
Sfax1,MenzelChaker,23080318301,م إبتدائية القوادرية - ماجل الدرج  مكتب 1,1,1,0,2,1,1,38,3,1,0,3,0,0,2,1,0,1,1,1,1,2,0,0,55,1,10,5,131
