circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax1,SakietEddaier,23050112301,م إبتدائية الأمانة - ساقية الدائر  مكتب 1,0,0,1,5,1,1,146,4,1,1,1,0,6,0,1,19,0,0,0,0,2,1,1,187,0,9,20,407
Sfax1,SakietEddaier,23050112302,م إبتدائية الأمانة - ساقية الدائر  مكتب 2,0,0,1,4,1,0,130,3,0,0,1,0,3,0,0,23,1,0,0,0,3,0,2,226,0,6,27,431
Sfax1,SakietEddaier,23050112303,م إبتدائية الأمانة - ساقية الدائر  مكتب 3,0,0,2,3,0,0,123,6,0,0,1,0,4,0,0,12,0,0,0,0,3,0,0,203,0,8,33,398
Sfax1,SakietEddaier,23050112304,م إبتدائية الأمانة - ساقية الدائر  مكتب 4,0,0,5,1,1,0,90,8,0,0,1,0,1,0,0,12,0,0,0,0,5,0,1,208,0,15,34,382
Sfax1,SakietEddaier,23050112305,م إبتدائية الأمانة - ساقية الدائر  مكتب 5,0,0,2,5,0,0,87,14,0,0,0,0,7,0,0,17,0,0,0,1,1,0,2,199,1,7,32,375
Sfax1,SakietEddaier,23050112306,م إبتدائية الأمانة - ساقية الدائر  مكتب 6,0,0,3,1,0,0,83,10,0,2,3,0,4,1,0,7,0,0,0,0,1,0,1,187,0,7,51,361
Sfax1,SakietEddaier,23050112401,م إبتدائية مركز الحطاب - ساقية الدائر  مكتب 1,0,2,2,4,0,0,129,8,0,0,1,1,4,1,1,9,1,2,1,1,1,0,1,193,0,15,18,395
Sfax1,SakietEddaier,23050112402,م إبتدائية مركز الحطاب - ساقية الدائر  مكتب 2,0,0,1,0,0,1,131,4,0,0,4,0,0,1,1,13,0,0,0,1,1,0,0,203,0,10,23,394
Sfax1,SakietEddaier,23050112403,م إبتدائية مركز الحطاب - ساقية الدائر  مكتب 3,0,0,4,1,0,1,101,5,0,0,2,0,2,0,0,15,0,0,0,0,3,0,0,242,0,21,23,420
Sfax1,SakietEddaier,23050112404,م إبتدائية مركز الحطاب - ساقية الدائر  مكتب 4,0,0,3,2,0,0,110,5,0,2,3,0,3,0,1,12,0,0,0,1,1,0,0,209,1,23,27,403
