circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax1,SakietEzzit,23060114601,م إبتدائية الفوز - ساقية الزيت  مكتب 1,0,0,3,2,1,1,189,4,0,1,4,1,8,0,0,12,1,0,0,0,4,1,2,190,0,14,27,465
Sfax1,SakietEzzit,23060114602,م إبتدائية الفوز - ساقية الزيت  مكتب 2,0,1,1,4,0,0,146,2,0,0,2,0,5,0,0,16,0,0,1,0,3,0,2,228,1,17,47,476
Sfax1,SakietEzzit,23060114603,م إبتدائية الفوز - ساقية الزيت  مكتب 3,0,0,3,2,0,0,150,7,0,0,1,0,9,0,0,10,0,0,0,0,2,0,4,188,0,17,52,445
Sfax1,SakietEzzit,23060114604,م إبتدائية الفوز - ساقية الزيت  مكتب 4,0,0,7,4,0,0,91,13,0,0,3,0,6,0,0,27,0,0,0,0,2,0,1,206,0,7,51,418
Sfax1,SakietEzzit,23060114701,م إبتدائية شارع بورقيبة - ساقية الزيت  مكتب 1,0,0,4,1,2,0,183,1,0,1,2,0,3,1,0,22,2,0,0,0,4,1,0,191,0,10,30,458
Sfax1,SakietEzzit,23060114702,م إبتدائية شارع بورقيبة - ساقية الزيت  مكتب 2,0,0,7,0,0,0,176,8,0,1,1,0,7,1,0,10,0,0,0,0,1,0,0,248,1,6,37,504
Sfax1,SakietEzzit,23060114703,م إبتدائية شارع بورقيبة - ساقية الزيت  مكتب 3,0,0,3,1,0,0,149,7,0,1,2,0,6,0,0,18,0,0,0,0,2,0,1,213,0,9,51,463
Sfax1,SakietEzzit,23060114704,م إبتدائية شارع بورقيبة - ساقية الزيت  مكتب 4,0,0,4,3,0,1,120,9,0,0,3,0,5,0,0,12,0,1,0,1,1,0,0,201,0,10,75,446
Sfax1,SakietEzzit,23060114801,م إبتدائية شارع الزيادي - ساقية الزيت  مكتب 1,0,1,1,4,0,0,136,4,0,0,5,0,3,0,1,15,1,0,0,1,2,0,3,181,0,11,29,398
Sfax1,SakietEzzit,23060114802,م إبتدائية شارع الزيادي - ساقية الزيت  مكتب 2,1,0,1,3,1,2,132,2,0,0,0,0,2,0,0,8,1,0,1,1,1,0,1,224,0,8,22,411
Sfax1,SakietEzzit,23060114803,م إبتدائية شارع الزيادي - ساقية الزيت  مكتب 3,1,0,3,6,0,2,110,5,0,0,1,0,3,2,0,10,0,0,0,0,3,0,1,228,1,10,22,408
Sfax1,SakietEzzit,23060114804,م إبتدائية شارع الزيادي - ساقية الزيت  مكتب 4,0,0,3,1,0,1,93,3,0,1,3,0,7,0,0,13,0,0,0,0,2,0,1,207,0,8,34,377
Sfax1,SakietEzzit,23060114805,م إبتدائية شارع الزيادي - ساقية الزيت  مكتب 5,0,0,5,2,0,0,83,10,0,0,2,0,4,1,0,11,2,0,0,0,1,0,0,197,0,3,40,361
Sfax1,SakietEzzit,23060214901,م إبتدائية مركز الشيشمة - مركز بوعصيدة  مكتب 1,2,1,2,2,0,0,192,0,0,0,4,0,8,0,0,8,0,0,2,0,2,0,0,125,0,6,30,384
Sfax1,SakietEzzit,23060214902,م إبتدائية مركز الشيشمة - مركز بوعصيدة  مكتب 2,0,0,3,2,0,1,132,6,0,0,1,0,5,0,1,14,0,0,0,1,2,0,0,169,0,12,49,398
Sfax1,SakietEzzit,23060214903,م إبتدائية مركز الشيشمة - مركز بوعصيدة  مكتب 3,0,0,3,1,0,0,119,3,0,0,2,0,1,1,0,6,0,0,0,0,2,0,1,162,1,10,51,363
Sfax1,SakietEzzit,23060214904,م إبتدائية مركز الشيشمة - مركز بوعصيدة  مكتب 4,0,0,5,1,0,0,85,9,0,0,4,0,3,0,1,9,0,0,0,0,2,0,2,146,0,4,66,337
Sfax1,SakietEzzit,23060215001,م إبتدائية الثريا - مركز بوعصيدة  مكتب 1,0,0,3,3,0,2,140,7,0,0,1,0,2,0,0,23,0,0,0,0,6,0,0,237,0,12,29,465
Sfax1,SakietEzzit,23060215002,م إبتدائية الثريا - مركز بوعصيدة  مكتب 2,0,0,4,3,0,3,88,12,0,0,3,0,4,0,0,16,0,0,0,1,2,0,0,249,0,6,25,416
Sfax1,SakietEzzit,23060215101,م إبتدائية خالد ابن الوليد - مركز بوعصيدة  مكتب 1,0,0,4,4,0,0,186,2,1,0,4,0,6,2,1,11,0,1,0,0,2,0,0,178,1,11,29,443
Sfax1,SakietEzzit,23060215102,م إبتدائية خالد ابن الوليد - مركز بوعصيدة  مكتب 2,0,0,3,5,0,0,153,0,0,1,1,2,1,0,0,15,1,0,1,1,3,0,0,156,1,12,41,397
Sfax1,SakietEzzit,23060215103,م إبتدائية خالد ابن الوليد - مركز بوعصيدة  مكتب 3,0,0,3,4,0,1,131,8,0,0,2,0,5,0,0,11,0,0,0,1,5,0,1,212,0,7,50,441
Sfax1,SakietEzzit,23060215104,م إبتدائية خالد ابن الوليد - مركز بوعصيدة  مكتب 4,0,0,2,1,0,1,126,7,0,2,3,0,3,0,0,11,0,0,2,0,6,0,0,209,0,22,43,438
Sfax1,SakietEzzit,23060215105,م إبتدائية خالد ابن الوليد - مركز بوعصيدة  مكتب 5,0,0,6,1,0,0,111,7,0,0,2,0,8,0,0,11,0,0,0,0,3,0,1,188,1,25,42,406
Sfax1,SakietEzzit,23060215106,م إبتدائية خالد ابن الوليد - مركز بوعصيدة  مكتب 6,0,0,4,2,0,0,101,4,0,0,0,0,6,0,0,12,0,0,0,0,1,0,1,191,1,6,64,393
Sfax1,SakietEzzit,23060215107,م إبتدائية خالد ابن الوليد - مركز بوعصيدة  مكتب 7,0,0,4,2,0,0,82,16,0,0,2,0,2,0,0,14,1,0,0,0,1,0,3,169,1,12,80,389
Sfax1,SakietEzzit,23060315201,م إبتدائية شارع الهادي شاكر - السدرة  مكتب 1,1,1,1,2,1,2,152,2,0,0,2,0,10,1,1,17,1,0,0,1,4,0,0,201,0,19,24,443
Sfax1,SakietEzzit,23060315202,م إبتدائية شارع الهادي شاكر - السدرة  مكتب 2,0,0,4,0,0,1,132,3,2,0,0,0,6,2,0,25,0,0,0,0,2,0,1,246,0,14,40,478
Sfax1,SakietEzzit,23060315203,م إبتدائية شارع الهادي شاكر - السدرة  مكتب 3,0,0,2,4,0,1,99,5,0,0,4,0,6,0,0,10,0,0,1,0,1,0,4,271,1,16,43,468
Sfax1,SakietEzzit,23060315204,م إبتدائية شارع الهادي شاكر - السدرة  مكتب 4,0,0,1,0,2,0,100,9,0,0,3,0,7,0,0,15,1,0,0,0,0,0,5,230,0,14,36,423
Sfax1,SakietEzzit,23060315205,م إبتدائية شارع الهادي شاكر - السدرة  مكتب 5,0,0,5,1,0,1,89,9,0,0,2,0,6,0,0,16,0,0,1,0,1,0,2,208,2,6,65,414
Sfax1,SakietEzzit,23060315301,م إبتدائية الوادي - السدرة  مكتب 1,1,0,1,2,0,0,139,1,2,0,4,0,5,2,0,9,0,2,1,1,0,1,0,184,0,21,17,393
Sfax1,SakietEzzit,23060315302,م إبتدائية الوادي - السدرة  مكتب 2,1,0,2,0,0,0,106,5,0,1,1,0,6,1,1,12,0,0,0,1,0,0,0,217,0,25,12,391
Sfax1,SakietEzzit,23060315303,م إبتدائية الوادي - السدرة  مكتب 3,0,0,1,0,0,2,86,4,0,0,1,0,3,0,0,8,0,0,0,0,1,0,0,232,1,23,19,381
Sfax1,SakietEzzit,23060315304,م إبتدائية الوادي - السدرة  مكتب 4,0,0,2,0,0,0,80,7,0,0,3,0,2,0,0,8,0,1,0,1,0,0,0,218,0,14,27,363
Sfax1,SakietEzzit,23060315401,م إبتدائية البشرى - السدرة  مكتب 1,2,0,5,1,1,0,132,5,1,1,4,1,1,1,2,13,0,0,1,0,4,0,1,191,0,6,19,392
Sfax1,SakietEzzit,23060315402,م إبتدائية البشرى - السدرة  مكتب 2,0,0,0,1,0,0,111,6,0,2,1,0,2,0,0,19,0,0,0,0,4,0,1,252,0,12,35,446
Sfax1,SakietEzzit,23060315403,م إبتدائية البشرى - السدرة  مكتب 3,0,0,0,2,0,0,97,5,0,0,2,0,4,0,0,18,0,0,0,0,2,0,1,237,0,22,27,417
Sfax1,SakietEzzit,23060315404,م إبتدائية البشرى - السدرة  مكتب 4,0,0,3,0,0,1,70,10,0,0,1,0,5,0,0,21,0,0,0,1,3,0,2,226,1,3,48,395
Sfax1,SakietEzzit,23060315501,م إبتدائية مركز السدرة  مكتب 1,1,0,4,1,1,1,171,4,0,1,0,1,10,1,1,13,1,0,0,0,5,1,2,214,2,7,21,463
Sfax1,SakietEzzit,23060315502,م إبتدائية مركز السدرة  مكتب 2,0,1,2,2,1,0,124,3,0,1,4,1,5,1,0,11,0,0,0,1,2,0,0,271,0,10,26,466
Sfax1,SakietEzzit,23060315503,م إبتدائية مركز السدرة  مكتب 3,0,0,0,1,0,0,109,7,1,0,1,0,2,1,0,14,0,0,1,0,5,0,0,284,0,13,34,473
Sfax1,SakietEzzit,23060315504,م إبتدائية مركز السدرة  مكتب 4,1,0,2,0,0,0,92,8,0,0,1,0,4,0,0,17,0,0,0,0,1,0,1,265,0,20,30,442
Sfax1,SakietEzzit,23060315505,م إبتدائية مركز السدرة  مكتب 5,0,0,4,1,0,0,94,2,0,0,2,0,4,0,0,10,0,0,2,0,1,0,0,251,0,10,48,429
Sfax1,SakietEzzit,23060315506,م إبتدائية مركز السدرة  مكتب 6,0,0,5,0,0,0,80,10,0,0,4,0,2,0,0,19,0,0,0,0,2,0,0,247,0,5,67,441
Sfax1,SakietEzzit,23060315601,م إبتدائية شارع الحرية - السدرة  مكتب 1,0,0,4,1,2,2,117,1,0,0,4,1,2,0,0,5,1,1,1,1,5,0,2,200,0,7,22,379
Sfax1,SakietEzzit,23060315602,م إبتدائية شارع الحرية - السدرة  مكتب 2,0,0,7,2,0,0,82,4,0,1,0,0,4,0,1,11,0,0,1,0,3,0,1,251,0,10,23,401
Sfax1,SakietEzzit,23060315603,م إبتدائية شارع الحرية - السدرة  مكتب 3,0,0,2,1,0,0,59,4,0,0,4,0,3,0,0,13,0,0,1,1,1,0,1,252,0,13,27,382
Sfax1,SakietEzzit,23060315604,م إبتدائية شارع الحرية - السدرة  مكتب 4,0,0,5,2,0,1,58,6,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,235,0,4,39,363
Sfax1,SakietEzzit,23060315701,م إبتدائية المثابرة - السدرة  مكتب 1,0,0,1,0,1,1,124,13,0,1,1,0,2,0,1,0,0,0,0,0,2,2,3,185,1,47,27,412
Sfax1,SakietEzzit,23060315801,م إبتدائية العهد الجديد - السدرة  مكتب 1,0,0,0,0,3,0,98,7,0,1,3,0,2,0,0,8,1,1,1,0,2,0,0,131,1,27,21,307
Sfax1,SakietEzzit,23060315802,م إبتدائية العهد الجديد - السدرة  مكتب 2,2,0,2,0,0,0,64,8,0,0,2,0,3,0,0,7,0,0,0,0,0,0,0,93,0,22,30,233
Sfax1,SakietEzzit,23060315901,م إبتدائية الأنس - السدرة  مكتب 1,1,0,2,0,0,0,156,3,0,0,1,0,7,1,0,12,0,0,0,2,5,0,3,176,0,11,41,421
Sfax1,SakietEzzit,23060315902,م إبتدائية الأنس - السدرة  مكتب 2,0,0,4,0,0,0,97,10,0,1,1,0,4,1,0,6,0,0,0,0,1,0,2,202,0,22,47,398
Sfax1,SakietEzzit,23060315903,م إبتدائية الأنس - السدرة  مكتب 3,1,0,4,0,0,0,98,7,0,0,2,0,5,0,0,4,0,0,0,0,2,0,2,150,2,40,39,356
Sfax1,SakietEzzit,23060315904,م إبتدائية الأنس - السدرة  مكتب 4,0,0,5,2,0,2,84,17,0,0,1,0,3,0,0,8,0,0,0,0,1,0,0,149,0,11,68,351
Sfax1,SakietEzzit,23060416001,م إبتدائية البساتين مركز العروي - الشيحية  مكتب 1,0,0,2,9,0,0,165,4,1,1,1,0,6,0,0,35,1,1,1,1,3,0,1,176,0,9,29,446
Sfax1,SakietEzzit,23060416002,م إبتدائية البساتين مركز العروي - الشيحية  مكتب 2,0,0,2,5,0,2,153,4,0,0,4,0,6,0,0,14,0,0,0,1,4,0,3,216,0,16,32,462
Sfax1,SakietEzzit,23060416003,م إبتدائية البساتين مركز العروي - الشيحية  مكتب 3,0,0,5,5,0,0,159,7,1,3,8,0,19,0,0,11,0,0,0,3,1,0,2,193,0,11,40,468
Sfax1,SakietEzzit,23060416004,م إبتدائية البساتين مركز العروي - الشيحية  مكتب 4,0,0,4,4,0,1,118,16,0,0,8,0,7,0,0,22,0,0,0,0,1,0,0,191,0,6,57,435
Sfax1,SakietEzzit,23060416101,م إبتدائية الاصلاح الشيحية   مكتب 1,1,0,2,1,0,0,214,2,0,0,6,0,12,2,2,21,2,0,0,1,1,0,3,169,0,14,19,472
Sfax1,SakietEzzit,23060416102,م إبتدائية الاصلاح الشيحية   مكتب 2,1,0,1,3,1,0,162,2,0,0,1,0,3,1,0,21,3,0,0,0,3,0,1,201,0,7,29,440
Sfax1,SakietEzzit,23060416103,م إبتدائية الاصلاح الشيحية   مكتب 3,0,0,5,5,0,0,155,8,0,0,4,0,7,0,0,18,0,0,0,0,2,0,0,257,0,12,22,495
Sfax1,SakietEzzit,23060416104,م إبتدائية الاصلاح الشيحية   مكتب 4,0,0,4,4,0,0,143,9,0,0,3,0,6,1,0,11,1,0,0,0,2,0,1,260,0,10,30,485
Sfax1,SakietEzzit,23060416105,م إبتدائية الاصلاح الشيحية   مكتب 5,0,0,5,2,0,0,121,7,0,1,0,0,10,1,0,19,0,0,0,1,3,0,1,226,0,20,42,459
Sfax1,SakietEzzit,23060416106,م إبتدائية الاصلاح الشيحية   مكتب 6,0,0,5,3,0,3,117,12,0,0,1,0,7,0,0,14,0,0,0,0,5,0,1,215,0,9,50,442
Sfax1,SakietEzzit,23060416107,م إبتدائية الاصلاح الشيحية   مكتب 7,0,0,7,0,0,0,112,16,0,1,1,0,2,0,0,11,0,0,0,1,2,0,0,215,1,9,68,446
Sfax1,SakietEzzit,23060416201,م إبتدائية البدر الشيحية   مكتب 1,0,0,1,2,1,1,180,5,2,1,2,1,8,1,0,12,0,1,0,0,3,1,2,221,0,14,26,485
Sfax1,SakietEzzit,23060416202,م إبتدائية البدر الشيحية   مكتب 2,0,0,1,3,1,0,140,5,0,0,3,0,6,1,0,11,0,0,0,0,2,0,0,261,0,17,18,469
