#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
24080113301,م إبتدائية عقارب   مكتب 1,0,0,1,3,0,3,206,5,6,1,2,0,1,1,0,0,1,0,0,0,7,0,1,119,1,21,13,392.0
24080113302,م إبتدائية عقارب   مكتب 2,0,0,1,2,0,1,174,14,1,2,1,0,3,0,1,0,0,0,0,0,3,0,0,183,0,28,23,437.0
24080113303,م إبتدائية عقارب   مكتب 3,0,0,1,0,0,3,147,18,0,1,1,0,2,0,0,0,1,1,0,0,2,0,0,163,0,32,13,385.0
24080113304,م إبتدائية عقارب   مكتب 4,0,0,3,1,0,0,114,24,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,165,0,16,18,346.0
24080113401,م إبتدائية  2مارس 34 عقارب   مكتب 1,1,2,2,5,0,2,233,7,1,0,5,1,2,0,0,5,1,1,0,0,11,1,1,152,1,23,14,471.0
24080113402,م إبتدائية  2مارس 34 عقارب   مكتب 2,0,0,2,1,2,4,213,17,0,2,3,0,1,0,0,1,1,0,0,0,3,0,1,187,1,20,23,482.0
24080113403,م إبتدائية  2مارس 34 عقارب   مكتب 3,0,0,0,0,0,1,187,23,0,0,0,0,1,0,0,4,1,1,1,0,2,1,0,206,1,31,12,472.0
24080113404,م إبتدائية  2مارس 34 عقارب   مكتب 4,0,0,2,2,0,0,152,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,194,0,29,25,418.0
24080113405,م إبتدائية  2مارس 34 عقارب   مكتب 5,0,0,1,1,0,0,139,34,0,1,0,0,0,0,0,5,0,0,0,0,2,0,0,172,0,23,21,399.0
24080113406,م إبتدائية  2مارس 34 عقارب   مكتب 6,0,0,2,0,0,0,120,36,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,180,0,11,32,385.0
24080113501,م إبتدائية السوالم عقارب   مكتب 1,0,0,0,5,0,1,148,13,4,1,3,1,3,1,0,2,2,2,2,0,7,2,0,131,2,33,13,376.0
24080113502,م إبتدائية السوالم عقارب   مكتب 2,0,0,0,0,0,0,102,17,0,0,2,0,2,0,0,4,0,0,1,0,1,0,0,159,0,23,10,321.0
24080113601,م إبتدائية عقارب الشرقية  مكتب 1,0,1,1,2,0,3,88,7,0,1,3,2,2,0,1,2,3,0,0,0,3,0,1,202,1,17,13,353.0
24080113602,م إبتدائية عقارب الشرقية  مكتب 2,0,0,1,0,0,0,64,19,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,195,0,7,15,306.0
24080113701,م إبتدائية حي ابن ابراهيم - عقارب  مكتب 1,1,2,0,2,1,2,226,11,1,0,0,0,3,0,1,2,1,1,0,2,3,0,0,165,0,31,12,467.0
24080113702,م إبتدائية حي ابن ابراهيم - عقارب  مكتب 2,0,0,0,2,0,2,167,16,0,0,0,0,3,1,1,3,1,0,0,0,1,0,0,168,0,28,22,415.0
24080213801,م إبتدائية قرقور   مكتب 1,1,2,0,2,3,0,96,2,0,1,3,0,4,1,0,8,2,3,0,0,2,1,1,205,0,14,27,378.0
24080213802,م إبتدائية قرقور   مكتب 2,0,0,0,1,0,0,29,9,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,221,0,7,29,301.0
24080213901,م إبتدائية قرقور الشمالية  مكتب 1,2,0,1,1,0,4,83,8,2,1,2,0,2,0,1,2,1,0,0,1,6,0,0,114,0,12,18,261.0
24080214001,م إبتدائية قرقور الشرقية  مكتب 1,1,2,1,2,1,3,54,10,0,0,2,0,2,1,0,2,2,1,1,0,5,0,4,84,0,13,9,200.0
24080214101,م إبتدائية قرقور الغربية  مكتب 1,3,0,0,3,1,0,26,8,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,78,0,2,6,131.0
24080214201,م إبتدائية  14 جانفي  قرقور   مكتب 1,0,0,1,2,0,0,15,6,0,0,2,0,4,0,0,3,0,1,0,0,1,0,0,67,1,7,12,122.0
24080314301,م إبتدائية الجواودة بولذياب   مكتب 1,0,0,1,1,0,1,36,5,0,1,0,1,0,0,0,2,1,0,2,2,3,0,0,135,0,18,3,212.0
24080314401,م إبتدائية المصادقة - بولذياب  مكتب 1,0,0,0,1,0,0,76,4,0,0,0,0,2,0,0,1,2,1,0,0,1,0,0,32,0,18,5,143.0
24080314501,م إبتدائية أولاد المبروك - بولذياب  مكتب 1,1,0,3,0,2,3,141,6,3,0,3,1,4,2,1,3,4,2,1,2,4,0,0,104,0,20,6,316.0
24080314601,م إبتدائية أولاد الحاج السعد - بولذياب  مكتب 1,1,0,1,0,1,1,23,0,2,1,0,0,4,3,0,0,0,1,2,0,0,0,0,62,0,28,2,132.0
24080314701,م إبتدائية الفتح - بولذياب  مكتب 1,0,0,0,1,0,4,67,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,71,0,42,4,195.0
24080414801,م إبتدائية العطيات - المحروقة  مكتب 1,0,0,0,1,0,0,23,4,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,25,0,5,3,66.0
24080414901,م إبتدائية المحروقة  مكتب 1,0,0,1,1,1,1,186,2,1,1,1,0,4,2,2,2,0,3,1,0,7,1,0,29,1,11,6,264.0
24080415001,م إبتدائية المراعنية - المحروقة  مكتب 1,1,1,1,2,0,3,79,3,0,0,3,0,8,1,1,1,0,0,5,0,6,1,0,68,0,29,11,224.0
24080415002,م إبتدائية المراعنية - المحروقة  مكتب 2,1,0,0,0,0,0,67,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75,0,31,7,191.0
24080515101,م إبتدائية التراكة - التربة  مكتب 1,0,1,0,2,0,1,84,6,0,0,1,0,2,0,0,1,1,0,0,1,4,0,0,62,1,11,6,184.0
24080515201,م إبتدائية العطاطشة - التربة  مكتب 1,0,0,0,1,0,0,106,8,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,83,1,65,5,273.0
