circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax2,Esskhira,24010100101,م إبتدائية الغرايرة - صبيح  مكتب 1,1,1,1,4,0,1,104,2,0,1,1,2,3,0,1,1,0,2,1,1,3,1,0,172,0,18,5,326
Sfax2,Esskhira,24010100102,م إبتدائية الغرايرة - صبيح  مكتب 2,1,0,0,0,0,0,32,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,150,0,3,0,194
Sfax2,Esskhira,24010100201,م إبتدائية صبيح النور - صبيح  مكتب 1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66,0,8,1,96
Sfax2,Esskhira,24010200301,م إبتدائية الشفافرة - الخضراء  مكتب 1,0,0,0,1,0,1,42,5,0,0,4,0,0,0,2,1,2,0,0,0,1,0,0,104,0,24,0,187
Sfax2,Esskhira,24010200401,م إبتدائية  المالحة - الخضراء  مكتب 1,0,0,1,0,1,0,29,1,1,0,3,0,2,1,1,0,0,1,0,0,1,1,1,179,0,35,0,258
Sfax2,Esskhira,24010200501,م إبتدائية صبيح الشرقية - الخضراء  مكتب 1,0,0,0,0,0,0,20,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,110,1,13,1,150
Sfax2,Esskhira,24010200601,م إبتدائية هنشير الرمث - الخضراء  مكتب 1,0,0,0,3,0,2,23,1,2,0,0,1,1,1,1,0,0,2,1,0,1,1,0,98,1,12,2,153
Sfax2,Esskhira,24010200701,م إبتدائية صبيح الجنوبية - الخضراء  مكتب 1,0,0,0,0,0,1,13,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,67,0,3,2,93
Sfax2,Esskhira,24010200801,م إبتدائية الحادثة - الخضراء  مكتب 1,1,1,0,0,0,0,27,1,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,104,1,5,1,147
Sfax2,Esskhira,24010300901,م إبتدائية النوال   مكتب 1,0,0,0,1,0,1,42,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,30,2,98
Sfax2,Esskhira,24010301001,م إبتدائية نوال الجديدة - نوال  مكتب 1,0,0,1,0,0,0,35,5,0,0,2,0,3,0,0,1,0,0,1,0,0,0,0,23,1,26,1,99
Sfax2,Esskhira,24010301101,م إبتدائية نوال الشمالية - نوال  مكتب 1,0,0,0,2,0,1,19,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,28,0,26,5,87
Sfax2,Esskhira,24010301201,م إبتدائية الخبيات - نوال  مكتب 1,0,0,0,0,0,0,31,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4,0,13,0,52
Sfax2,Esskhira,24010301301,م إبتدائية وادي السروج - نوال  مكتب 1,0,0,0,0,0,0,27,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,14,0,6,0,52
Sfax2,Esskhira,24010401401,م إبتدائية  2مارس 34 الصخيرة   مكتب 1,2,2,1,3,2,2,194,7,0,1,5,0,7,3,0,2,3,0,0,0,5,0,0,118,0,25,10,392
Sfax2,Esskhira,24010401402,م إبتدائية  2مارس 34 الصخيرة   مكتب 2,0,0,0,2,0,2,154,10,1,0,6,0,1,0,0,0,0,1,1,0,0,0,2,163,0,27,45,415
Sfax2,Esskhira,24010401403,م إبتدائية  2مارس 34 الصخيرة   مكتب 3,0,1,1,3,0,0,149,20,0,0,5,0,2,0,0,2,1,0,0,0,0,0,2,172,0,17,27,402
Sfax2,Esskhira,24010401404,م إبتدائية  2مارس 34 الصخيرة   مكتب 4,0,0,1,3,0,1,81,16,0,0,5,0,1,1,0,2,1,0,1,0,1,0,0,153,0,27,21,315
Sfax2,Esskhira,24010401405,م إبتدائية  2مارس 34 الصخيرة   مكتب 5,1,0,1,0,0,0,111,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,152,0,14,18,316
Sfax2,Esskhira,24010401406,م إبتدائية  2مارس 34 الصخيرة   مكتب 6,0,0,0,0,1,0,87,30,0,0,8,0,2,0,0,1,0,0,0,0,0,0,0,129,0,11,27,296
Sfax2,Esskhira,24010401501,م إبتدائية سيدي مهذب - الصخيرة  مكتب 1,1,0,1,1,2,0,144,11,1,2,3,0,3,1,1,1,2,1,3,1,6,0,0,94,0,20,5,304
Sfax2,Esskhira,24010401502,م إبتدائية سيدي مهذب - الصخيرة  مكتب 2,0,0,0,0,0,2,105,17,0,0,2,0,1,0,0,0,1,0,0,0,1,0,1,121,0,14,8,273
Sfax2,Esskhira,24010401503,م إبتدائية سيدي مهذب - الصخيرة  مكتب 3,0,0,1,1,0,0,89,20,1,0,3,0,1,0,0,0,1,0,0,0,3,1,0,124,0,9,5,259
Sfax2,Esskhira,24010401601,م إبتدائية بوسعيد - الصخيرة  مكتب 1,1,0,0,2,1,2,48,19,0,1,7,0,7,0,0,1,1,0,1,0,1,1,0,84,0,10,30,217
Sfax2,Esskhira,24010401701,م إبتدائية حمادة فندق الشيباني - الصخيرة  مكتب 1,0,0,0,1,0,1,57,13,0,0,2,0,2,0,0,0,1,1,0,0,1,0,1,59,0,8,0,147
Sfax2,Esskhira,24010401801,م إبتدائية وادي النخلة - الصخيرة  مكتب 1,0,0,2,0,1,0,59,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,43,1,7,0,120
Sfax2,Esskhira,24010401901,م إبتدائية البشير المهذبي - الصخيرة  مكتب 1,0,1,0,2,3,1,77,18,0,0,10,2,2,0,1,0,0,0,0,0,2,0,0,120,0,35,14,288
Sfax2,Esskhira,24010402001,م إبتدائية الحمادة سيدي مهذب - الصخيرة  مكتب 1,0,1,0,1,0,0,91,17,2,0,3,0,2,1,0,0,1,0,1,0,2,0,0,111,1,7,17,258
Sfax2,Esskhira,24010402101,م إبتدائية الخوي - الصخيرة  مكتب 1,0,0,0,1,0,1,45,16,0,1,0,0,8,1,0,0,1,0,2,0,2,0,0,76,2,0,1,157
Sfax2,Esskhira,24010502201,م إبتدائية القنيطرة  مكتب 1,0,0,0,0,1,2,56,3,1,1,0,0,5,0,1,1,5,0,0,0,1,0,0,199,0,10,8,294
Sfax2,Esskhira,24010502202,م إبتدائية القنيطرة  مكتب 2,0,0,0,0,0,0,37,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,207,0,3,1,253
Sfax2,Esskhira,24010502301,م إبتدائية الجروالة الصخيرة - القنيطرة  مكتب 1,0,0,1,1,0,2,40,1,0,0,4,1,1,0,0,1,0,1,0,0,1,1,0,215,0,8,1,279
Sfax2,Esskhira,24010502401,م إبتدائية هنشير القصير - القنيطرة  مكتب 1,0,0,0,0,0,1,52,3,0,0,3,0,1,2,1,0,0,1,0,0,1,0,2,36,0,1,5,109
Sfax2,Esskhira,24010502501,م إبتدائية الساطور - القنيطرة  مكتب 1,0,0,1,1,0,0,33,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,126,0,7,2,174
Sfax2,Esskhira,24010602601,م إبتدائية سيدي محمد نويقص - سيدي محمد  مكتب 1,0,0,1,0,0,5,99,5,1,0,2,0,2,1,0,1,1,0,0,0,7,0,0,136,1,77,3,342
Sfax2,Esskhira,24010602701,م إبتدائية المغذية1 - سيدي محمد  مكتب 1,0,0,1,0,0,6,77,5,0,0,0,0,1,0,0,3,0,1,1,1,0,0,0,50,0,104,15,265
Sfax2,Esskhira,24010602801,م إبتدائية الشوكات - سيدي محمد  مكتب 1,1,0,0,1,0,1,34,6,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,104,1,10,5,167
