circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax2,Ghraiba,24020103301,م إبتدائية نفيضة العجل - الغريبة  مكتب 1,1,2,1,2,0,1,61,6,1,0,4,1,1,1,2,6,4,3,0,2,3,1,0,91,1,24,1,220
Sfax2,Ghraiba,24020103302,م إبتدائية نفيضة العجل - الغريبة  مكتب 2,0,0,1,0,1,1,35,11,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,92,0,12,3,162
Sfax2,Ghraiba,24020103401,م إبتدائية الربطة - الغريبة  مكتب 1,0,0,0,3,0,1,54,1,0,0,1,0,4,0,1,3,1,1,0,0,1,2,0,77,0,20,3,173
Sfax2,Ghraiba,24020103402,م إبتدائية الربطة - الغريبة  مكتب 2,0,0,0,0,0,0,31,8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,73,0,14,1,130
Sfax2,Ghraiba,24020203501,م إبتدائية الغريبة - المنار  مكتب 1,3,0,2,6,2,4,130,4,1,2,7,2,7,2,1,3,3,4,2,0,10,0,2,126,1,69,9,402
Sfax2,Ghraiba,24020203502,م إبتدائية الغريبة - المنار  مكتب 2,0,0,5,0,0,2,101,8,0,1,3,0,6,0,0,1,3,0,0,0,0,0,0,188,0,51,5,374
Sfax2,Ghraiba,24020203503,م إبتدائية الغريبة - المنار  مكتب 3,0,0,1,0,0,2,58,9,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,134,0,19,3,231
Sfax2,Ghraiba,24020203601,م إبتدائية قرعة السمارة - المنار  مكتب 1,0,0,1,2,0,1,40,11,0,0,0,0,2,2,1,1,0,0,0,0,2,0,0,82,1,18,4,168
Sfax2,Ghraiba,24020203701,م إبتدائية أولاد الكيلاني - المنار  مكتب 1,0,0,2,2,1,1,112,2,1,0,4,2,7,0,1,5,0,0,1,0,1,0,0,84,0,41,13,280
Sfax2,Ghraiba,24020303801,م إبتدائية الحشيشينة - الحشيشينة الجنوبية  مكتب 1,0,1,0,2,1,4,78,1,1,0,5,0,3,1,0,3,0,0,1,0,6,0,0,56,0,41,4,208
Sfax2,Ghraiba,24020303802,م إبتدائية الحشيشينة - الحشيشينة الجنوبية  مكتب 2,0,0,1,0,1,1,39,10,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,58,0,13,5,133
Sfax2,Ghraiba,24020303901,م إبتدائية فائض العتيل - الحشيشينة الجنوبية  مكتب 1,0,1,1,1,1,0,94,26,0,0,3,0,2,0,0,0,0,1,0,0,2,0,1,120,1,31,7,292
Sfax2,Ghraiba,24020304001,م إبتدائية الخوالة - الحشيشينة الجنوبية  مكتب 1,0,1,1,1,2,1,48,14,0,0,1,0,0,0,0,2,0,0,0,0,4,1,0,54,0,25,3,158
Sfax2,Ghraiba,24020404101,م إبتدائية السودان - الحشيشينة الشمالية  مكتب 1,0,1,0,0,0,1,14,1,0,1,3,0,0,3,0,2,0,1,1,0,2,2,0,123,0,21,3,179
Sfax2,Ghraiba,24020404201,م إبتدائية الحمام - الحشيشينة الشمالية  مكتب 1,0,1,2,0,1,1,40,6,0,1,1,1,4,1,0,0,2,0,0,0,2,0,0,79,1,21,12,176
Sfax2,Ghraiba,24020504301,م إبتدائية الشعال  مكتب 1,1,0,0,1,1,2,142,27,2,0,2,1,3,0,0,5,3,0,1,0,3,0,1,64,0,25,11,295
