circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax2,SfaxOuest,24050108301,م إبتدائية حي السرور - مركز شاكر  مكتب 1,1,1,4,1,0,2,251,8,0,1,2,0,5,1,0,16,0,0,0,3,5,0,1,106,0,13,28,449
Sfax2,SfaxOuest,24050108302,م إبتدائية حي السرور - مركز شاكر  مكتب 2,0,0,3,5,0,1,172,5,0,0,4,1,12,1,0,14,0,1,1,0,2,0,1,126,0,14,32,395
Sfax2,SfaxOuest,24050108303,م إبتدائية حي السرور - مركز شاكر  مكتب 3,2,0,3,0,0,2,182,8,0,0,1,0,6,0,1,11,0,0,0,0,0,0,2,186,0,18,46,468
Sfax2,SfaxOuest,24050108304,م إبتدائية حي السرور - مركز شاكر  مكتب 4,0,0,1,0,0,1,187,7,1,0,2,0,3,1,0,13,0,0,0,0,1,1,3,143,0,26,34,424
Sfax2,SfaxOuest,24050108305,م إبتدائية حي السرور - مركز شاكر  مكتب 5,1,0,1,1,0,0,134,11,0,0,5,0,6,0,0,11,0,0,0,3,2,0,1,158,0,36,40,410
Sfax2,SfaxOuest,24050108306,م إبتدائية حي السرور - مركز شاكر  مكتب 6,0,1,1,4,0,1,152,4,0,1,0,0,3,0,0,9,0,0,0,0,1,0,4,140,1,14,39,375
Sfax2,SfaxOuest,24050108307,م إبتدائية حي السرور - مركز شاكر  مكتب 7,0,0,4,1,0,1,121,10,0,1,1,1,4,0,0,10,0,0,0,0,1,0,0,142,0,8,73,378
Sfax2,SfaxOuest,24050108401,م إبتدائية الإسعاد - مركز شاكر  مكتب 1,0,0,9,0,1,3,257,7,0,0,1,0,12,0,0,13,0,1,2,0,6,0,0,108,0,9,28,457
Sfax2,SfaxOuest,24050108402,م إبتدائية الإسعاد - مركز شاكر  مكتب 2,1,0,2,1,0,0,216,7,0,0,2,1,4,3,0,11,0,0,1,0,2,0,0,129,0,12,37,429
Sfax2,SfaxOuest,24050108403,م إبتدائية الإسعاد - مركز شاكر  مكتب 3,0,0,8,0,0,0,188,6,0,0,2,0,5,0,0,9,0,0,0,0,4,0,1,175,0,16,51,465
Sfax2,SfaxOuest,24050108404,م إبتدائية الإسعاد - مركز شاكر  مكتب 4,0,1,6,2,0,0,178,10,0,0,3,1,3,0,0,8,2,0,0,0,3,0,1,184,0,18,39,459
Sfax2,SfaxOuest,24050108405,م إبتدائية الإسعاد - مركز شاكر  مكتب 5,0,0,4,5,1,1,126,12,0,1,4,0,5,0,0,6,0,0,1,0,0,0,1,176,0,32,44,419
Sfax2,SfaxOuest,24050108406,م إبتدائية الإسعاد - مركز شاكر  مكتب 6,0,0,3,0,0,0,133,14,0,0,4,0,6,0,0,11,0,0,1,0,0,0,3,165,0,8,51,399
Sfax2,SfaxOuest,24050108407,م إبتدائية الإسعاد - مركز شاكر  مكتب 7,0,0,5,3,0,0,114,20,0,1,0,1,4,0,0,4,1,0,0,0,1,0,1,151,0,11,88,405
Sfax2,SfaxOuest,24050108501,م إبتدائية التحرير طريق العين - مركز شاكر  مكتب 1,2,0,2,4,0,3,175,8,0,0,5,0,7,2,0,13,0,0,1,2,7,0,1,162,0,12,28,434
Sfax2,SfaxOuest,24050108502,م إبتدائية التحرير طريق العين - مركز شاكر  مكتب 2,2,0,3,1,0,1,168,8,0,0,0,0,1,0,0,13,0,0,0,1,4,1,3,170,1,7,42,426
