circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax2,SfaxSud,24040105901,م إبتدائية مركز علولو - العين  مكتب 1,0,1,2,1,1,1,130,2,0,0,1,2,9,2,0,21,0,1,0,1,4,2,0,201,1,18,37,438
Sfax2,SfaxSud,24040105902,م إبتدائية مركز علولو - العين  مكتب 2,0,0,2,2,0,0,121,5,0,0,1,0,6,1,0,7,1,0,0,2,2,0,1,264,0,20,44,479
Sfax2,SfaxSud,24040105903,م إبتدائية مركز علولو - العين  مكتب 3,0,0,3,3,0,0,118,4,0,0,2,0,9,2,0,15,0,0,0,2,3,0,1,262,0,13,40,477
Sfax2,SfaxSud,24040105904,م إبتدائية مركز علولو - العين  مكتب 4,0,0,4,1,0,0,81,5,0,1,2,0,0,0,0,14,0,0,1,2,4,0,1,240,0,19,41,416
Sfax2,SfaxSud,24040105905,م إبتدائية مركز علولو - العين  مكتب 5,0,0,3,0,0,0,83,13,0,0,3,0,3,0,0,16,0,0,0,1,2,0,0,201,1,11,74,411
Sfax2,SfaxSud,24040106001,م إبتدائية مركز القصاص - العين  مكتب 1,0,0,1,1,0,1,174,3,0,0,5,0,9,2,0,20,1,0,0,1,7,0,0,198,0,10,18,451
Sfax2,SfaxSud,24040106002,م إبتدائية مركز القصاص - العين  مكتب 2,0,0,0,1,0,1,161,5,0,1,0,0,10,1,0,18,1,0,0,0,4,1,0,194,1,4,30,433
Sfax2,SfaxSud,24040106003,م إبتدائية مركز القصاص - العين  مكتب 3,0,0,2,0,0,1,127,4,0,0,2,0,9,1,1,13,1,0,0,2,3,0,0,265,0,8,31,470
Sfax2,SfaxSud,24040106004,م إبتدائية مركز القصاص - العين  مكتب 4,0,0,2,3,0,0,109,3,0,1,1,0,5,0,0,27,0,0,0,0,2,0,0,277,0,9,35,474
Sfax2,SfaxSud,24040106005,م إبتدائية مركز القصاص - العين  مكتب 5,1,0,6,2,0,1,141,8,0,0,1,0,8,0,0,21,0,0,0,0,3,0,0,214,0,8,31,445
Sfax2,SfaxSud,24040106006,م إبتدائية مركز القصاص - العين  مكتب 6,0,0,0,5,0,0,126,11,0,0,1,0,8,0,0,16,0,0,0,1,1,0,0,200,0,8,44,421
Sfax2,SfaxSud,24040106007,م إبتدائية مركز القصاص - العين  مكتب 7,0,0,7,1,0,0,94,10,0,0,1,0,5,1,0,13,0,0,0,0,3,0,0,223,1,4,62,425
Sfax2,SfaxSud,24040106101,م إبتدائية مركز معلى - العين  مكتب 1,1,0,2,2,1,0,170,2,0,1,3,1,6,2,0,28,0,0,1,2,0,1,1,155,1,10,25,415
Sfax2,SfaxSud,24040106102,م إبتدائية مركز معلى - العين  مكتب 2,1,0,5,2,0,0,147,5,0,0,1,0,5,1,0,15,0,1,1,1,2,1,1,185,0,12,28,414
Sfax2,SfaxSud,24040106103,م إبتدائية مركز معلى - العين  مكتب 3,0,0,5,1,0,1,140,6,0,0,2,0,9,1,0,20,0,0,0,0,6,0,2,205,0,13,23,434
Sfax2,SfaxSud,24040106104,م إبتدائية مركز معلى - العين  مكتب 4,0,0,2,3,0,0,106,6,0,0,3,0,3,0,0,11,1,0,0,0,1,0,1,211,1,21,38,408
Sfax2,SfaxSud,24040106105,م إبتدائية مركز معلى - العين  مكتب 5,0,0,4,1,0,0,121,2,0,0,1,0,7,0,0,22,0,0,0,0,0,0,1,183,0,9,42,393
Sfax2,SfaxSud,24040106106,م إبتدائية مركز معلى - العين  مكتب 6,0,0,7,1,0,0,76,12,0,1,1,0,4,0,0,18,0,0,0,1,0,0,0,192,0,8,66,387
Sfax2,SfaxSud,24040106201,م إبتدائية صالح واردة مركز الخراط - العين  مكتب 1,0,3,1,2,2,3,168,5,3,1,6,1,3,0,2,8,1,4,0,2,3,0,0,153,0,21,14,406
Sfax2,SfaxSud,24040106202,م إبتدائية صالح واردة مركز الخراط - العين  مكتب 2,0,0,2,3,0,1,140,1,0,0,2,1,2,0,0,7,0,2,0,1,1,0,1,208,1,33,23,429
Sfax2,SfaxSud,24040106203,م إبتدائية صالح واردة مركز الخراط - العين  مكتب 3,0,0,3,0,0,1,110,4,0,1,0,0,3,1,0,10,0,0,0,0,0,0,1,182,2,33,15,366
Sfax2,SfaxSud,24040106204,م إبتدائية صالح واردة مركز الخراط - العين  مكتب 4,0,0,3,0,0,1,97,9,0,0,1,0,0,0,0,8,0,0,1,0,0,1,0,186,0,12,33,352
Sfax2,SfaxSud,24040106301,م إبتدائية  14 جانفي العين   مكتب 1,1,0,0,2,0,0,102,3,0,0,3,1,1,1,0,8,0,0,1,1,2,1,2,195,0,10,21,355
Sfax2,SfaxSud,24040106302,م إبتدائية  14 جانفي العين   مكتب 2,0,0,4,0,0,0,57,6,0,0,2,0,4,0,0,15,1,0,0,2,3,0,0,208,0,7,25,334
