circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax2,SfaxVille,24060110101,م إبتدائية ساحة القصبة - المدينة  مكتب 1,0,0,1,3,1,1,207,5,0,1,2,1,4,2,0,8,0,0,0,1,1,2,2,115,0,6,27,390
Sfax2,SfaxVille,24060110102,م إبتدائية ساحة القصبة - المدينة  مكتب 2,0,0,4,3,0,1,182,8,0,0,2,0,3,0,1,10,0,0,0,0,2,0,1,151,1,6,25,400
Sfax2,SfaxVille,24060110103,م إبتدائية ساحة القصبة - المدينة  مكتب 3,0,0,2,1,1,0,141,9,0,0,0,0,5,0,0,8,0,1,0,0,1,1,0,191,0,21,29,411
Sfax2,SfaxVille,24060110104,م إبتدائية ساحة القصبة - المدينة  مكتب 4,1,0,0,2,0,0,135,4,0,0,1,0,5,0,0,6,0,0,0,0,1,0,0,164,0,23,33,375
Sfax2,SfaxVille,24060110105,م إبتدائية ساحة القصبة - المدينة  مكتب 5,0,0,2,0,0,0,114,16,0,1,0,0,0,0,0,4,1,0,0,0,2,0,1,125,0,16,35,317
Sfax2,SfaxVille,24060110106,م إبتدائية ساحة القصبة - المدينة  مكتب 6,0,0,2,1,0,0,91,11,0,0,3,0,2,0,1,7,0,0,0,0,1,0,1,92,0,10,46,268
Sfax2,SfaxVille,24060210201,م إبتدائية  2مارس 34صفاقس - باب البحر  مكتب 1,0,0,3,5,0,1,290,4,0,0,1,0,2,1,0,5,1,0,0,0,1,0,2,52,0,6,40,414
Sfax2,SfaxVille,24060210202,م إبتدائية  2مارس 34صفاقس - باب البحر  مكتب 2,0,0,1,4,0,1,249,6,0,0,1,0,2,0,1,12,0,0,1,0,0,0,1,98,0,7,51,435
Sfax2,SfaxVille,24060210203,م إبتدائية  2مارس 34صفاقس - باب البحر  مكتب 3,0,0,6,6,0,0,209,9,0,0,2,0,5,0,0,8,0,0,0,0,0,0,1,85,0,8,60,399
Sfax2,SfaxVille,24060210204,م إبتدائية  2مارس 34صفاقس - باب البحر  مكتب 4,0,0,1,3,0,0,202,8,0,1,2,0,5,0,0,9,1,0,0,0,0,0,2,115,0,3,40,392
Sfax2,SfaxVille,24060210205,م إبتدائية  2مارس 34صفاقس - باب البحر  مكتب 5,1,0,1,1,0,0,112,11,0,0,2,0,3,0,0,6,0,0,0,0,1,0,1,95,0,20,45,299
Sfax2,SfaxVille,24060210206,م إبتدائية  2مارس 34صفاقس - باب البحر  مكتب 6,0,0,1,2,0,0,153,7,0,1,3,0,4,0,0,5,0,0,0,0,0,0,1,94,0,6,68,345
Sfax2,SfaxVille,24060210207,م إبتدائية  2مارس 34صفاقس - باب البحر  مكتب 7,0,0,4,0,1,0,112,13,0,0,2,0,3,0,0,8,0,0,0,0,0,0,3,61,0,9,61,277
Sfax2,SfaxVille,24060310301,م إبتدائية محمد بالي شارع الجزائر - الحي الخيري  مكتب 1,0,1,6,2,0,1,279,5,0,0,2,0,7,0,0,9,0,1,0,1,1,0,0,64,1,3,55,438
Sfax2,SfaxVille,24060310302,م إبتدائية محمد بالي شارع الجزائر - الحي الخيري  مكتب 2,0,0,5,1,0,2,241,8,0,0,3,0,3,1,1,9,0,0,0,0,1,0,5,109,0,11,53,453
