circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax2,Tina,24070112201,م إبتدائية عين فلات - طينة  مكتب 1,0,1,1,4,1,2,169,3,0,2,1,1,3,0,1,8,1,3,2,1,1,1,5,129,0,31,20,391
Sfax2,Tina,24070112202,م إبتدائية عين فلات - طينة  مكتب 2,0,0,2,1,0,2,158,8,0,0,6,0,4,0,0,10,0,0,0,0,3,0,2,178,2,19,37,432
Sfax2,Tina,24070112203,م إبتدائية عين فلات - طينة  مكتب 3,0,0,4,2,1,1,144,12,0,0,2,0,0,1,0,10,1,0,0,0,1,1,3,168,0,52,29,432
Sfax2,Tina,24070112204,م إبتدائية عين فلات - طينة  مكتب 4,0,0,1,0,1,2,113,10,0,1,8,0,4,0,0,8,2,0,0,1,0,0,2,152,0,46,33,384
Sfax2,Tina,24070112205,م إبتدائية عين فلات - طينة  مكتب 5,0,0,3,1,0,0,115,11,0,0,1,0,5,0,0,4,2,0,1,2,2,0,2,166,1,17,35,368
Sfax2,Tina,24070112206,م إبتدائية عين فلات - طينة  مكتب 6,0,0,3,1,0,0,86,22,0,0,2,0,1,0,0,4,0,0,0,0,0,1,0,157,2,13,61,353
Sfax2,Tina,24070112301,م إبتدائية سيدي سالم - طينة  مكتب 1,0,0,3,4,2,1,129,3,1,1,8,1,8,2,2,5,1,1,0,0,2,0,1,66,1,34,15,291
Sfax2,Tina,24070112302,م إبتدائية سيدي سالم - طينة  مكتب 2,0,0,1,3,1,1,110,9,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,76,0,34,27,269
Sfax2,Tina,24070112303,م إبتدائية سيدي سالم - طينة  مكتب 3,0,0,2,1,0,0,73,4,0,0,6,0,2,0,0,3,0,0,0,1,0,0,0,58,0,26,21,197
Sfax2,Tina,24070112401,م إبتدائية حي المعز - طينة  مكتب 1,1,0,5,2,1,3,191,11,0,0,2,0,4,0,2,6,2,0,2,2,4,1,1,155,1,26,44,466
Sfax2,Tina,24070112402,م إبتدائية حي المعز - طينة  مكتب 2,1,0,4,1,1,0,177,9,0,0,2,0,1,0,0,7,1,0,0,0,1,1,1,169,0,35,44,455
Sfax2,Tina,24070112403,م إبتدائية حي المعز - طينة  مكتب 3,0,0,1,2,1,2,155,9,0,1,3,0,3,0,0,8,0,0,1,1,0,0,1,162,0,64,41,455
Sfax2,Tina,24070112404,م إبتدائية حي المعز - طينة  مكتب 4,0,0,3,3,0,0,123,16,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,112,0,95,25,382
Sfax2,Tina,24070112405,م إبتدائية حي المعز - طينة  مكتب 5,0,0,1,1,0,0,115,24,0,0,1,0,1,0,0,3,0,0,0,0,0,0,2,131,0,29,26,334
Sfax2,Tina,24070112406,م إبتدائية حي المعز - طينة  مكتب 6,0,0,8,3,0,1,101,26,0,0,1,0,2,0,0,4,0,0,0,0,0,1,0,137,0,33,58,375
Sfax2,Tina,24070112501,م إبتدائية ابوالقاسم الشابي - طينة  مكتب 1,1,0,1,1,0,1,160,6,0,1,1,1,5,2,1,6,2,1,0,0,3,0,0,119,1,29,27,369
Sfax2,Tina,24070112502,م إبتدائية ابوالقاسم الشابي - طينة  مكتب 2,1,1,2,2,1,3,110,7,1,0,3,0,1,1,0,1,1,0,1,0,1,0,6,109,0,129,27,408
Sfax2,Tina,24070112503,م إبتدائية ابوالقاسم الشابي - طينة  مكتب 3,0,0,1,0,0,0,88,10,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,100,1,136,26,366
Sfax2,Tina,24070112504,م إبتدائية ابوالقاسم الشابي - طينة  مكتب 4,0,0,1,0,0,0,82,14,0,0,0,0,1,0,0,2,1,0,0,0,1,0,3,107,1,49,43,305
Sfax2,Tina,24070112505,م إبتدائية ابوالقاسم الشابي - طينة  مكتب 5,1,0,1,0,0,1,70,19,2,0,4,1,1,0,0,1,0,0,0,1,0,0,3,99,0,40,46,290
Sfax2,Tina,24070112601,م إبتدائية حي طينة 2  مكتب 1,1,0,0,0,2,1,120,7,0,0,1,0,0,1,1,5,0,0,0,0,0,1,4,109,0,77,36,366
Sfax2,Tina,24070112602,م إبتدائية حي طينة 2  مكتب 2,0,0,0,0,0,1,63,6,0,0,3,1,2,0,0,2,1,0,0,0,0,0,2,113,0,116,41,351
Sfax2,Tina,24070112603,م إبتدائية حي طينة 2  مكتب 3,0,0,5,0,2,0,62,15,1,0,1,0,3,0,0,3,0,0,0,0,0,0,1,111,0,41,43,288
Sfax2,Tina,24070212701,م إبتدائية ابن الجزار - سيدي عبيد  مكتب 1,0,0,3,4,0,2,137,7,1,0,3,1,4,4,1,3,2,1,0,0,8,0,0,97,1,41,17,337
Sfax2,Tina,24070212702,م إبتدائية ابن الجزار - سيدي عبيد  مكتب 2,0,0,0,0,1,4,114,4,0,0,3,0,4,0,1,2,0,2,3,0,2,1,4,101,0,99,17,362
Sfax2,Tina,24070212703,م إبتدائية ابن الجزار - سيدي عبيد  مكتب 3,0,0,2,1,1,0,91,4,0,0,0,0,1,0,0,6,1,0,0,0,1,0,1,131,0,73,31,344
Sfax2,Tina,24070212704,م إبتدائية ابن الجزار - سيدي عبيد  مكتب 4,0,0,2,3,0,1,71,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,100,0,61,26,280
Sfax2,Tina,24070212705,م إبتدائية ابن الجزار - سيدي عبيد  مكتب 5,0,0,1,0,0,0,73,18,0,0,2,0,0,0,0,2,1,0,0,0,0,0,3,110,1,43,29,283
Sfax2,Tina,24070212801,م إبتدائية ابن سينا - سيدي عبيد  مكتب 1,0,0,0,4,2,7,127,8,0,0,1,0,3,0,0,5,1,0,0,0,2,0,3,87,1,62,14,327
Sfax2,Tina,24070212802,م إبتدائية ابن سينا - سيدي عبيد  مكتب 2,0,0,0,1,0,2,74,10,0,0,2,0,3,0,0,3,1,1,1,0,4,0,1,75,1,112,29,320
Sfax2,Tina,24070212803,م إبتدائية ابن سينا - سيدي عبيد  مكتب 3,0,0,0,0,0,3,64,15,0,0,1,0,0,0,0,2,2,0,0,0,2,0,1,83,0,52,23,248
Sfax2,Tina,24070312901,م إبتدائية الحاجب   مكتب 1,0,1,4,4,1,2,128,4,2,2,1,1,3,0,1,4,0,1,2,0,6,0,2,117,1,41,30,358
Sfax2,Tina,24070312902,م إبتدائية الحاجب   مكتب 2,1,0,3,1,1,2,111,8,2,2,1,0,1,0,0,2,1,0,1,0,1,1,1,118,1,82,25,366
Sfax2,Tina,24070312903,م إبتدائية الحاجب   مكتب 3,1,0,3,1,0,3,99,2,0,0,0,0,3,1,0,4,1,0,0,0,0,0,1,173,0,48,25,365
Sfax2,Tina,24070312904,م إبتدائية الحاجب   مكتب 4,1,0,0,0,0,2,83,7,0,0,2,0,1,0,0,2,1,0,0,1,1,0,0,114,0,65,20,300
Sfax2,Tina,24070312905,م إبتدائية الحاجب   مكتب 5,0,0,4,2,0,0,65,14,0,0,2,0,2,0,0,1,0,0,0,1,1,0,2,134,0,26,34,288
Sfax2,Tina,24070313001,م إبتدائية  14 جانفي الحاجب   مكتب 1,0,0,2,2,1,1,57,5,0,0,3,0,4,0,1,0,0,0,0,0,0,0,1,125,0,48,8,258
Sfax2,Tina,24070313101,م إبتدائية ط.المحارزة كلم5 - الحاجب  مكتب 1,1,0,2,2,2,1,129,9,2,1,2,0,5,0,0,2,2,1,1,3,2,0,0,105,0,49,31,352
Sfax2,Tina,24070313102,م إبتدائية ط.المحارزة كلم5 - الحاجب  مكتب 2,0,0,2,1,0,3,72,10,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,97,0,111,26,326
Sfax2,Tina,24070313103,م إبتدائية ط.المحارزة كلم5 - الحاجب  مكتب 3,0,0,2,1,0,0,57,13,0,0,2,0,1,0,1,1,0,0,0,0,0,1,1,116,0,60,29,285
Sfax2,Tina,24070313201,م إبتدائية حي الخضـراء - الحاجب  مكتب 1,0,0,1,3,0,2,119,5,1,1,0,0,2,0,0,4,4,1,1,1,1,1,5,147,0,51,13,363
Sfax2,Tina,24070313202,م إبتدائية حي الخضـراء - الحاجب  مكتب 2,0,1,2,2,0,5,102,3,0,0,3,0,3,1,1,5,1,1,0,0,2,0,8,116,1,81,15,353
Sfax2,Tina,24070313203,م إبتدائية حي الخضـراء - الحاجب  مكتب 3,1,0,2,1,0,1,72,10,0,0,3,0,1,1,0,5,0,0,1,0,1,0,0,97,0,83,12,291
Sfax2,Tina,24070313204,م إبتدائية حي الخضـراء - الحاجب  مكتب 4,0,0,2,4,0,0,59,13,0,0,0,0,3,0,0,5,3,0,0,0,0,0,2,122,0,44,23,280
