#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
16050111501,م إبتدائية بئر الحفي  مكتب 1,0,1,0,2,0,9,166,3,1,0,2,2,1,3,0,0,1,0,0,1,4,0,2,21,2,92,12,325.0
16050111502,م إبتدائية بئر الحفي  مكتب 2,1,0,1,1,0,4,131,7,1,0,2,0,0,0,0,1,0,0,1,1,0,0,1,30,0,139,22,343.0
16050111503,م إبتدائية بئر الحفي  مكتب 3,0,0,1,0,0,3,83,7,0,0,4,2,0,0,0,2,0,0,0,0,0,0,1,32,0,112,9,256.0
16050111504,م إبتدائية بئر الحفي  مكتب 4,0,0,1,0,0,1,47,6,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,20,0,131,14,223.0
16050111601,م إبتدائية  2مارس 34 - بئر الحفي  مكتب 1,2,0,0,1,0,3,40,4,1,1,3,1,0,0,0,0,0,0,1,0,4,0,0,26,1,88,3,179.0
16050111701,م إبتدائية  20مارس56 - بئر الحفي  مكتب 1,1,0,0,0,1,5,53,3,2,1,2,1,2,1,0,4,0,0,2,1,1,0,2,9,1,132,6,230.0
16050111702,م إبتدائية  20مارس56 - بئر الحفي  مكتب 2,0,0,0,0,0,2,39,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,28,0,120,14,210.0
16050111703,م إبتدائية  20مارس56 - بئر الحفي  مكتب 3,0,0,0,1,0,0,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,96,9,167.0
16050111801,م إبتدائية بئر الحفي 2  مكتب 1,1,0,0,1,1,4,115,1,1,1,2,0,6,0,1,2,2,1,2,0,3,0,0,19,1,125,11,300.0
16050111802,م إبتدائية بئر الحفي 2  مكتب 2,1,0,0,1,2,8,106,2,2,0,0,2,0,0,0,0,2,0,1,0,0,0,1,38,2,153,25,346.0
16050111803,م إبتدائية بئر الحفي 2  مكتب 3,0,0,0,0,0,1,53,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,30,0,149,19,259.0
16050111804,م إبتدائية بئر الحفي 2  مكتب 4,0,0,0,1,0,0,48,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,116,13,210.0
16050111901,م إبتدائية الدشرة - بئر الحفي  مكتب 1,0,0,0,0,0,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,4,43.0
16050212001,م إبتدائية أولاد خليفة - المحمدية  مكتب 1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17,0,22.0
16050312101,م إبتدائية النوايل - القصر  مكتب 1,1,0,1,1,0,3,52,5,4,0,0,1,0,0,1,1,0,0,0,0,0,1,0,10,0,126,4,211.0
16050312201,م إبتدائية أولاد بوعزيز - القصر  مكتب 1,0,0,0,0,2,8,17,2,1,0,0,0,0,1,0,1,1,0,0,0,1,0,2,7,1,168,3,215.0
16050312202,م إبتدائية أولاد بوعزيز - القصر  مكتب 2,1,0,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,122,2,139.0
16050412301,م إبتدائية العمامة - بئر عمامة  مكتب 1,0,0,0,0,0,4,39,4,3,0,3,1,1,0,1,0,0,0,0,1,1,0,2,9,1,143,0,213.0
16050412302,م إبتدائية العمامة - بئر عمامة  مكتب 2,0,0,0,0,0,1,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,87,3,131.0
16050412401,م إبتدائية هنشير القريعات - بئر عمامة  مكتب 1,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,0,55.0
16050412501,م إبتدائية الحماد - بئر عمامة  مكتب 1,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,36,0,51.0
16050512601,م إبتدائية النوايل الجديدة - المزارة  مكتب 1,0,0,0,0,1,4,24,2,1,0,1,0,0,0,0,1,1,0,2,0,1,0,1,6,0,152,7,204.0
16050512602,م إبتدائية النوايل الجديدة - المزارة  مكتب 2,0,0,0,0,0,2,8,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6,0,88,1,111.0
16050512701,م إبتدائية المزارة   مكتب 1,1,0,1,0,0,7,37,1,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,5,0,170,2,230.0
16050512702,م إبتدائية المزارة   مكتب 2,0,0,0,0,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,112,0,135.0
16050512801,م إبتدائية العضلة - المزارة  مكتب 1,0,0,0,0,0,3,36,0,1,1,3,0,0,0,0,0,1,1,0,0,1,0,0,25,0,99,5,176.0
16050512901,م إبتدائية النصائبية - المزارة  مكتب 1,3,0,0,0,1,3,27,2,0,0,0,0,1,1,0,0,1,0,3,1,1,0,0,6,1,175,6,232.0
16050613001,م إبتدائية السلامة   مكتب 1,2,1,0,1,0,1,63,6,1,0,0,0,1,2,0,0,5,1,0,1,0,1,1,31,1,116,12,247.0
16050613002,م إبتدائية السلامة   مكتب 2,0,0,0,0,1,0,19,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,60,10,112.0
16050613101,م إبتدائية النجاح - السلامة  مكتب 1,0,0,0,0,0,1,11,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,22,1,36,3,81.0
16050713201,م إبتدائية الخدمة - ورغة  مكتب 1,2,0,0,1,0,4,42,0,3,0,0,0,1,1,1,1,0,0,1,0,3,0,0,20,0,132,2,214.0
16050713202,م إبتدائية الخدمة - ورغة  مكتب 2,0,0,0,1,0,1,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,95,0,143.0
16050713301,م إبتدائية الأمل ورغة   مكتب 1,0,0,0,0,0,4,71,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8,0,92,1,178.0
16050713401,م إبتدائية القراوة 2 - ورغة  مكتب 1,0,1,0,1,0,4,14,1,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,7,0,60,1,96.0
16050813501,م إبتدائية الرابطة - رحال  مكتب 1,1,1,0,2,0,7,140,1,0,1,6,0,1,1,0,1,0,1,1,0,2,1,0,4,3,137,8,319.0
16050813502,م إبتدائية الرابطة - رحال  مكتب 2,0,0,0,0,0,0,78,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,129,5,219.0
16050813601,م إبتدائية أولاد زيدان بئر الحفي - رحال  مكتب 1,2,0,0,1,2,9,57,5,0,0,1,1,4,0,0,2,1,0,0,1,2,0,3,4,0,156,0,251.0
16050813701,م إبتدائية العهد الجديد - رحال  مكتب 1,0,0,0,1,0,7,65,2,1,0,1,0,1,1,0,1,1,0,1,0,2,1,0,3,1,111,9,209.0
16050813801,م إبتدائية الحفاصة - رحال  مكتب 1,0,0,0,1,0,4,99,0,0,1,0,1,2,0,0,0,0,1,0,1,2,0,0,15,0,139,2,268.0
16050913901,م إبتدائية العمامة الجديدة - بئر بوصبيع  مكتب 1,1,0,0,2,1,4,33,1,2,0,0,0,2,0,1,1,2,0,0,1,0,0,0,5,0,119,2,177.0
16050913902,م إبتدائية العمامة الجديدة - بئر بوصبيع  مكتب 2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,50,1,60.0
16050914001,م إبتدائية أولاد ساهل - بئر بوصبيع  مكتب 1,0,0,0,0,1,4,42,0,2,0,1,0,1,0,1,0,2,0,0,0,1,0,0,16,2,77,3,153.0
مجموع أصوات القائمة,21,4,5,20,15,134,1997,95,32,8,41,18,29,13,8,20,23,6,17,11,31,4,23,579,19,4517,253,7943,
