#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
16060114101,م إبتدائية الفنيدق - جلمة الشرقية  مكتب 1,1,0,0,0,2,6,52,1,1,1,1,1,1,0,2,2,2,0,0,0,2,1,3,15,0,109,1,204.0
16060114201,م إبتدائية الخضاورية - جلمة الشرقية  مكتب 1,0,0,0,1,0,4,7,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,6,1,141,1,168.0
16060114301,م إبتدائية بنجويد - جلمة الشرقية  مكتب 1,1,1,0,0,0,3,28,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,34,0,87,0,163.0
16060214401,م إبتدائية جلمة - جلمة الغربية  مكتب 1,1,1,0,2,3,3,100,8,1,0,1,0,2,2,1,1,0,1,2,1,0,0,11,65,3,108,36,353.0
16060214402,م إبتدائية جلمة - جلمة الغربية  مكتب 2,0,0,1,0,1,2,77,7,1,0,3,0,2,0,0,1,2,0,1,2,0,0,5,91,2,100,48,346.0
16060214403,م إبتدائية جلمة - جلمة الغربية  مكتب 3,0,0,2,0,1,2,65,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,61,1,96,47,287.0
16060214404,م إبتدائية جلمة - جلمة الغربية  مكتب 4,0,0,1,1,1,1,54,11,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,62,1,67,35,240.0
16060214405,م إبتدائية جلمة - جلمة الغربية  مكتب 5,0,0,1,1,0,1,40,19,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,51,0,79,28,228.0
16060214501,م إبتدائية جلمة الشمالية - جلمة الغربية  مكتب 1,3,0,0,0,2,6,49,6,0,2,2,0,1,1,1,2,1,2,1,1,1,1,13,33,1,105,33,267.0
16060214502,م إبتدائية جلمة الشمالية - جلمة الغربية  مكتب 2,0,0,0,1,1,5,44,15,1,2,0,0,1,0,0,1,0,0,1,1,0,0,4,63,0,103,47,290.0
16060214503,م إبتدائية جلمة الشمالية - جلمة الغربية  مكتب 3,0,0,0,0,1,3,33,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,40,0,81,37,204.0
16060214504,م إبتدائية جلمة الشمالية - جلمة الغربية  مكتب 4,0,0,0,0,0,0,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,65,31,173.0
16060214601,م إبتدائية غدير القايد - جلمة الغربية  مكتب 1,1,1,1,0,0,5,24,2,0,0,0,0,0,1,0,1,2,0,1,1,1,0,7,42,0,65,4,159.0
16060214701,م إبتدائية القور - جلمة الغربية  مكتب 1,0,0,0,0,2,4,22,6,1,0,1,0,1,0,0,2,0,0,1,0,1,0,3,15,0,42,17,118.0
16060214801,م إبتدائية  2مارس 34 جلمة - جلمة الغربية  مكتب 1,0,0,0,0,8,6,35,4,1,0,0,0,1,0,0,0,0,0,1,0,1,0,3,27,1,79,3,170.0
16060214901,م إبتدائية أولاد عبد الله - جلمة الغربية  مكتب 1,0,0,0,1,2,1,62,4,2,0,1,0,0,1,0,1,1,1,1,0,3,0,5,4,1,39,61,191.0
16060315001,م إبتدائية الأزيرق الشمالية - الإزيرق  مكتب 1,1,0,0,0,0,1,37,2,1,1,0,0,2,1,0,1,0,0,1,0,1,1,3,54,1,80,6,194.0
16060315101,م إبتدائية الأزريق الجنوبية - الإزيرق  مكتب 1,3,1,0,2,3,7,72,2,0,0,1,1,2,0,0,1,0,0,1,0,3,1,7,15,0,88,15,225.0
16060415201,م إبتدائية هنشير سلتة   مكتب 1,0,0,0,0,0,2,5,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,12,0,71,0,96.0
16060415301,م إبتدائية عين جفال - سلتة  مكتب 1,1,1,1,2,2,3,43,4,3,0,2,0,3,1,1,1,5,0,1,0,3,0,3,4,1,92,33,210.0
16060415401,م إبتدائية زغمار - سلتة  مكتب 1,2,0,0,1,1,7,20,0,0,0,1,0,0,1,0,1,2,0,0,0,1,1,7,32,0,87,3,167.0
16060415402,م إبتدائية زغمار - سلتة  مكتب 2,0,0,0,1,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,15,1,43.0
16060415501,م إبتدائية سلتة 2  مكتب 1,1,1,0,0,1,6,41,0,2,0,2,1,3,0,1,0,0,1,3,0,0,0,4,7,0,87,4,165.0
16060415601,م إبتدائية عين مدور - سلتة  مكتب 1,1,0,0,0,1,1,6,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,2,0,23,17,58.0
16060515701,م إبتدائية المحافظية  14 جانفي - زغمار  مكتب 1,1,2,0,0,1,1,10,3,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,46,5,75.0
16060615801,م إبتدائية قلال جلمة - غدير الزيتونة  مكتب 1,0,1,0,2,1,5,41,2,0,1,0,3,1,0,1,1,1,1,0,1,1,1,2,20,1,117,2,206.0
16060615802,م إبتدائية قلال جلمة - غدير الزيتونة  مكتب 2,0,0,0,0,1,1,10,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,11,0,77,1,105.0
16060615901,م إبتدائية غدير الزيتونة   مكتب 1,0,0,0,0,0,7,18,1,4,0,0,0,0,0,0,0,2,0,1,0,1,0,3,1,0,101,3,142.0
16060716001,م إبتدائية الدهيسة - باطن الغزال الجنوبية  مكتب 1,1,0,0,2,3,6,13,1,5,0,1,1,3,2,0,0,0,1,0,0,0,1,0,15,1,62,3,121.0
16060816101,م إبتدائية الحوية - باطن الغزال الشمالية  مكتب 1,3,0,0,1,0,9,61,0,1,1,2,3,3,1,0,2,3,2,3,0,6,0,1,25,2,60,2,191.0
16060816102,م إبتدائية الحوية - باطن الغزال الشمالية  مكتب 2,0,0,0,0,1,1,24,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,20,0,41,2,94.0
16060816201,م إبتدائية الانطلاقة - باطن الغزال الشمالية  مكتب 1,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,10,5,25.0
16060916301,م إبتدائية سيدي علي بن جاء بالله - الحمامة  مكتب 1,0,0,1,1,3,10,30,0,2,0,0,0,0,0,0,0,4,1,0,0,1,0,1,38,1,203,6,302.0
16060916302,م إبتدائية سيدي علي بن جاء بالله - الحمامة  مكتب 2,0,0,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,120,4,179.0
16060916401,م إبتدائية أولاد عاشور - الحمامة  مكتب 1,2,0,0,0,2,6,16,2,1,0,2,0,1,0,1,1,2,0,2,1,1,0,0,37,0,160,7,244.0
16060916501,م إبتدائية العريش - الحمامة  مكتب 1,1,1,0,1,1,5,25,0,2,0,2,0,0,0,0,1,1,0,2,0,0,0,0,13,2,145,4,206.0
16061016601,م إبتدائية الأبيض   مكتب 1,0,1,0,0,1,3,35,0,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,16,1,69,4,137.0
16061016701,م إبتدائية الحمروني - الأبيض  مكتب 1,1,0,0,0,1,7,62,1,2,0,0,0,0,0,1,2,2,2,0,1,0,0,2,17,1,151,5,258.0
16061016801,م إبتدائية الشوائحية - الأبيض  مكتب 1,0,1,0,1,2,5,19,3,1,3,0,0,0,0,0,1,2,0,1,3,1,1,0,22,0,69,6,141.0
16061016901,م إبتدائية النصر - الأبيض  مكتب 1,1,0,0,1,2,11,74,2,2,1,4,0,5,1,0,1,1,0,0,1,3,0,2,46,3,116,8,285.0
16061016902,م إبتدائية النصر - الأبيض  مكتب 2,2,0,2,0,1,2,45,3,1,0,3,0,2,0,0,0,0,0,1,0,1,0,3,40,1,91,6,204.0
16061017001,م إبتدائية العضلة - الأبيض  مكتب 1,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,0,17,2,34.0
مجموع أصوات القائمة,28,12,12,23,52,160,1463,142,43,13,42,10,42,14,15,28,37,12,30,15,39,8,111,1144,26,3564,583,7668,
