#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
16020105101,م إبتدائية المزونة   مكتب 1,1,0,0,2,0,9,163,3,3,0,3,0,4,0,0,4,0,1,1,0,3,0,0,27,1,91,17,333.0
16020105102,م إبتدائية المزونة   مكتب 2,0,0,0,0,0,0,142,6,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,64,0,89,28,336.0
16020105103,م إبتدائية المزونة   مكتب 3,0,0,2,0,0,0,100,13,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,46,0,80,35,280.0
16020105104,م إبتدائية المزونة   مكتب 4,0,0,0,0,0,0,69,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,46,0,58,30,220.0
16020105201,م إبتدائية الأمل مزونة  مكتب 1,1,0,0,2,1,1,167,13,1,0,5,1,3,0,0,0,1,1,0,0,2,1,1,52,0,116,10,379.0
16020105202,م إبتدائية الأمل مزونة  مكتب 2,0,0,1,0,0,3,91,12,0,0,3,1,1,0,0,0,0,0,0,0,2,0,0,57,0,88,22,281.0
16020105301,م إبتدائية حي النور - المزونة  مكتب 1,0,1,2,2,1,4,143,3,2,1,4,0,1,0,0,1,0,1,1,0,1,0,2,41,1,94,17,323.0
16020105302,م إبتدائية حي النور - المزونة  مكتب 2,0,0,1,1,1,2,110,4,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,52,0,117,21,314.0
16020105303,م إبتدائية حي النور - المزونة  مكتب 3,0,0,1,0,0,2,65,14,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,45,0,60,21,214.0
16020205401,م إبتدائية طلح المراقب - بوهدمة  مكتب 1,1,0,0,1,0,2,12,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,22,0,45.0
16020205501,م إبتدائية هداج - بوهدمة  مكتب 1,0,0,0,0,0,3,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,51,1,108.0
16020205601,م إبتدائية بوهدمة  مكتب 1,0,0,1,1,0,5,66,0,4,1,1,0,1,0,0,0,1,2,1,0,3,1,0,14,1,107,2,212.0
16020205602,م إبتدائية بوهدمة  مكتب 2,0,0,1,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,96,0,170.0
16020205701,م إبتدائية هداج2 - بوهدمة  مكتب 1,0,0,0,0,0,3,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,0,50.0
16020305801,م إبتدائية الغريس الشرقية - الغريس الشرقية  مكتب 1,0,0,0,1,0,1,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,77,4,108.0
16020305901,م إبتدائية الديايرية - الغريس الشرقية  مكتب 1,0,0,0,0,0,2,15,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,66,7,100.0
16020406001,م إبتدائية طلح الخبنة  مكتب 1,1,1,0,1,0,2,127,2,1,1,1,1,0,1,0,1,3,0,0,0,4,0,0,24,0,38,8,217.0
16020406101,م إبتدائية القوارص - الخبنة  مكتب 1,0,0,0,3,1,2,51,0,3,0,6,1,3,0,0,2,2,1,0,0,5,0,0,45,1,40,5,171.0
16020506201,م إبتدائية أولاد عمر - الدوارة  مكتب 1,0,0,0,9,0,4,149,5,0,0,3,1,1,2,0,2,2,1,0,1,3,0,1,29,0,140,13,366.0
16020506301,م إبتدائية واد الدم - الدوارة  مكتب 1,0,0,0,1,0,2,57,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,16,1,23,1,105.0
16020606401,م إبتدائية غدير الربايع - الخوي  مكتب 1,1,0,1,0,0,3,46,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,22,0,70,2,149.0
16020606501,م إبتدائية الفوني - الخوي  مكتب 1,0,0,0,0,1,1,19,3,1,0,2,1,2,0,0,0,1,1,3,0,0,1,0,43,1,58,5,143.0
16020606601,م إبتدائية هنشير الخيمة - الخوي  مكتب 1,0,0,0,0,1,6,46,3,3,1,1,0,0,0,0,1,3,0,0,0,1,0,0,41,0,88,10,205.0
16020606701,م إبتدائية العهد الجديد -أولاد دلالة - الخوي  مكتب 1,0,0,0,1,1,4,51,3,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,42,0,63,1,172.0
16020606702,م إبتدائية العهد الجديد -أولاد دلالة - الخوي  مكتب 2,0,0,0,0,0,0,32,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,0,45,0,130.0
16020606801,م إبتدائية 2 مارس 34 مزونة - الخوي  مكتب 1,1,0,0,0,0,4,11,6,0,0,0,1,1,1,0,0,1,0,1,0,2,0,0,22,1,65,0,117.0
