circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sidi_Bouzid,OuledHaffouz,16040109001,م إبتدائية مركز أولاد حفوز   مكتب 1,1,0,1,4,0,4,126,0,2,3,3,1,2,2,0,3,1,0,0,1,3,0,0,10,2,153,15,337
Sidi_Bouzid,OuledHaffouz,16040109002,م إبتدائية مركز أولاد حفوز   مكتب 2,0,0,2,0,0,5,97,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,18,0,162,15,310
Sidi_Bouzid,OuledHaffouz,16040109003,م إبتدائية مركز أولاد حفوز   مكتب 3,1,0,1,1,0,0,59,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,14,0,124,8,214
Sidi_Bouzid,OuledHaffouz,16040109101,م إبتدائية الفوز - أولاد حفوز  مكتب 1,0,0,0,0,1,4,8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,1,128,18,168
Sidi_Bouzid,OuledHaffouz,16040109201,م إبتدائية الأمل  - أولاد حفوز  مكتب 1,0,0,0,0,0,2,60,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,111,10,197
Sidi_Bouzid,OuledHaffouz,16040109301,م إبتدائية حي علي بن حمد - أولاد حفوز  مكتب 1,0,0,0,0,0,5,84,7,1,2,0,1,1,0,0,0,1,0,0,0,3,0,0,10,1,132,16,264
Sidi_Bouzid,OuledHaffouz,16040109302,م إبتدائية حي علي بن حمد - أولاد حفوز  مكتب 2,0,0,0,0,0,0,73,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,19,0,65,13,181
Sidi_Bouzid,OuledHaffouz,16040209401,م إبتدائية الذويبات - الذويبات الجنوبية  مكتب 1,0,0,0,1,3,1,66,0,1,1,1,1,1,0,1,1,0,0,1,0,3,0,0,5,0,94,5,186
Sidi_Bouzid,OuledHaffouz,16040209402,م إبتدائية الذويبات - الذويبات الجنوبية  مكتب 2,0,0,1,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,70,6,122
Sidi_Bouzid,OuledHaffouz,16040209501,م إبتدائية ابن سينا - الذويبات الجنوبية  مكتب 1,0,2,0,0,0,2,57,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,40,5,115
