circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sidi_Bouzid,Regueb,16010100101,م إبتدائية ابن منظور الرقاب  مكتب 1,0,0,0,0,2,3,98,3,5,0,2,1,1,0,0,2,1,0,0,2,1,1,0,61,0,195,19,397
Sidi_Bouzid,Regueb,16010100102,م إبتدائية ابن منظور الرقاب  مكتب 2,0,0,0,0,0,6,89,1,2,0,2,0,2,0,1,0,2,2,0,0,0,0,1,78,2,199,13,400
Sidi_Bouzid,Regueb,16010100103,م إبتدائية ابن منظور الرقاب  مكتب 3,0,0,1,1,1,4,63,4,0,0,3,0,1,0,0,1,1,0,0,0,2,0,0,92,0,216,44,434
Sidi_Bouzid,Regueb,16010100104,م إبتدائية ابن منظور الرقاب  مكتب 4,0,0,1,0,1,3,56,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,87,0,176,48,379
Sidi_Bouzid,Regueb,16010100105,م إبتدائية ابن منظور الرقاب  مكتب 5,0,0,0,0,0,3,43,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,70,0,186,25,334
Sidi_Bouzid,Regueb,16010100106,م إبتدائية ابن منظور الرقاب  مكتب 6,0,0,0,0,0,0,37,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,73,1,145,26,289
Sidi_Bouzid,Regueb,16010100107,م إبتدائية ابن منظور الرقاب  مكتب 7,0,0,0,0,0,0,27,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,72,0,133,36,280
Sidi_Bouzid,Regueb,16010100201,م إبتدائية ابن رشد الرقاب  مكتب 1,0,0,0,0,0,6,64,4,1,2,3,0,2,1,0,1,2,1,0,0,0,1,2,109,2,228,10,439
Sidi_Bouzid,Regueb,16010100202,م إبتدائية ابن رشد الرقاب  مكتب 2,0,0,1,0,1,5,41,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,110,0,201,21,386
Sidi_Bouzid,Regueb,16010100203,م إبتدائية ابن رشد الرقاب  مكتب 3,0,0,0,0,0,0,21,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,88,0,168,16,301
