#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
16090120701,م إبتدائية أولاد بدر - الأحواز  مكتب 1,0,0,0,0,0,5,21,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,31,1,237,4,305.0
16090120801,م إبتدائية الحسينات - الأحواز  مكتب 1,1,0,0,1,0,3,38,4,0,1,0,0,1,0,2,1,2,0,0,0,1,0,0,31,2,94,4,186.0
16090120802,م إبتدائية الحسينات - الأحواز  مكتب 2,0,0,0,0,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,87,1,138.0
16090120901,م إبتدائية الحي الفلاحي - الأحواز  مكتب 1,0,1,1,0,1,2,36,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19,1,148,1,219.0
16090121001,م إبتدائية الضيعة - الأحواز  مكتب 1,0,0,1,0,0,3,76,7,2,0,2,0,1,0,0,2,0,0,1,0,0,0,0,11,2,232,6,346.0
16090221101,م إبتدائية الحنية بازيد - قرع بنور  مكتب 1,2,0,0,0,0,4,36,5,0,0,2,0,5,0,0,0,0,1,1,0,0,0,1,7,0,123,3,190.0
16090221201,م إبتدائية العوافي - قرع بنور  مكتب 1,0,0,1,0,0,3,21,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,162,1,193.0
16090221301,م إبتدائية قرع بنور  مكتب 1,0,0,0,0,0,1,58,2,1,0,0,0,1,1,0,0,1,0,0,1,3,1,0,6,1,167,4,248.0
16090221401,م إبتدائية أولاد فرحان - قرع بنور  مكتب 1,0,1,0,0,0,4,21,0,0,1,0,0,3,0,0,1,2,1,0,1,0,0,2,4,0,112,1,154.0
16090221501,م إبتدائية المورد - قرع بنور  مكتب 1,1,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,42,2,66.0
16090321601,م إبتدائية فائض   مكتب 1,0,0,0,0,0,5,54,2,4,0,1,0,2,0,0,0,1,1,1,0,3,0,0,6,0,200,8,288.0
16090321602,م إبتدائية فائض   مكتب 2,0,0,0,0,0,2,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,171,2,220.0
16090321603,م إبتدائية فائض   مكتب 3,0,0,0,0,0,0,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,116,2,143.0
16090321701,م إبتدائية عقبة ابن نافع - فايض  مكتب 1,0,1,0,0,0,3,9,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,2,4,1,109,4,139.0
16090321702,م إبتدائية عقبة ابن نافع - فايض  مكتب 2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,49,2,59.0
16090421801,م إبتدائية أولاد بيــة - لسودة  مكتب 1,1,0,0,2,0,5,85,3,3,2,2,0,1,0,0,0,0,1,1,0,0,0,1,26,0,241,12,386.0
16090421802,م إبتدائية أولاد بيــة - لسودة  مكتب 2,0,0,0,1,1,4,45,9,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,36,0,241,11,352.0
16090421803,م إبتدائية أولاد بيــة - لسودة  مكتب 3,0,0,0,0,0,1,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,198,3,291.0
16090521901,م.الإبتدائية قطرانة الجنوبية- قطرانة  مكتب 1,0,0,1,0,0,2,27,0,1,0,2,0,0,0,0,1,1,0,3,0,0,0,1,9,1,162,3,214.0
16090521902,م.الإبتدائية قطرانة الجنوبية- قطرانة  مكتب 2,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,122,1,141.0
16090522001,م إبتدائية الذراع - العامرة  مكتب 1,0,0,0,0,1,5,44,1,0,0,0,0,0,0,2,1,2,1,0,0,2,0,0,10,0,176,1,246.0
16090522002,م إبتدائية الذراع - العامرة  مكتب 2,0,0,0,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,184,2,211.0
16090622101,م.الإبتدائية الهيشرية -  الهيشرية  مكتب 1,1,0,0,1,1,1,25,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,1,87,1,133.0
16090622201,م إبتدائية بئر بدر - المكارم  مكتب 1,1,0,0,0,1,7,26,2,5,1,1,0,0,0,0,0,2,1,1,0,1,0,0,5,1,175,2,232.0
16090622202,م إبتدائية بئر بدر - المكارم  مكتب 2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,119,0,137.0
16090622301,م إبتدائية الحميمة - المكارم  مكتب 1,1,0,0,1,1,6,81,1,1,1,1,0,1,0,2,1,0,2,0,2,2,0,0,2,3,173,3,285.0
16090622302,م إبتدائية الحميمة - المكارم  مكتب 2,0,0,0,0,0,1,41,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6,0,134,3,189.0
16090622401,م إبتدائية أولاد يوسف - المكارم  مكتب 1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,20,5,37.0
16090722501,م إبتدائية الجمال عين تيحالة - المكارم الشرقية  مكتب 1,0,0,0,1,1,7,15,2,0,0,1,3,0,1,1,1,0,0,1,0,1,0,0,18,0,255,2,310.0
16090822601,م إبتدائية الحوامد - العقلة  مكتب 1,1,0,0,1,0,2,14,0,9,1,0,0,1,0,1,0,4,0,2,0,0,1,0,4,1,288,3,333.0
16090822602,م إبتدائية الحوامد - العقلة  مكتب 2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,276,2,284.0
16090822603,م إبتدائية الحوامد - العقلة  مكتب 3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,231,0,239.0
16090822701,م إبتدائية عين رباو - العقلة  مكتب 1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,255,0,263.0
16090822801,م.الإبتدائية قطرانة الشمالية- قطرانة  مكتب 1,0,0,0,0,0,1,18,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4,1,104,1,137.0
16090822901,م إبتدائية الرمايدية - العقلة  مكتب 1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90,1,95.0
16090923001,م إبتدائية أولا بوضياف - الحنية  مكتب 1,0,0,0,0,0,10,31,2,5,2,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,247,13,316.0
16090923101,م إبتدائية عين بوزر - الحنية  مكتب 1,0,0,0,0,2,3,24,2,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10,0,213,6,266.0
16090923201,م إبتدائية الحنية الجديدة - الحنية  مكتب 1,1,2,0,2,3,10,36,3,6,0,1,0,1,0,1,2,1,2,6,2,2,0,1,3,0,238,4,327.0
16090923202,م إبتدائية الحنية الجديدة - الحنية  مكتب 2,0,0,0,0,1,3,24,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,239,2,283.0
16091023301,م إبتدائية الزيتون - قارة حديد  مكتب 1,1,1,0,1,0,11,72,1,0,0,2,0,1,1,0,0,2,0,0,1,0,1,1,12,0,206,0,314.0
16091023302,م إبتدائية الزيتون - قارة حديد  مكتب 2,0,0,0,0,0,2,46,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,13,1,196,2,265.0
16091023401,م.الإبتدائية المكارم - المكارم  مكتب 1,0,0,0,0,0,7,11,0,2,0,2,0,1,1,4,0,1,0,2,1,1,0,0,2,0,82,9,126.0
16091023501,م إبتدائية  2مارس 34 العقلة - قارة حديد  مكتب 1,0,0,1,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,90,0,106.0
16091023601,م إبتدائية قارة حديد   مكتب 1,0,0,0,0,0,1,35,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,23,0,123,2,190.0
16091023701,م إبتدائية النصر - قارة حديد  مكتب 1,0,0,1,0,1,3,44,3,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,7,1,155,4,223.0
16091123801,م إبتدائية أولاد عمر الشرقية - الزيتونة  مكتب 1,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,1,124,2,160.0
مجموع أصوات القائمة,11,6,6,13,15,142,1323,79,47,12,24,3,35,7,16,17,25,13,22,10,22,3,15,458,23,7493,145,9985,
