#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
16100123901,م إبتدائية شارع فرحات حشاد - سيدي بوزيد  الغربية  مكتب 1,0,0,0,0,0,2,158,9,1,0,2,0,3,0,0,0,0,0,0,0,0,0,9,74,0,141,35,434
16100123902,م إبتدائية شارع فرحات حشاد - سيدي بوزيد  الغربية  مكتب 2,0,0,1,0,0,4,130,8,0,1,0,0,2,1,0,0,0,0,0,0,2,0,2,55,0,172,35,413
16100123903,م إبتدائية شارع فرحات حشاد - سيدي بوزيد  الغربية  مكتب 3,0,0,0,1,1,1,103,3,0,0,1,0,2,0,0,0,1,0,0,0,0,0,3,95,2,178,49,440
16100123904,م إبتدائية شارع فرحات حشاد - سيدي بوزيد  الغربية  مكتب 4,0,0,0,0,0,1,85,3,0,0,4,1,4,0,0,0,0,0,0,0,1,0,1,75,0,188,33,396
16100123905,م إبتدائية شارع فرحات حشاد - سيدي بوزيد  الغربية  مكتب 5,0,0,1,0,0,0,67,4,0,0,2,0,1,0,0,0,0,1,0,1,0,0,6,60,2,156,13,314
16100123906,م إبتدائية شارع فرحات حشاد - سيدي بوزيد  الغربية  مكتب 6,0,0,3,0,0,0,42,8,0,0,2,0,2,0,0,1,0,0,0,0,0,0,8,61,0,154,31,312
16100123907,م إبتدائية شارع فرحات حشاد - سيدي بوزيد  الغربية  مكتب 7,0,0,1,1,0,0,64,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,42,0,156,23,302
16100124001,م إبتدائية أبو القاسم الشابي - سيدي بوزيد الغربية  مكتب 1,1,1,1,4,1,7,117,4,1,0,1,1,3,0,1,1,1,0,1,0,2,0,2,43,1,225,13,432
16100124002,م إبتدائية أبو القاسم الشابي - سيدي بوزيد الغربية  مكتب 2,1,1,2,0,0,6,120,5,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,49,0,235,17,444
16100124003,م إبتدائية أبو القاسم الشابي - سيدي بوزيد الغربية  مكتب 3,0,0,0,0,0,4,89,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,42,1,255,11,409
16100124004,م إبتدائية أبو القاسم الشابي - سيدي بوزيد الغربية  مكتب 4,0,0,1,1,0,0,55,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,49,0,206,10,330
16100124005,م إبتدائية أبو القاسم الشابي - سيدي بوزيد الغربية  مكتب 5,0,0,1,1,0,2,53,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,51,1,193,15,327
16100124101,م إبتدائية علي بن الصادق - سيدي بوزيد الغربية  مكتب 1,0,0,2,1,0,1,118,4,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,70,0,195,30,428
16100124102,م إبتدائية علي بن الصادق - سيدي بوزيد الغربية  مكتب 2,0,0,6,0,0,1,85,3,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,89,0,188,31,410
16100124103,م إبتدائية علي بن الصادق - سيدي بوزيد الغربية  مكتب 3,0,0,0,1,0,1,55,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,77,0,184,17,340
16100124104,م إبتدائية علي بن الصادق - سيدي بوزيد الغربية  مكتب 4,0,0,1,0,0,0,47,4,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,58,0,153,25,292
16100124201,م.الإبتدائية إبن خلدون سيدي بوزيد الغربية  مكتب 1,0,0,1,0,3,10,69,2,4,1,2,0,2,0,0,0,1,0,0,1,3,0,1,23,1,261,2,387
16100124202,م.الإبتدائية إبن خلدون سيدي بوزيد الغربية  مكتب 2,0,0,0,0,0,3,48,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,36,0,252,3,348
16100124203,م.الإبتدائية إبن خلدون سيدي بوزيد الغربية  مكتب 3,1,0,0,0,0,0,39,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,17,0,188,4,256
16100224301,م إبتدائية شارع الجمهوررية - النور  مكتب 1,0,0,2,0,1,4,188,3,3,0,1,0,2,0,0,1,0,0,0,1,2,1,3,40,1,162,35,450
16100224302,م إبتدائية شارع الجمهوررية - النور  مكتب 2,0,0,0,0,0,2,129,2,0,0,2,0,2,0,2,1,0,0,0,0,0,0,0,71,0,218,48,477
16100224303,م إبتدائية شارع الجمهوررية - النور  مكتب 3,0,0,3,0,0,2,109,4,0,0,3,0,2,0,0,1,0,0,0,0,0,0,1,59,1,221,30,436
16100224304,م إبتدائية شارع الجمهوررية - النور  مكتب 4,0,0,0,0,0,0,64,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,59,0,221,21,374
16100224305,م إبتدائية شارع الجمهوررية - النور  مكتب 5,0,0,0,0,0,0,55,13,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,30,0,200,25,326
16100224401,م إبتدائية شارع الطيب المهيري - النور  مكتب 1,2,0,0,0,1,8,102,4,2,0,3,0,1,1,0,1,1,0,0,1,1,0,5,23,1,188,14,359
16100224402,م إبتدائية شارع الطيب المهيري - النور  مكتب 2,0,0,5,0,0,5,89,1,0,0,2,0,1,0,0,2,0,2,0,1,1,0,1,29,0,202,19,360
16100224403,م إبتدائية شارع الطيب المهيري - النور  مكتب 3,0,0,2,0,0,2,44,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,208,19,300
16100224404,م إبتدائية شارع الطيب المهيري - النور  مكتب 4,0,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,185,10,274
16100224501,م إبتدائية حي الزهور - النور  مكتب 1,0,0,0,0,1,5,90,3,3,0,2,0,3,0,2,0,0,0,0,0,0,0,6,49,1,225,6,396
16100224502,م إبتدائية حي الزهور - النور  مكتب 2,1,0,1,1,0,7,86,5,0,0,2,0,1,0,0,0,0,0,1,0,0,0,3,49,0,225,16,398
16100224503,م إبتدائية حي الزهور - النور  مكتب 3,0,0,0,0,0,2,66,4,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,55,0,223,7,363
16100224504,م إبتدائية حي الزهور - النور  مكتب 4,0,0,2,0,0,1,44,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,40,0,182,12,291
16100224505,م إبتدائية حي الزهور - النور  مكتب 5,0,0,0,0,0,1,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,0,212,13,310
16100224601,م إبتدائية حي الخضراء - النور  مكتب 1,1,0,0,0,0,7,68,1,2,0,3,0,1,0,0,2,1,0,1,0,1,0,0,21,1,178,1,289
16100224602,م إبتدائية حي الخضراء - النور  مكتب 2,0,0,0,0,0,3,51,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,27,0,142,0,228
16100324701,م إبتدائية سيدي سالم   مكتب 1,0,1,0,2,0,3,53,4,0,0,1,0,0,0,1,1,1,0,2,2,0,0,1,3,0,128,30,233
16100324702,م إبتدائية سيدي سالم   مكتب 2,0,0,0,0,0,0,25,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,94,26,157
16100324801,م إبتدائية الصندوق - سيدي سالم  مكتب 1,0,0,1,0,0,4,19,0,2,1,2,2,2,0,1,0,1,0,0,0,0,2,3,21,0,165,18,244
16100324802,م إبتدائية الصندوق - سيدي سالم  مكتب 2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,134,12,182
16100424901,م إبتدائية هنشير الصنب - الهيشرية  مكتب 1,0,0,0,0,0,1,10,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,12,1,164,1,194
16100425001,م إبتدائية أولاد جلال - الهيشرية  مكتب 1,0,0,0,0,0,1,25,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,112,2,153
16100425101,م إبتدائية بئر بدرة - الهيشرية  مكتب 1,0,0,1,1,1,3,17,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,3,258,4,295
16100425201,م إبتدائية الفتح سيدي بوزيد - الهيشرية  مكتب 1,0,0,0,0,0,3,25,1,2,0,1,0,0,0,0,0,1,1,0,1,1,0,0,6,1,161,3,207
16100425301,م إبتدائية أولاد بوعزيز س.بوزيد الغربية - الهيشرية  مكتب 1,0,1,0,2,1,1,22,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,10,3,101,3,150
16100425302,م إبتدائية أولاد بوعزيز س.بوزيد الغربية - الهيشرية  مكتب 2,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,72,3,97
16100425401,م إبتدائية سيدي السايح - الهيشرية  مكتب 1,1,1,0,2,0,8,25,0,5,0,2,0,1,0,0,0,1,1,0,0,0,0,1,21,0,159,3,231
16100425402,م إبتدائية سيدي السايح - الهيشرية  مكتب 2,0,0,0,2,0,1,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,129,10,177
16100525501,م.الإبتدائيةالداغر- الهيشرية  مكتب 1,0,0,0,1,1,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,99,7,132
16100525601,م إبتدائية التوانسية - الفريو  مكتب 1,0,0,1,0,0,1,49,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,122,4,186
16100625701,م إبتدائية عويثة الغزال - الصداقية  مكتب 1,1,0,0,0,0,2,31,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,35,3,184,19,282
16100625801,م إبتدائية الصداقية سيدي بوزيد  مكتب 1,0,1,0,0,0,0,29,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,6,0,102,7,151
16100725901,م إبتدائية أم العظام الأمة - أم العظام (1)  مكتب 1,0,1,0,0,0,2,51,3,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,19,0,199,2,281
16100826001,م.الإبتدائية بئر الدولة - الفريو  مكتب 1,0,0,1,2,1,0,60,3,1,0,0,0,2,0,0,0,2,0,0,0,3,0,0,18,0,126,3,222
16100826101,م إبتدائية بئر الباي - أم العظام (2)  مكتب 1,1,0,0,0,0,2,54,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,17,0,180,4,265
16100826102,م إبتدائية بئر الباي - أم العظام (2)  مكتب 2,0,0,0,0,0,3,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,144,4,185
16100826201,م إبتدائية القطائفية - أم العظام (2)  مكتب 1,1,0,0,0,0,4,45,2,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,46,1,194,0,299
16100926301,م إبتدائية قدورة النصيري - الطويلة  مكتب 1,0,0,0,1,0,4,117,2,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,76,1,196,16,421
16100926302,م إبتدائية قدورة النصيري - الطويلة  مكتب 2,0,0,0,0,0,0,70,4,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,66,0,181,19,345
16100926401,م إبتدائية بئر بوزيد - الطويلة  مكتب 1,0,2,1,1,1,3,32,1,1,0,0,1,1,0,1,4,1,0,1,0,0,1,0,44,4,154,0,254
16100926402,م إبتدائية بئر بوزيد - الطويلة  مكتب 2,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,122,1,166
16100926501,م إبتدائية الزعافرية - الطويلة  مكتب 1,3,0,0,1,1,4,52,1,2,1,5,0,4,0,0,2,2,0,1,6,0,0,0,28,1,119,4,237
16100926502,م إبتدائية الزعافرية - الطويلة  مكتب 2,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,20,0,89,2,155
16100926601,م إبتدائية  2مارس34 الطويلة   مكتب 1,0,0,1,4,5,7,65,1,2,1,3,0,1,0,1,0,1,0,0,0,4,1,0,24,1,217,6,345
16100926701,م إبتدائية الرقي - الطويلة  مكتب 1,1,0,0,2,0,2,21,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,12,1,151,1,197
16100926702,م إبتدائية الرقي - الطويلة  مكتب 2,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,131,1,145
16101026801,م إبتدائية أم العظام التعاضدية - النصر  مكتب 1,0,0,1,2,1,9,45,5,1,0,2,0,1,0,0,1,1,0,1,0,2,0,1,15,3,192,7,290
16101126901,م إبتدائية حي الهدى - بوزيد الجنوبية  مكتب 1,3,0,1,2,1,14,93,2,3,1,3,1,2,2,1,0,0,2,2,1,4,0,1,28,3,225,8,403
16101126902,م إبتدائية حي الهدى - بوزيد الجنوبية  مكتب 2,0,0,0,0,0,6,82,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,42,0,245,20,403
16101126903,م إبتدائية حي الهدى - بوزيد الجنوبية  مكتب 3,0,0,2,0,2,0,33,3,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,36,0,231,17,329
16101126904,م إبتدائية حي الهدى - بوزيد الجنوبية  مكتب 4,0,0,1,0,0,0,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,206,17,289
16101127001,م إبتدائية حي المستقبل - بوزيد الجنوبية  مكتب 1,0,0,1,1,2,3,110,8,0,0,4,0,4,0,0,1,0,0,0,0,4,0,6,39,1,175,17,376
16101127002,م إبتدائية حي المستقبل - بوزيد الجنوبية  مكتب 2,0,0,0,0,0,0,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,160,19,281
