circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sidi_Bouzid,SoukJedid,16080118801,م إبتدائية الحشانة - سوق الجديد  مكتب 1,0,0,1,0,0,10,105,0,1,1,4,0,1,0,0,0,1,1,1,3,0,0,0,22,1,212,4,368
Sidi_Bouzid,SoukJedid,16080118802,م إبتدائية الحشانة - سوق الجديد  مكتب 2,0,0,1,0,0,1,45,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16,0,183,12,264
Sidi_Bouzid,SoukJedid,16080118901,م إبتدائية بوعطوش - سوق الجديد  مكتب 1,0,0,0,0,0,4,7,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,113,4,135
Sidi_Bouzid,SoukJedid,16080119001,م إبتدائية الصعادلية - سوق الجديد  مكتب 1,0,0,0,0,1,6,22,0,1,1,0,1,0,1,1,2,1,0,1,0,1,1,0,9,1,192,6,248
Sidi_Bouzid,SoukJedid,16080219101,م إبتدائية سقدال - غريويس  مكتب 1,0,0,4,0,0,5,33,1,4,1,0,1,2,0,0,0,1,1,0,0,0,0,0,3,0,117,0,173
Sidi_Bouzid,SoukJedid,16080219201,م إبتدائية القصيرة - غريويس  مكتب 1,0,0,0,0,0,0,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,78,0,101
Sidi_Bouzid,SoukJedid,16080219301,م إبتدائية المصابحية - غريويس  مكتب 1,1,0,0,2,1,15,24,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,170,7,229
Sidi_Bouzid,SoukJedid,16080319401,م إبتدائية النهوض - القصيرة  مكتب 1,1,0,3,1,0,10,31,1,3,1,0,0,1,1,0,0,1,0,1,1,0,0,0,8,1,244,4,313
Sidi_Bouzid,SoukJedid,16080319402,م إبتدائية النهوض - القصيرة  مكتب 2,0,0,0,0,0,0,16,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,235,0,262
Sidi_Bouzid,SoukJedid,16080419501,م إبتدائية المساترية - سقدال  مكتب 1,0,0,1,0,0,6,57,0,5,0,0,0,0,0,0,0,1,1,2,0,2,0,0,1,3,202,7,288
Sidi_Bouzid,SoukJedid,16080419502,م إبتدائية المساترية - سقدال  مكتب 2,0,0,0,0,0,2,26,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,153,10,200
Sidi_Bouzid,SoukJedid,16080419601,م إبتدائية أولاد خضر - سقدال  مكتب 1,0,0,0,1,1,5,13,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,129,3,162
Sidi_Bouzid,SoukJedid,16080519701,م إبتدائية الرميلية  مكتب 1,0,0,0,1,0,5,17,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11,0,148,6,191
Sidi_Bouzid,SoukJedid,16080519702,م إبتدائية الرميلية  مكتب 2,1,0,0,0,0,1,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,114,2,149
Sidi_Bouzid,SoukJedid,16080519801,م إبتدائية  2مارس 34 - الرميلية  مكتب 1,2,0,0,0,1,4,21,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5,0,107,1,146
Sidi_Bouzid,SoukJedid,16080519901,م إبتدائية أولاد ظاهر - الرميلية  مكتب 1,0,0,0,0,0,10,8,0,4,0,0,1,1,0,0,2,1,1,0,0,0,0,0,5,0,108,1,142
Sidi_Bouzid,SoukJedid,16080520001,م إبتدائية فولاب - الرميلية  مكتب 1,0,0,1,0,0,5,12,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,59,0,74,1,159
Sidi_Bouzid,SoukJedid,16080520101,م إبتدائية أولاد ظاهر 2 - الرميلية  مكتب 1,1,0,0,1,0,3,23,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,3,1,129,0,166
Sidi_Bouzid,SoukJedid,16080520201,م إبتدائية التحول - الرميلية  مكتب 1,0,0,0,0,0,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,53,1,72
Sidi_Bouzid,SoukJedid,16080620301,م إبتدائية الزفزاف   مكتب 1,0,0,0,1,1,5,70,0,3,1,0,0,1,2,0,1,5,2,3,1,3,0,0,13,0,157,4,273
Sidi_Bouzid,SoukJedid,16080620302,م إبتدائية الزفزاف   مكتب 2,1,0,0,0,0,1,24,1,1,0,0,0,2,0,0,0,2,0,1,0,0,0,1,10,0,148,1,193
Sidi_Bouzid,SoukJedid,16080620401,م إبتدائية سيدي بوشمال - الزفزاف  مكتب 1,3,1,1,2,0,9,73,2,4,0,0,0,1,0,0,1,0,0,3,1,1,0,0,4,2,196,2,306
Sidi_Bouzid,SoukJedid,16080620501,م إبتدائية دخلة الزفزاف  مكتب 1,2,0,0,0,3,5,32,2,2,1,1,0,0,0,0,3,0,0,1,0,0,0,0,7,1,172,0,232
Sidi_Bouzid,SoukJedid,16080620502,م إبتدائية دخلة الزفزاف  مكتب 2,0,0,0,0,0,1,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,136,9,163
Sidi_Bouzid,SoukJedid,16080720601,م إبتدائية أولاد محمد النباهة - بئر بدر  مكتب 1,0,0,1,0,1,5,68,0,4,0,3,0,4,0,1,1,3,1,2,0,1,2,0,11,1,176,3,288
Sidi_Bouzid,SoukJedid,16080720602,م إبتدائية أولاد محمد النباهة - بئر بدر  مكتب 2,0,0,1,0,0,3,32,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,21,2,140,3,208
Sidi_Bouzid,SoukJedid,16080720603,م إبتدائية أولاد محمد النباهة - بئر بدر  مكتب 3,0,1,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,111,2,150
