circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Siliana,Bargou,08040105601,م إبتدائية  2مارس برقو  مكتب 1,0,0,0,2,0,1,135,11,1,3,2,0,6,2,0,2,3,2,4,1,8,1,1,40,1,3,77,306
Siliana,Bargou,08040105602,م إبتدائية  2مارس برقو  مكتب 2,0,0,1,1,0,0,120,9,0,1,3,1,6,1,0,0,1,1,0,0,2,1,1,60,0,10,139,358
Siliana,Bargou,08040105603,م إبتدائية  2مارس برقو  مكتب 3,0,0,0,0,0,0,101,23,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,57,0,4,99,287
Siliana,Bargou,08040105701,م إبتدائية حي الزهور برقو  مكتب 1,2,0,0,4,1,1,173,9,3,3,2,0,5,3,1,1,0,1,2,0,6,0,3,32,2,3,89,346
Siliana,Bargou,08040105702,م إبتدائية حي الزهور برقو  مكتب 2,3,0,0,2,1,0,154,15,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,48,0,6,141,377
Siliana,Bargou,08040105703,م إبتدائية حي الزهور برقو  مكتب 3,0,0,1,1,1,0,90,29,1,0,1,0,1,0,0,2,0,0,0,0,0,0,3,41,1,2,110,284
Siliana,Bargou,08040105801,م إبتدائية حي السعادة برقو  مكتب 1,0,0,0,0,0,0,44,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,7,0,2,12,69
Siliana,Bargou,08040205901,م إبتدائية سيدي عمارة - أحواز برقو  مكتب 1,0,0,0,0,0,0,34,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,6,0,1,26,71
Siliana,Bargou,08040206001,م إبتدائية مرج عوام - أحواز برقو  مكتب 1,0,0,0,0,1,0,41,8,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,4,2,1,26,90
Siliana,Bargou,08040306101,م إبتدائية عين زكار - أولاد فرج  مكتب 1,1,0,2,1,0,0,56,5,2,0,2,0,2,1,2,1,0,0,1,0,4,0,1,27,2,5,42,157
Siliana,Bargou,08040406201,م إبتدائية سيدي سعيد   مكتب 1,0,0,2,1,0,2,53,25,1,0,3,0,4,4,0,2,2,0,0,2,1,0,0,28,0,6,35,171
Siliana,Bargou,08040406301,م إبتدائية سيدي زيد - سيدي سعيد  مكتب 1,2,0,2,1,1,0,51,14,2,1,2,0,1,1,1,0,1,0,0,1,2,0,0,6,2,5,53,149
Siliana,Bargou,08040506401,م إبتدائية عين فرنة   مكتب 1,1,0,0,1,1,1,45,12,1,0,1,0,2,0,0,1,0,1,0,0,2,0,1,18,0,20,39,147
Siliana,Bargou,08040606501,م إبتدائية عين بوسعدية   مكتب 1,0,1,0,3,0,1,62,8,1,2,1,0,1,0,0,3,0,1,1,1,3,0,0,16,0,6,34,145
Siliana,Bargou,08040606601,م إبتدائية دمان الخرّوب - عين بوسعدية  مكتب 1,0,0,0,0,0,0,30,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,5,0,4,19,64
Siliana,Bargou,08040706701,م إبتدائية الدريجة  مكتب 1,1,0,0,1,0,0,42,18,1,0,1,0,3,0,0,0,1,0,0,0,0,1,0,15,0,1,31,116
Siliana,Bargou,08040706801,م إبتدائية الكنازيز - الدريجة  مكتب 1,1,0,0,1,0,0,29,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,6,8,54
Siliana,Bargou,08040706901,م إبتدائية أولاد بن عمر - الدريجة  مكتب 1,0,0,0,0,0,2,24,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,4,9,44
Siliana,Bargou,08040807001,م إبتدائية صدقة - البحيرين  مكتب 1,0,0,0,0,0,1,87,9,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,13,0,4,37,158
Siliana,Bargou,08040807101,م إبتدائية البياض - البحيرين  مكتب 1,0,0,0,1,0,0,40,12,0,0,0,0,0,1,0,2,0,1,1,0,5,0,0,4,0,0,40,107
