circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Siliana,BouArada,08060108301,م إبتدائية محطة الجليدة - أحواز بوعرادة  مكتب 1,0,1,0,0,0,1,26,6,2,0,0,0,2,0,0,3,1,1,1,0,0,0,0,60,3,11,70,188
Siliana,BouArada,08060108401,م إبتدائية بيجقة - أحواز بوعرادة  مكتب 1,2,1,0,2,2,1,69,7,1,1,2,0,3,3,0,3,1,1,3,0,1,0,1,21,1,7,57,190
Siliana,BouArada,08060208501,م إبتدائية الجمهورية بوعرادة - بوعرادة المدينة  مكتب 1,1,1,1,4,1,3,147,15,3,1,0,0,4,2,0,1,0,4,1,0,1,0,0,52,1,8,175,426
Siliana,BouArada,08060208502,م إبتدائية الجمهورية بوعرادة - بوعرادة المدينة  مكتب 2,0,0,0,0,0,1,70,17,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,55,1,2,156,308
Siliana,BouArada,08060208601,م إبتدائية نهج نابل بوعرادة - بوعرادة المدينة  مكتب 1,1,2,1,3,0,0,99,15,2,2,4,0,3,4,2,0,1,4,1,2,3,0,2,35,0,14,139,339
Siliana,BouArada,08060208602,م إبتدائية نهج نابل بوعرادة - بوعرادة المدينة  مكتب 2,0,1,0,0,1,3,67,14,1,1,2,0,1,1,3,1,1,3,0,1,1,0,1,54,2,5,174,338
Siliana,BouArada,08060208603,م إبتدائية نهج نابل بوعرادة - بوعرادة المدينة  مكتب 3,1,0,0,1,0,0,62,14,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,44,0,4,174,306
Siliana,BouArada,08060208604,م إبتدائية نهج نابل بوعرادة - بوعرادة المدينة  مكتب 4,0,0,0,0,0,0,29,22,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,35,1,7,143,240
Siliana,BouArada,08060208701,م إبتدائية حي الزياتين بوعرادة - بوعرادة المدينة  مكتب 1,4,0,4,1,3,3,80,12,0,2,3,2,7,4,0,2,1,1,1,1,6,0,0,37,0,10,165,349
Siliana,BouArada,08060208702,م إبتدائية حي الزياتين بوعرادة - بوعرادة المدينة  مكتب 2,4,0,1,1,0,3,59,13,1,0,3,1,0,3,0,2,1,2,0,0,2,0,1,64,0,12,181,354
Siliana,BouArada,08060208703,م إبتدائية حي الزياتين بوعرادة - بوعرادة المدينة  مكتب 3,1,0,0,1,0,0,41,8,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,47,0,9,187,298
Siliana,BouArada,08060208704,م إبتدائية حي الزياتين بوعرادة - بوعرادة المدينة  مكتب 4,0,0,0,0,0,0,21,10,0,1,2,0,4,1,0,1,0,0,0,0,0,0,0,45,0,7,149,241
Siliana,BouArada,08060208801,م إبتدائية ابن خلدون بوعرادة - بوعرادة المدينة  مكتب 1,0,2,1,1,2,1,65,16,1,1,1,1,3,5,1,0,0,1,1,2,1,1,1,64,1,6,203,382
Siliana,BouArada,08060208802,م إبتدائية ابن خلدون بوعرادة - بوعرادة المدينة  مكتب 2,1,0,0,1,0,0,36,20,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,51,0,3,174,291
Siliana,BouArada,08060308901,م إبتدائية هنشير فطيـس  مكتب 1,1,0,1,1,1,0,38,5,2,0,1,0,1,0,0,1,2,0,0,0,5,0,1,25,0,7,43,135
Siliana,BouArada,08060409001,م إبتدائية قصر بوخريص - هنشير رومان  مكتب 1,0,0,1,3,1,0,12,4,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,2,0,3,22,53
Siliana,BouArada,08060409101,م إبتدائية عين قسيل - هنشير رومان  مكتب 1,1,0,1,0,0,1,31,3,0,1,0,0,1,0,0,1,0,1,0,1,2,0,0,20,0,0,12,76
Siliana,BouArada,08060409201,م إبتدائية هنشير رومان   مكتب 1,0,1,0,1,0,3,30,10,0,0,0,3,2,1,0,3,1,2,0,0,3,0,0,29,0,2,62,153
Siliana,BouArada,08060509301,م إبتدائية سيدي عبد النور  مكتب 1,2,1,0,1,0,2,31,2,2,2,4,0,4,1,1,1,1,1,0,0,3,0,0,9,1,4,104,177
Siliana,BouArada,08060609401,م إبتدائية طرف الشناء  مكتب 1,0,0,0,1,1,0,38,17,2,0,3,0,2,3,0,0,1,0,0,2,1,0,0,19,0,4,57,151
Siliana,BouArada,08060609501,م إبتدائية أولاد سيدي عرفة - طرف الشناء  مكتب 1,1,0,0,1,0,1,20,4,0,0,2,0,2,2,0,0,0,0,1,0,1,0,0,4,1,2,98,140
