#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
08020102901,م إبتدائية  2مارس 1934 العروسة   مكتب 1,1,1,0,1,1,2,66,9,2,1,4,0,3,2,0,0,1,2,0,0,0,0,0,33,0,4,202,335.0
08020102902,م إبتدائية  2مارس 1934 العروسة   مكتب 2,0,0,0,0,0,0,50,7,0,0,1,0,2,3,1,1,0,0,1,0,0,0,0,43,0,6,208,323.0
08020102903,م إبتدائية  2مارس 1934 العروسة   مكتب 3,1,0,0,0,0,0,49,6,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,47,0,2,188,296.0
08020102904,م إبتدائية  2مارس 1934 العروسة   مكتب 4,0,0,0,0,0,0,41,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,33,0,5,158,256.0
08020103001,م إبتدائية دشرة الحجاج - العروسة  مكتب 1,0,0,0,0,0,1,9,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,24,0,2,68,118.0
08020103101,م إبتدائية وادي العرعار بوعرادة - العروسة  مكتب 1,1,1,1,4,1,0,40,64,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0,83,1,3,111,320.0
08020203201,م إبتدائية بوجليدة   مكتب 1,0,0,0,0,0,0,16,1,2,0,0,0,1,0,0,0,1,1,2,0,1,0,0,12,0,1,164,202.0
08020203202,م إبتدائية بوجليدة   مكتب 2,1,0,0,0,0,0,14,7,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,18,0,3,143,190.0
08020303301,م إبتدائية باطن الزرايب - الرّميــل  مكتب 1,0,0,0,1,0,0,15,1,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,28,51.0
08020303401,م إبتدائية عين بوسلامة - الرّميــل  مكتب 1,1,0,0,1,0,0,27,5,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,7,0,3,57,105.0
08020303501,م إبتدائية الرّميــل   مكتب 1,0,0,0,1,0,0,8,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,40,55.0
08020403601,م إبتدائية مصراطة   مكتب 1,0,0,1,0,0,0,20,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6,0,5,38,73.0
08020503701,م إبتدائية سيدي عياد   مكتب 1,0,1,0,2,1,2,99,13,3,0,2,0,3,2,0,0,1,2,1,0,1,0,2,51,2,7,85,280.0
مجموع أصوات القائمة,5,3,2,10,3,5,454,142,9,3,11,4,19,11,3,3,4,8,4,0,5,2,2,358,3,41,1490,2604,
