#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
08090114301,م إبتدائية شاكر قعفور - قعفور الشرقية  مكتب 1,1,0,1,1,2,0,111,13,4,1,4,0,2,3,1,1,1,4,0,1,4,0,0,50,1,5,157,368.0
08090114302,م إبتدائية شاكر قعفور - قعفور الشرقية  مكتب 2,1,0,3,0,0,0,83,19,1,0,4,0,0,1,0,0,0,0,0,1,0,1,2,92,0,7,218,433.0
08090114303,م إبتدائية شاكر قعفور - قعفور الشرقية  مكتب 3,2,0,1,0,0,2,55,14,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,63,0,7,194,341.0
08090114401,م إبتدائية بورقيبة قعفور - قعفور الشرقية  مكتب 1,2,1,1,1,0,1,107,9,2,0,2,0,2,0,1,2,2,1,1,0,2,0,1,49,0,2,97,286.0
08090114402,م إبتدائية بورقيبة قعفور - قعفور الشرقية  مكتب 2,1,0,0,0,0,0,64,17,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,74,0,3,150,312.0
08090114403,م إبتدائية بورقيبة قعفور - قعفور الشرقية  مكتب 3,2,0,1,0,0,0,49,22,0,0,2,0,1,0,0,0,1,0,0,1,1,0,0,55,0,1,127,263.0
08090114501,م إبتدائية الطيب المهيري قعفور - قعفور الشرقية  مكتب 1,0,1,2,1,0,0,52,11,0,0,3,0,1,3,2,1,1,1,1,0,3,0,1,49,0,2,125,260.0
08090114502,م إبتدائية الطيب المهيري قعفور - قعفور الشرقية  مكتب 2,0,0,1,1,0,0,38,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,2,1,106,215.0
08090214601,م إبتدائية حي الزهور قعفور - قعفور الغربية  مكتب 1,1,1,1,5,1,1,108,8,3,2,3,1,3,1,0,1,2,1,0,1,3,1,1,33,1,11,104,298.0
08090214602,م إبتدائية حي الزهور قعفور - قعفور الغربية  مكتب 2,0,0,0,1,0,0,79,19,2,1,3,0,2,2,2,3,2,0,2,2,0,0,0,41,0,7,164,332.0
08090214603,م إبتدائية حي الزهور قعفور - قعفور الغربية  مكتب 3,0,0,0,0,0,1,58,10,1,0,1,0,0,1,0,3,0,0,0,0,2,0,0,61,1,6,161,306.0
08090214604,م إبتدائية حي الزهور قعفور - قعفور الغربية  مكتب 4,1,0,0,0,0,1,35,23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,48,0,4,117,232.0
08090314701,م إبتدائية  2مارس 34 الأخوات  مكتب 1,1,1,0,0,0,0,118,31,1,0,1,1,2,1,0,0,0,0,0,0,3,1,1,43,2,11,138,356.0
08090314801,م إبتدائية منجم الأخوات  مكتب 1,0,0,0,0,0,0,29,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,7,0,2,29,73.0
08090414901,م إبتدائية الهوام - عين زريق  مكتب 1,0,0,0,1,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,11,34.0
08090415001,م إبتدائية عين زريق   مكتب 1,1,0,0,2,3,1,54,7,1,0,2,1,6,3,0,2,0,2,0,2,0,0,0,19,0,18,87,211.0
08090415101,م إبتدائية منزل نايل قعفور - عين زريق  مكتب 1,2,0,0,1,0,0,100,1,1,1,3,0,0,2,0,0,0,2,1,0,2,0,1,10,0,6,32,165.0
08090515201,م إبتدائية الخروبة - الاحواز الشمالية  مكتب 1,1,2,0,3,2,1,45,4,0,1,3,1,3,1,0,0,1,0,1,0,3,0,0,6,0,9,58,145.0
08090515301,م إبتدائية النويصر - الاحواز الشمالية  مكتب 1,0,0,0,0,1,0,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,11,40.0
08090615401,م إبتدائية الأقصاب   مكتب 1,2,3,1,0,0,2,94,37,2,1,2,1,5,1,0,5,0,2,0,3,4,0,0,39,0,16,41,261.0
08090615501,م إبتدائية بنورية قعفور - الأقصاب  مكتب 1,0,1,0,1,2,1,49,2,2,0,1,0,2,1,0,0,0,0,0,0,1,0,0,10,1,9,16,99.0
مجموع أصوات القائمة,18,10,12,18,11,11,1348,257,21,9,39,6,33,22,7,19,10,13,6,11,29,3,9,827,8,130,2143,5030,
