#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
08100115601,م إبتدائية  2مارس 34 كسرى - كسرى المدينة  مكتب 1,0,1,0,2,0,0,108,25,1,0,2,0,3,0,0,4,0,2,0,0,3,0,0,30,0,8,27,216.0
08100115602,م إبتدائية  2مارس 34 كسرى - كسرى المدينة  مكتب 2,0,0,0,1,0,0,41,24,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,28,0,10,29,139.0
08100115701,م إبتدائية كسرى الجديدة - كسرى المدينة  مكتب 1,0,0,3,2,1,0,118,23,0,0,1,0,1,0,0,0,0,1,1,2,1,2,0,49,0,4,31,240.0
08100115702,م إبتدائية كسرى الجديدة - كسرى المدينة  مكتب 2,0,0,0,4,0,0,65,29,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,37,1,5,25,169.0
08100215801,م إبتدائية الحمام   مكتب 1,1,0,0,1,1,1,85,30,1,2,2,0,2,1,0,0,0,1,0,0,3,0,0,14,0,11,34,190.0
08100315901,م إبتدائية المنصورة القديمة - المنصورة الشمالية  مكتب 1,1,0,0,0,0,0,19,3,1,0,1,0,1,3,0,0,1,0,0,0,0,1,0,28,0,6,44,109.0
08100316001,م إبتدائية جنوة كسرى - المنصورة الشمالية  مكتب 1,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,6,9,45.0
08100416101,م إبتدائية المنصورة فرحات حشاد - المنصورة الجنوبية  مكتب 1,0,0,2,1,1,3,76,19,1,1,3,1,3,2,2,1,1,1,0,2,1,3,0,17,1,7,86,235.0
08100516201,م إبتدائية بوعبدالله   مكتب 1,1,0,0,0,0,2,98,19,1,0,1,1,0,1,0,1,0,0,0,1,2,0,0,11,1,5,19,164.0
08100516202,م إبتدائية بوعبدالله   مكتب 2,0,0,0,0,0,0,44,14,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,8,0,2,14,86.0
08100616301,م إبتدائية القرية الشمالية  مكتب 1,0,0,0,0,0,1,117,26,2,0,1,0,5,0,1,1,1,0,2,0,1,1,1,39,0,6,14,219.0
08100716401,م إبتدائية القرية الجنوبية   مكتب 1,0,0,0,1,0,0,31,11,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,20,0,9,21,99.0
08100716501,م إبتدائية أولاد بوعافية - القرية الجنوبية  مكتب 1,2,1,0,4,2,6,51,8,1,0,0,0,0,1,1,2,1,1,1,1,4,0,1,10,0,12,19,129.0
08100816601,م إبتدائية الفضول   مكتب 1,0,0,0,1,2,1,53,35,0,0,1,0,1,2,0,1,0,1,0,0,1,0,0,12,3,13,6,133.0
08100816701,م إبتدائية ذواودة كسرى - الفضول  مكتب 1,0,0,0,0,1,0,18,12,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,5,0,7,11,59.0
08100916801,م إبتدائية اللوزة القديمة  مكتب 1,0,0,0,1,0,0,14,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,13,0,9,11,54.0
08100916901,م إبتدائية اللوزة الجديدة كسرى  مكتب 1,0,0,0,1,1,0,47,6,0,1,0,2,1,0,1,0,2,1,0,0,0,0,0,22,0,7,5,97.0
مجموع أصوات القائمة,5,2,5,20,9,14,999,287,9,5,19,4,20,15,5,10,9,8,4,6,22,7,4,357,6,127,405,2383,
