circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Siliana,LeKrib,08030103801,م إبتدائية  2مارس 34 الكريب - الكريب الشمالية  مكتب 1,1,2,3,4,0,3,176,11,2,2,0,1,4,2,0,1,0,3,2,0,5,0,0,61,1,7,68,359
Siliana,LeKrib,08030103802,م إبتدائية  2مارس 34 الكريب - الكريب الشمالية  مكتب 2,1,0,1,2,0,1,147,16,2,2,6,1,1,1,1,1,0,1,0,0,3,0,0,78,0,16,110,391
Siliana,LeKrib,08030103803,م إبتدائية  2مارس 34 الكريب - الكريب الشمالية  مكتب 3,1,0,2,0,0,0,88,27,0,0,3,0,1,1,0,0,1,0,0,0,1,0,0,75,0,5,77,282
Siliana,LeKrib,08030103901,م إبتدائية شارع الحبيب بورقيبة - الكريب الشمالية  مكتب 1,2,1,2,3,0,2,151,13,2,2,1,2,5,6,0,2,2,2,0,1,7,1,0,47,0,7,55,316
Siliana,LeKrib,08030103902,م إبتدائية شارع الحبيب بورقيبة - الكريب الشمالية  مكتب 2,0,0,1,1,0,2,165,10,4,1,2,0,2,1,1,1,1,1,0,1,2,1,0,64,0,4,77,342
Siliana,LeKrib,08030103903,م إبتدائية شارع الحبيب بورقيبة - الكريب الشمالية  مكتب 3,0,0,1,1,0,0,115,15,0,0,2,1,1,0,1,1,0,0,1,0,1,0,0,64,0,10,84,298
Siliana,LeKrib,08030103904,م إبتدائية شارع الحبيب بورقيبة - الكريب الشمالية  مكتب 4,1,0,0,0,0,0,82,20,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,58,0,3,53,220
Siliana,LeKrib,08030104001,م إبتدائية وادي اللوز - الكريب الشمالية  مكتب 1,1,0,0,0,2,0,34,1,0,0,0,0,2,0,0,2,0,2,0,0,1,0,1,1,0,0,16,63
Siliana,LeKrib,08030204101,م إبتدائية حي النصر الكريب - الكريب الجنوبية  مكتب 1,0,0,1,3,0,3,204,13,1,2,4,2,0,2,0,2,2,2,0,1,5,0,1,61,1,5,59,374
Siliana,LeKrib,08030204102,م إبتدائية حي النصر الكريب - الكريب الجنوبية  مكتب 2,0,0,0,0,0,1,115,22,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,77,0,6,52,277
Siliana,LeKrib,08030304201,م إبتدائية الدخانية الجديدة  مكتب 1,1,0,1,5,0,0,112,5,0,0,2,0,2,3,1,2,1,2,1,0,4,0,3,17,0,11,29,202
Siliana,LeKrib,08030304202,م إبتدائية الدخانية الجديدة  مكتب 2,0,0,0,1,0,0,68,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17,0,7,44,148
