#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
08010100101,م إبتدائية الحبابسة - الحبابسة الشمالية  مكتب 1,1,2,0,2,1,0,17,9,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,7,0,2,16,61.0
08010100201,م إبتدائية الباطن - الحبابسة الشمالية  مكتب 1,0,0,1,1,0,1,38,2,0,0,1,0,1,0,1,0,0,2,1,0,3,0,0,2,0,7,33,94.0
08010100301,م إبتدائية أولاد بلغيث - الحبابسة الشمالية  مكتب 1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,21,34.0
08010200401,م إبتدائية الشوشة - الحبابسة الجنوبية  مكتب 1,1,2,1,0,0,0,32,5,0,0,3,0,3,1,1,2,3,3,0,0,0,0,1,33,0,3,38,132.0
08010200501,م إبتدائية المقرونة الروحية - الحبابسة الجنوبية  مكتب 1,0,0,0,1,1,1,84,4,1,0,0,0,0,2,0,1,0,2,0,1,1,0,1,8,0,12,11,131.0
08010200601,م إبتدائية  15أكتوبر خنقة الزقلاص - الحبابسة الجنوبية  مكتب 1,0,1,0,0,0,0,5,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,17.0
08010300701,م إبتدائية جلاب القديمة - الجميلات  مكتب 1,0,1,0,2,0,3,60,2,1,0,2,0,2,0,0,0,1,3,0,0,1,0,0,7,1,5,10,101.0
08010300801,م إبتدائية عبد الصادق - الجميلات  مكتب 1,0,1,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,22.0
08010300901,م إبتدائية النقاقشة الروحية - الجميلات  مكتب 1,0,0,0,0,0,0,8,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,2,2,0,7,20,46.0
08010301001,م إبتدائية الصويوين - الجميلات  مكتب 1,0,0,1,0,0,0,41,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,9,59.0
08010301101,م إبتدائية الجلاب الجديدة - الجميلات  مكتب 1,0,0,0,0,0,3,12,2,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,17,5,45.0
08010401201,م إبتدائية برج دبيش - السميرات الشمالية  مكتب 1,0,0,0,1,2,1,27,1,0,1,1,1,0,1,0,1,1,2,0,0,2,0,0,7,0,0,7,56.0
08010401301,م إبتدائية المرثوم الروحية - السميرات الشمالية  مكتب 1,0,1,0,2,0,3,103,1,0,0,1,1,3,3,0,2,0,0,1,1,2,0,0,7,0,4,8,143.0
08010401401,م إبتدائية السميرات - السميرات الشمالية  مكتب 1,2,0,0,2,0,0,36,2,1,0,0,0,1,1,0,1,1,0,2,0,2,0,0,11,0,3,12,77.0
08010501501,م إبتدائية النجايمية الروحية - السميرات الجنوبية  مكتب 1,1,1,1,0,1,0,27,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,1,1,0,5,44.0
08010501601,م إبتدائية بربرو - السميرات الجنوبية  مكتب 1,0,0,0,0,0,1,13,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,3,23.0
08010601701,م إبتدائية أولاد زيتون - المساحلة  مكتب 1,0,0,0,0,0,0,55,4,0,0,1,0,1,0,2,2,0,2,0,0,1,0,5,47,0,3,10,133.0
08010701801,م إبتدائية الهرية   مكتب 1,1,1,0,3,2,0,87,9,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,12,0,2,11,134.0
08010701901,م إبتدائية سيدي مولى - الهرية  مكتب 1,0,0,1,0,0,1,37,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,2,1,10,19,77.0
08010802001,م إبتدائية  2مارس 34 الروحية   مكتب 1,2,3,4,2,4,1,154,11,0,2,5,1,5,1,0,4,3,7,1,2,6,1,15,34,3,12,42,325.0
08010802002,م إبتدائية  2مارس 34 الروحية   مكتب 2,1,1,1,4,0,1,149,15,1,0,2,0,3,0,0,3,0,0,1,0,4,1,10,62,2,10,74,345.0
08010802003,م إبتدائية  2مارس 34 الروحية   مكتب 3,0,2,1,5,0,0,101,12,1,0,0,0,3,1,1,0,0,0,1,0,2,0,7,36,1,8,48,230.0
08010802004,م إبتدائية  2مارس 34 الروحية   مكتب 4,1,0,1,0,0,0,73,9,1,0,0,0,1,0,0,0,1,0,0,0,0,0,17,38,0,8,39,189.0
08010802101,م إبتدائية فندق دبيش - الروحية  مكتب 1,0,0,1,1,0,2,57,4,1,0,3,1,2,0,0,2,0,1,1,0,1,0,4,30,1,11,21,144.0
08010802201,م إبتدائية  14 جانفي الروحية   مكتب 1,2,2,0,2,0,4,85,6,0,0,3,0,2,1,0,1,1,0,0,1,6,1,10,25,0,15,28,195.0
08010802202,م إبتدائية  14 جانفي الروحية   مكتب 2,0,0,2,1,1,1,42,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,32,1,8,16,120.0
08010802301,م إبتدائية أولاد بلال - الروحية  مكتب 1,1,2,0,1,3,1,7,1,1,2,0,0,3,0,1,1,1,1,0,0,3,0,0,8,0,2,12,51.0
08010802401,م إبتدائية العهد الجديدة الروحية  مكتب 1,0,0,1,3,2,1,111,16,2,0,6,0,1,0,1,0,0,2,0,0,0,0,3,42,0,5,44,240.0
08010902501,م إبتدائية الحميمة عن روحية  مكتب 1,0,0,4,1,1,2,57,1,0,3,2,0,0,0,0,1,0,1,1,1,2,0,9,42,2,6,30,166.0
08011002601,م إبتدائية بوعجيلة  مكتب 1,0,0,0,3,1,1,30,7,8,1,2,1,1,1,0,1,1,4,1,0,1,0,3,1,1,3,56,128.0
08011002701,م إبتدائية جلجل - بوعجيلة  مكتب 1,0,1,0,3,1,0,78,4,1,0,0,2,2,0,2,0,0,3,0,0,2,0,2,4,0,5,47,157.0
08011002801,م إبتدائية الدليوات - بوعجيلة  مكتب 1,1,1,0,1,1,1,17,5,1,1,1,0,2,1,1,0,0,1,0,1,1,2,1,6,0,4,12,62.0
مجموع أصوات القائمة,14,22,20,42,21,29,1654,141,21,12,41,9,40,18,12,26,15,41,15,7,45,6,103,514,15,176,722,3781,
