circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Siliana,SidiBouRouis,08050107201,م إبتدائية  2مارس 34 سيدي بورويس - بورويس المدينة  مكتب 1,2,2,2,1,1,0,100,12,0,1,5,1,4,5,1,7,0,10,2,3,3,0,0,61,1,5,105,334
Siliana,SidiBouRouis,08050107202,م إبتدائية  2مارس 34 سيدي بورويس - بورويس المدينة  مكتب 2,1,0,1,0,0,2,95,29,3,4,0,0,2,4,0,3,0,3,0,1,1,0,0,98,0,4,113,364
Siliana,SidiBouRouis,08050107203,م إبتدائية  2مارس 34 سيدي بورويس - بورويس المدينة  مكتب 3,0,0,0,0,1,0,59,36,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,96,0,6,139,341
Siliana,SidiBouRouis,08050107204,م إبتدائية  2مارس 34 سيدي بورويس - بورويس المدينة  مكتب 4,0,0,1,0,0,0,51,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,2,116,263
Siliana,SidiBouRouis,08050107301,م إبتدائية   14 جانفي بورويس - بورويس المدينة  مكتب 1,0,0,0,2,0,0,73,14,1,0,2,0,4,2,1,1,0,0,1,0,1,0,0,54,0,4,181,341
Siliana,SidiBouRouis,08050207401,م إبتدائية النشم - بورويس الجنوبية  مكتب 1,1,0,1,2,0,1,40,7,0,0,2,0,1,1,1,1,0,1,0,0,2,0,0,21,0,4,51,137
Siliana,SidiBouRouis,08050207501,م إبتدائية أولاد يوسف - بورويس الجنوبية  مكتب 1,0,0,1,2,0,1,69,13,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,45,2,3,80,222
Siliana,SidiBouRouis,08050307601,م إبتدائية التريشة   مكتب 1,0,1,0,0,0,0,51,8,0,0,3,0,1,0,0,0,0,1,0,1,4,1,0,15,0,5,44,135
Siliana,SidiBouRouis,08050407701,م إبتدائية العباسي   مكتب 1,1,1,0,0,0,2,92,9,3,0,2,0,1,2,0,1,0,2,0,0,0,0,1,19,0,2,61,199
Siliana,SidiBouRouis,08050507801,م إبتدائية الرويسين القديمة - عين عاشور  مكتب 1,0,0,0,0,0,1,34,1,1,1,3,0,1,0,1,1,0,3,1,0,1,1,1,5,0,1,91,148
Siliana,SidiBouRouis,08050507901,م إبتدائية سيدي بورويس الفلاحي - عين عاشور  مكتب 1,1,0,2,1,0,0,83,17,2,0,4,1,1,0,0,1,1,0,1,1,6,1,1,52,1,5,75,257
Siliana,SidiBouRouis,08050508001,م إبتدائية الرويسين الجديدة - عين عاشور  مكتب 1,2,0,0,1,1,0,31,7,1,1,0,0,0,2,1,0,0,0,0,0,2,3,0,19,1,0,67,139
Siliana,SidiBouRouis,08050608101,م إبتدائية محطة الكريب   مكتب 1,0,0,1,0,0,0,128,11,0,3,0,0,0,0,0,0,0,3,0,0,4,0,1,20,0,8,121,300
Siliana,SidiBouRouis,08050608201,م إبتدائية الحياة - محطة الكريب  مكتب 1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,14,26
