#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
08080112101,م إبتدائية  2مارس 34 سليانة البريد - سليانة المدينة  مكتب 1,2,0,1,3,0,0,173,10,1,1,2,1,2,3,0,1,0,0,0,1,1,0,0,54,2,8,108,374.0
08080112102,م إبتدائية  2مارس 34 سليانة البريد - سليانة المدينة  مكتب 2,0,0,0,1,0,0,130,21,0,0,3,4,1,0,0,0,0,0,0,1,0,0,1,57,1,1,118,339.0
08080112103,م إبتدائية  2مارس 34 سليانة البريد - سليانة المدينة  مكتب 3,0,0,0,2,0,0,58,23,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,42,1,3,116,252.0
08080112201,م إبتدائية البلهوان سليانة - سليانة المدينة  مكتب 1,0,1,1,1,0,0,123,12,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,57,0,5,89,295.0
08080112202,م إبتدائية البلهوان سليانة - سليانة المدينة  مكتب 2,0,0,0,0,0,0,69,13,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,39,0,4,73,205.0
08080112301,م إبتدائية  14 جانفي حي المسكية - سليانة المدينة  مكتب 1,0,2,0,0,2,1,195,25,4,2,2,0,4,1,0,0,0,1,0,0,1,0,2,56,1,6,122,427.0
08080112302,م إبتدائية  14 جانفي حي المسكية - سليانة المدينة  مكتب 2,0,0,0,0,0,0,128,28,2,0,1,0,1,2,0,0,0,1,0,0,1,1,1,62,2,14,153,397.0
08080112303,م إبتدائية  14 جانفي حي المسكية - سليانة المدينة  مكتب 3,0,0,1,0,0,2,72,33,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,52,0,10,151,326.0
08080112401,م إبتدائية الطيب المهيري سليانة - سليانة المدينة  مكتب 1,1,0,1,2,0,5,151,23,3,2,4,0,13,3,0,1,2,0,1,0,1,0,1,20,2,8,93,337.0
08080112402,م إبتدائية الطيب المهيري سليانة - سليانة المدينة  مكتب 2,2,0,0,3,0,0,156,22,1,0,2,0,1,0,1,1,1,1,0,1,0,0,1,43,0,6,131,373.0
08080112403,م إبتدائية الطيب المهيري سليانة - سليانة المدينة  مكتب 3,0,0,0,1,0,0,81,29,0,0,1,0,4,0,0,0,1,1,0,0,0,0,1,43,0,4,125,291.0
08080112404,م إبتدائية الطيب المهيري سليانة - سليانة المدينة  مكتب 4,0,0,0,2,0,0,61,34,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,28,0,4,115,250.0
