#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
08070109601,م إبتدائية الجمهورية سليانة - سليانة المدينة  مكتب 1,0,0,1,2,0,1,221,11,0,2,4,0,5,2,0,1,1,2,0,0,0,1,2,68,1,7,83,415.0
08070109602,م إبتدائية الجمهورية سليانة - سليانة المدينة  مكتب 2,1,0,0,2,0,2,143,8,0,0,1,1,9,2,1,1,5,1,2,2,4,1,0,58,0,5,117,366.0
08070109603,م إبتدائية الجمهورية سليانة - سليانة المدينة  مكتب 3,1,0,0,1,1,0,157,25,1,0,3,1,3,2,0,1,1,0,0,0,0,0,0,85,0,5,141,428.0
08070109604,م إبتدائية الجمهورية سليانة - سليانة المدينة  مكتب 4,0,0,0,1,0,1,125,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81,0,8,143,380.0
08070109605,م إبتدائية الجمهورية سليانة - سليانة المدينة  مكتب 5,0,0,0,1,1,0,83,20,0,0,4,1,2,0,0,0,2,0,0,1,1,1,0,74,0,6,126,323.0
08070109606,م إبتدائية الجمهورية سليانة - سليانة المدينة  مكتب 6,1,0,0,1,0,0,66,18,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,76,0,8,124,297.0
08070109607,م إبتدائية الجمهورية سليانة - سليانة المدينة  مكتب 7,0,0,1,0,0,0,62,28,0,0,3,0,2,0,0,1,0,0,0,0,0,1,0,65,0,3,132,298.0
08070109701,م إبتدائية العهد الجديد سليانة - سليانة المدينة  مكتب 1,0,0,2,1,0,0,144,19,0,0,2,0,3,0,0,1,0,0,0,0,0,0,1,130,1,6,132,442.0
08070109702,م إبتدائية العهد الجديد سليانة - سليانة المدينة  مكتب 2,0,0,0,1,0,0,79,18,0,0,3,0,9,1,0,1,0,0,0,0,0,0,0,91,0,3,163,369.0
08070209801,م إبتدائية مرج مقدم   مكتب 1,0,1,0,0,0,0,11,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,62,84.0
08070209901,م إبتدائية حانوت مرزوق - مرج مقدم  مكتب 1,0,1,0,0,0,0,42,5,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,7,0,1,24,85.0
08070310001,م إبتدائية العذابة - السفينة  مكتب 1,0,0,0,2,0,0,44,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,3,47,111.0
