circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sousse,Akouda,20010100101,م إبتدائية الراجحية أكودة - أكودة الشرقية  مكتب 1,1,0,2,22,0,0,209,1,0,3,2,0,2,1,2,0,2,0,0,0,1,0,1,52,0,5,8,314
Sousse,Akouda,20010100102,م إبتدائية الراجحية أكودة - أكودة الشرقية  مكتب 2,0,0,0,15,0,1,174,6,0,0,2,0,2,2,0,2,0,1,0,1,1,0,0,59,1,16,6,289
Sousse,Akouda,20010100103,م إبتدائية الراجحية أكودة - أكودة الشرقية  مكتب 3,0,0,4,25,0,0,139,5,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,55,0,3,25,260
Sousse,Akouda,20010100201,م إبتدائية حشاد أكودة - أكودة الشرقية  مكتب 1,2,0,2,21,1,1,270,4,0,1,4,1,3,2,0,1,2,1,0,0,2,0,3,57,1,19,22,420
Sousse,Akouda,20010100202,م إبتدائية حشاد أكودة - أكودة الشرقية  مكتب 2,2,0,2,33,1,0,256,3,0,1,2,0,4,0,3,1,0,0,0,0,2,0,0,70,0,8,14,402
Sousse,Akouda,20010100203,م إبتدائية حشاد أكودة - أكودة الشرقية  مكتب 3,0,0,5,23,0,1,205,4,0,1,1,1,4,1,0,3,0,0,0,0,1,1,1,110,0,18,20,400
Sousse,Akouda,20010100204,م إبتدائية حشاد أكودة - أكودة الشرقية  مكتب 4,1,0,2,36,0,0,217,3,0,0,2,0,4,0,1,2,0,0,0,0,1,1,1,115,0,5,10,401
Sousse,Akouda,20010100205,م إبتدائية حشاد أكودة - أكودة الشرقية  مكتب 5,1,0,1,28,0,0,147,6,0,2,1,0,5,1,1,0,0,0,0,0,0,0,0,101,0,19,25,338
Sousse,Akouda,20010100206,م إبتدائية حشاد أكودة - أكودة الشرقية  مكتب 6,0,0,0,37,0,0,148,7,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,99,0,8,29,334
Sousse,Akouda,20010100207,م إبتدائية حشاد أكودة - أكودة الشرقية  مكتب 7,0,0,5,44,0,0,171,6,0,1,4,0,4,0,0,2,0,0,0,1,1,0,1,76,1,4,42,363
Sousse,Akouda,20010100301,م إبتدائية وادي العروق أكودة - أكودة الشرقية  مكتب 1,0,0,3,11,0,1,104,8,0,0,3,0,2,0,0,0,2,0,0,0,1,1,1,49,0,12,15,213
Sousse,Akouda,20010100302,م إبتدائية وادي العروق أكودة - أكودة الشرقية  مكتب 2,1,0,1,9,0,1,94,4,0,0,5,0,2,0,0,0,1,1,0,0,0,0,0,46,0,8,8,181
Sousse,Akouda,20010200401,م إبتدائية بورقيبة أكودة - أكودة الغربية  مكتب 1,3,0,2,24,0,2,268,4,1,1,2,2,2,2,1,0,1,1,2,0,3,0,1,51,2,14,19,408
Sousse,Akouda,20010200402,م إبتدائية بورقيبة أكودة - أكودة الغربية  مكتب 2,0,0,5,19,0,2,245,5,1,1,4,0,1,2,0,0,0,0,0,0,2,0,1,99,1,10,28,426
Sousse,Akouda,20010200403,م إبتدائية بورقيبة أكودة - أكودة الغربية  مكتب 3,1,1,5,27,0,2,196,5,0,1,2,0,3,2,0,2,0,0,0,1,5,0,1,83,0,15,18,370
Sousse,Akouda,20010200404,م إبتدائية بورقيبة أكودة - أكودة الغربية  مكتب 4,1,0,4,18,0,1,174,4,0,3,2,0,1,0,0,0,1,0,0,0,1,0,0,64,0,6,36,316
Sousse,Akouda,20010200501,م إبتدائية علي الحطاب - أكودة الغربية  مكتب 1,0,0,2,13,2,3,255,7,0,0,1,0,2,2,2,3,0,0,0,0,2,0,1,68,0,12,9,384
