circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sousse,BouFicha,20060106301,م إبتدائية حشاد بوفبشة   مكتب 1,0,1,3,7,3,2,246,16,1,4,7,1,6,0,0,2,3,1,1,1,2,0,2,74,0,17,12,412
Sousse,BouFicha,20060106302,م إبتدائية حشاد بوفبشة   مكتب 2,0,0,1,5,0,1,197,25,5,2,3,0,9,1,0,0,0,0,0,0,0,1,3,129,0,21,18,421
Sousse,BouFicha,20060106303,م إبتدائية حشاد بوفبشة   مكتب 3,0,0,0,3,0,1,155,21,0,1,4,0,4,0,0,1,1,0,0,0,0,1,1,100,0,7,23,323
Sousse,BouFicha,20060106401,م إبتدائية  2مارس بوفيشة   مكتب 1,1,3,2,3,1,2,188,22,4,3,2,3,5,1,2,0,2,1,0,0,4,1,1,79,1,12,21,364
Sousse,BouFicha,20060106402,م إبتدائية  2مارس بوفيشة   مكتب 2,0,0,3,1,0,1,175,21,0,0,1,0,1,0,2,0,1,0,1,0,3,0,1,127,1,17,16,372
Sousse,BouFicha,20060106403,م إبتدائية  2مارس بوفيشة   مكتب 3,0,0,2,1,0,0,146,23,0,0,5,0,4,0,0,2,0,0,0,0,2,1,1,98,0,8,20,313
Sousse,BouFicha,20060106501,م إبتدائية حي الرياض - بوفيشة  مكتب 1,0,0,1,3,0,5,147,19,1,0,4,0,7,0,1,0,0,0,1,1,0,0,0,77,0,20,10,297
Sousse,BouFicha,20060106502,م إبتدائية حي الرياض - بوفيشة  مكتب 2,3,1,0,1,0,2,96,19,0,1,5,0,1,0,0,0,0,0,0,0,2,0,1,74,0,12,18,236
Sousse,BouFicha,20060206601,م إبتدائية وادي الخروب بوفيشة   مكتب 1,2,0,0,4,2,0,105,12,1,0,6,2,4,1,2,3,3,0,2,0,4,1,0,66,1,13,4,238
Sousse,BouFicha,20060306701,م إبتدائية سيدي خليفة بوفيشة   مكتب 1,2,0,1,7,1,1,129,5,1,0,2,0,3,0,0,0,0,1,0,1,5,0,0,34,2,8,6,209
Sousse,BouFicha,20060306702,م إبتدائية سيدي خليفة بوفيشة   مكتب 2,0,0,1,3,0,1,80,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,0,6,6,143
Sousse,BouFicha,20060306801,م إبتدائية لندرية بوفيشة - سيدي خليفة  مكتب 1,3,0,2,8,1,2,145,34,0,2,6,0,5,1,3,1,3,0,1,1,9,0,0,61,1,7,7,303
Sousse,BouFicha,20060406901,م إبتدائية الصفحة بوفيشة  مكتب 1,1,0,0,1,0,0,67,185,0,0,1,0,1,0,2,1,0,0,1,2,1,0,1,15,3,12,1,295
Sousse,BouFicha,20060406902,م إبتدائية الصفحة بوفيشة  مكتب 2,1,0,0,0,0,0,34,122,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,2,173
Sousse,BouFicha,20060507001,م إبتدائية سيدي سعيد بوفيشة   مكتب 1,3,0,0,4,2,3,237,15,2,2,4,0,7,2,2,3,0,4,1,2,7,0,0,70,0,13,3,386
Sousse,BouFicha,20060507002,م إبتدائية سيدي سعيد بوفيشة   مكتب 2,1,0,1,2,0,1,160,38,0,0,4,0,5,1,0,1,0,0,1,1,2,0,2,81,0,5,11,317
Sousse,BouFicha,20060607101,م إبتدائية عين الرحمة بوفيشة   مكتب 1,5,1,0,16,2,3,235,10,1,2,3,1,8,2,1,4,0,3,1,1,6,0,0,32,0,8,7,352
Sousse,BouFicha,20060607102,م إبتدائية عين الرحمة بوفيشة   مكتب 2,2,0,1,26,1,0,261,11,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,54,1,7,10,378
Sousse,BouFicha,20060607103,م إبتدائية عين الرحمة بوفيشة   مكتب 3,0,0,1,11,0,0,166,15,1,1,4,1,3,0,0,1,0,1,0,0,1,0,0,45,1,4,19,275
Sousse,BouFicha,20060707201,م إبتدائية المثاليث بوفيشة  مكتب 1,1,0,1,15,1,1,180,31,1,2,1,1,8,0,2,1,1,3,2,1,4,0,0,43,0,7,15,322
Sousse,BouFicha,20060807301,م إبتدائية ابن الجزار السلوم بوفيشة   مكتب 1,5,3,3,6,1,1,148,9,1,2,3,0,3,0,1,2,1,0,0,1,5,0,0,45,1,8,6,255
Sousse,BouFicha,20060807302,م إبتدائية ابن الجزار السلوم بوفيشة   مكتب 2,0,0,2,4,0,2,113,12,1,0,0,0,2,0,1,0,0,0,1,0,3,0,0,39,0,12,15,207
Sousse,BouFicha,20060907401,م إبتدائية سيدي مطير بوفيشة   مكتب 1,1,0,0,6,2,3,140,22,0,0,3,3,2,1,3,4,2,1,0,1,1,0,1,65,0,23,14,298
Sousse,BouFicha,20060907402,م إبتدائية سيدي مطير بوفيشة   مكتب 2,0,0,1,2,2,0,104,20,0,0,1,0,2,0,0,0,0,1,0,2,4,0,1,54,0,9,11,214
Sousse,BouFicha,20060907501,م إبتدائية الشابي كلم / 70 بوفيشة - سيدي مطير  مكتب 1,1,0,0,3,0,1,122,6,0,0,3,1,2,1,0,1,0,0,0,0,2,0,1,41,0,3,8,196
