#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
20070107601,م إبتدائية  25جويلية حمام سوسة - المدينة  مكتب 1,0,1,0,91,0,1,216,5,0,0,1,0,5,1,0,1,0,1,0,2,3,0,1,35,0,16,26,406.0
20070107602,م إبتدائية  25جويلية حمام سوسة - المدينة  مكتب 2,0,0,2,124,1,0,203,1,0,1,1,0,6,0,1,2,0,0,1,0,5,1,1,21,0,4,13,388.0
20070107603,م إبتدائية  25جويلية حمام سوسة - المدينة  مكتب 3,0,0,0,92,1,0,192,5,0,2,1,0,4,0,0,0,0,1,0,0,1,0,0,38,0,11,29,377.0
20070107604,م إبتدائية  25جويلية حمام سوسة - المدينة  مكتب 4,0,0,2,117,0,0,188,5,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,44,0,3,20,385.0
20070107605,م إبتدائية  25جويلية حمام سوسة - المدينة  مكتب 5,0,0,1,82,0,0,162,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,40,0,14,31,341.0
20070107606,م إبتدائية  25جويلية حمام سوسة - المدينة  مكتب 6,0,0,3,118,0,0,125,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,26,1,7,52,341.0
20070107701,م إبتدائية طريق تونس حمام سوسة - المدينة  مكتب 1,1,0,3,48,0,1,232,4,0,1,1,1,2,0,0,2,0,0,0,0,1,1,2,72,0,16,32,420.0
20070107702,م إبتدائية طريق تونس حمام سوسة - المدينة  مكتب 2,0,1,4,81,1,0,258,2,0,0,5,0,4,1,0,1,0,0,0,0,3,0,1,57,0,3,26,448.0
20070107703,م إبتدائية طريق تونس حمام سوسة - المدينة  مكتب 3,0,1,3,60,0,0,222,4,0,1,0,0,3,1,0,1,1,1,0,1,1,0,0,71,0,6,47,424.0
20070107704,م إبتدائية طريق تونس حمام سوسة - المدينة  مكتب 4,0,0,0,114,0,0,213,2,0,1,1,0,2,0,0,0,0,0,0,1,1,0,2,69,0,4,23,433.0
